section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,95.59474,116.67788730031843,147.00084,22.2745,1.2943052153110046,72.04673821566111,1.8,59.13629663290296,105.6,89.97446761525364,412.76466712368835,120.3835,0
T16+T17,152.01802,168.25308769383395,180.88656,82.5098,10.684362912770709,64.74447518258788,2.4,28.66077371819201,47.6,54.64764515183437,208.61328057257793,165.46035999999995,0
T19,275.5703,277.47643828571427,278.74572,0.0,0.0,99.26270733333334,6.0,8.618574957901973,24.6004,25.19253561114843,80.7636877030346,208.12153999999956,1
T10,208.83955999999998,215.04576117837024,222.9801,9.41176,0.7941175,82.66178104413453,4.6,18.633251222627656,55.0,34.700619213877445,122.45922841640886,272.1178200000001,1
T8+T9,196.64454,205.4543884816384,214.33738,0.0,0.0,87.56671849256793,4.0,15.95341537693704,52.0,35.966256154044615,117.06774365389151,317.57091999999983,1
T6+T7,164.8951,176.00368309260665,192.51086,0.0,0.0,93.61310282865283,3.0,29.06238841049547,59.2,41.45787715620933,164.0607220868225,251.4164200000001,1
T11-T13,103.86512,154.0199998942138,225.8732,95.21567999999999,30.21188104480001,14.540522306890079,1.8,35.683344310016125,83.0,66.54423238659218,281.74772828800235,266.4862800000002,2
T1,98.1384,135.6432818772127,203.99938,100.0,17.320421817608995,66.80721531488692,1.8,29.15487297563024,85.8,35.33527329946107,289.29442603939566,316.48416000000003,2
T2,133.6309,165.73641818571497,246.6087,98.90196,17.923782894707834,68.8063516493909,3.0,21.923337006124235,67.4,30.36026984253604,127.04806948983305,354.52498,2
T18,85.20792,115.69874193362759,158.72586,98.27452000000001,17.281131448015962,59.20725901444838,1.4,43.90783855737813,120.0,49.872613574231146,249.27793519882252,199.53648000000013,2
T21,93.51034,121.76654673337057,191.65788,93.7255,24.55015375024438,53.28282231593586,1.6,33.71670198054524,95.8,43.749451203439136,296.70922836066086,205.1364200000002,2
T20,109.71694,152.06546456643426,268.05982,100.0,24.862985667890854,62.26111532822368,2.2,34.54617337220397,80.00156,41.42431200548386,199.4674600406311,352.97076000000015,2
T3-T5,90.88122,134.52383455038233,191.57854,88.70588000000001,10.649482610383249,68.3677436128768,1.8,40.60814128681937,97.2,51.53425599673966,356.81264869647214,405.11906000000005,2
