section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,106.2638,140.68835747126437,207.0497,85.8824,16.781610344827588,63.61503563218391,2.0,26.56442273533876,79.0,22.995372179772346,158.32165099548445,315.30950000000007,0
T11-T13,107.332,147.46090142857142,207.7821,74.1176,21.85434,10.005602857142858,2.0,29.152744025180226,63.0,46.39467498419696,149.416529379453,268.5073000000002,0
T2,131.9524,162.91512738095238,250.515,78.0392,17.324929761904762,60.49951309523809,3.0,24.41248973840636,77.0,26.372665763802473,177.60779298096855,358.1879000000001,0
T16+T17,145.0904,160.73890731707317,178.8357,62.3529,11.736007317073172,51.96554634146341,3.0,22.479297852458576,32.0039,29.75126329480609,109.19539693607989,166.6234999999997,0
T21,91.5236,121.78988636363636,197.5357,81.5686,24.04040303030303,48.983940909090904,2.0,39.91676314621751,99.0,36.780282820456215,236.90264722574182,206.1278000000002,0
T3-T5,84.1077,130.89130677966102,191.4702,52.9412,6.081753389830508,60.33563983050847,2.0,35.278565880569225,86.0,34.38328335911184,192.29777649990052,402.61979999999994,0
T20,108.5298,155.5478681818182,263.714,87.0588,24.656861363636366,56.48839659090909,2.0,35.89561630758843,92.0,37.52693195052915,228.03715005190608,359.5681000000004,0
T19,280.6058,282.9460133333333,284.7105,0.0,0.0,99.6078,6.0,7.95528187455917,32.0039,48.04858408636557,142.77539908052478,213.77239999999983,1
T8+T9,196.9558,204.94291803278688,211.696,0.0,0.0,82.61650491803277,4.0,19.21941335392008,64.0078,40.330838422456516,237.41612357343408,321.65239999999994,1
T6+T7,164.9729,174.02096964285715,191.8212,3.1373,0.10504285714285715,88.81649642857143,3.0,30.76668653941948,68.0,36.84052476595544,190.85197389225524,252.60410000000002,1
T10,203.4104,210.72394901960783,218.5931,2.7451,0.10765098039215686,72.00305098039216,5.0,18.944334949154715,64.0078,35.97442958885792,117.92411397928313,276.5138999999999,1
T14+T15,98.8403,117.82353684210526,148.8594,21.9608,1.06295,71.8678947368421,2.0,64.56138584542084,127.0,93.79520523163671,393.7247582480005,118.20420000000013,2
T18,91.4855,115.52518285714287,156.9696,66.6667,11.551822857142858,52.92995714285714,2.0,55.515776936892536,127.0,45.29763439470401,373.1428065187723,206.88969999999972,2
