section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T16+T17,149.7505857142857,167.84173258115902,180.93130476190476,89.00092857142857,12.32920694186244,62.50011914392214,2.6666666666666665,29.597411435824917,51.23363333333334,53.29259824381769,194.5096659569824,167.44844761904767,0
T10,208.1443238095238,214.6275456055227,223.1395714285714,8.366019047619048,0.7864534423214683,76.26538374390827,4.761904761904762,16.585038600800758,51.74999523809524,42.39597445936978,171.03176732144263,275.0686761904762,1
T8+T9,190.07691428571428,205.13874852878848,216.56548571428573,0.3174619047619047,0.018442890496715925,91.40524333265091,3.857142857142857,18.02528987452179,57.90773333333333,40.091823291711115,197.73573486658984,320.83460476190476,1
T6+T7,163.11458095238095,176.52691734363995,193.51056190476191,5.210085714285714,1.4508131402511253,92.7018366341317,3.0,29.423490714471832,57.26190952380952,40.469998400918094,194.2148347868095,253.42425714285716,1
T21,92.37558095238096,121.18958041373673,195.8077523809524,98.26330952380953,27.612346679376156,50.49913570134667,1.8095238095238095,31.39382844131325,89.58035714285714,49.26496035938829,274.6197137184641,205.2608666666667,2
T3-T5,88.06452857142857,133.196824423002,191.30055238095238,93.07189047619048,13.015945509945258,65.98460468582438,1.6666666666666667,37.06041488529413,91.55059523809524,46.25759654919058,300.90843609536836,403.32626666666664,2
T18,86.2058380952381,115.9349942784933,160.79704285714286,94.13631904761904,19.944511402079268,56.75071072004938,1.4285714285714286,41.15428949540054,113.68154761904762,48.476612609703416,318.21413706514954,202.65198095238088,2
T1,98.05193333333334,136.94115336476904,206.37391904761907,99.02894285714285,19.39642744880482,65.77120602483052,1.9047619047619047,28.830676226491434,82.52380952380952,35.40562920347044,272.1718766674882,316.7113428571429,2
T19,276.4117428571429,278.3546746523213,279.9325666666667,1.120447619047619,0.07469650793650794,98.61370564176245,6.0,8.060011651953193,25.891366666666666,28.258376527905607,93.47225944927047,214.46023809523805,3
T20,107.49254285714287,151.56229129207918,271.8140333333333,99.10363809523808,28.516350340301248,57.75129475404165,2.0952380952380953,31.781871362260702,70.44642857142857,43.60918116193174,293.38083082441926,355.9174619047618,4
T11-T13,103.95753333333334,149.6117325858621,220.34318095238095,97.4229619047619,32.79470220625532,14.957579047301673,1.9047619047619047,31.942717180203665,74.03906190476191,60.53868466477492,276.36660255138617,269.5096095238095,4
T2,130.51331428571427,163.09395470528247,248.06773333333336,99.01026666666667,20.905263831781923,66.05010217550782,2.8095238095238093,20.447052648778186,65.71279523809524,32.78546976953422,203.86449098488077,354.4647857142857,4
T14+T15,92.12816666666666,113.70355277978544,146.0891619047619,43.510733333333334,4.11120499759612,70.28421693051546,1.7619047619047619,57.84389161488382,103.06547619047619,95.50358993250813,383.95814693813236,119.22519523809528,5
