section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,89.858475,108.69048342317505,137.1481,55.588225,4.5896188716268815,74.20436544974918,2.0,43.523802820027626,88.0,89.38108961471985,417.0030040280747,119.50030000000015,0
T11-T13,101.67467500000001,147.26021177344816,205.981525,98.431375,35.11060829164829,15.865733480401124,2.0,27.267064570543706,68.75,71.72068897885009,427.6280318101303,269.94112500000006,0
T18,79.7856,109.3490042747227,147.30677500000002,100.0,23.568817895020437,60.272186809679276,1.5,40.391615394090095,110.75,57.302581632041964,357.546523998254,204.14345000000003,0
T16+T17,144.844375,159.14720684615168,169.752825,79.313725,12.278171879360382,62.639267834319355,3.0,22.940414685527635,45.5,54.66166716172985,276.44070066839174,167.63092500000005,0
T10,189.908075,196.0542584400149,202.59405,0.4902,0.019608,76.45713370044709,4.5,22.33477941012121,65.5,52.00915840365317,247.25956980833422,275.12012500000014,1
T6+T7,154.564325,163.10879252144701,177.626475,0.0,0.0,99.6078,3.0,19.334005502839176,43.5,41.97563295712939,142.85167083561493,253.86180000000002,1
T8+T9,181.79407500000002,189.99621885365195,196.74982500000002,0.0,0.0,86.56965818874225,4.0,17.299391240976128,56.75,44.50950907382585,288.06850905804293,324.36349999999993,1
T1,99.75395,131.50234214163055,189.82415,99.313725,19.55788313634445,68.6979742061284,2.0,23.456656466057385,72.25,32.93856423247158,238.02172378832051,316.60935000000006,2
T3-T5,86.90965,126.5964199416016,173.725875,96.960775,12.92727937919163,75.16443894843734,2.0,27.635158163422098,74.5,43.556707248444496,261.13804349561036,405.6345000000001,2
T2,119.546775,149.51515139943325,230.6096,100.0,21.973922048255673,64.95961903858829,2.75,19.5897371175427,62.0,30.826656083823657,218.67957724028696,352.35732499999995,2
T21,89.963375,115.97701140142814,184.55215,100.0,29.26397141174806,59.22149808249276,2.0,26.26480000064092,79.5,42.78026278201628,233.84294297693066,201.61635,2
T20,105.51995,143.7556843659138,243.335625,100.0,28.167543330088264,59.97343398737669,2.25,23.56831919272705,65.75,45.69414115695417,410.3102638099757,354.0523750000002,2
T19,260.20065,263.1852147767857,264.54947500000003,25.9804,2.2390292857142855,97.64141428571429,6.0,6.922775098291114,22.0,36.19574627937471,133.1467560180008,210.49009999999998,3
