section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T16+T17,160.17014999999998,175.58574285714286,186.73995,86.07845,9.331466428571428,55.96823571428571,3.0,24.54890726955042,36.5,56.65464626648391,230.0583422827533,168.27575000000002,0
T8+T9,199.61855,215.63488958041958,227.615,0.0,0.0,99.6078,5.0,17.9245569828278,61.0,36.18256353553348,161.41489602031504,323.9330000000002,0
T14+T15,98.34440000000001,122.59236330749354,156.9467,37.84315,1.4051032622739017,82.2102840116279,2.0,58.022672728656346,119.5,94.46716710484841,341.28361086338117,122.0210999999997,1
T1,107.15265,143.71411592139174,211.59685000000002,100.0,18.922957783505154,69.12318266752578,3.0,30.421154663914926,91.0,34.79498931391792,230.8157789255532,317.89045,1
T2,134.8478,170.09080988288028,252.39565,100.0,19.186144310294967,67.52053314777328,3.0,18.807108922094677,65.0,29.627305032940313,134.03405053486333,355.38744999999994,1
T18,89.37209999999999,117.89920311827957,163.8476,100.0,18.52338270967742,61.51142790322581,2.0,44.55854749359703,120.5,55.94500202124317,304.47800070344056,202.8012500000002,1
T20,115.0454,160.9094446875,284.8058,100.0,31.421159062500003,64.61190645833334,3.0,29.096317476524533,60.0,49.574834435581984,385.1994277705586,353.17930000000024,1
T11-T13,108.50305,161.5660692566809,232.7306,100.0,29.855484662025603,13.848123894004043,2.0,38.50551157322295,91.0,65.33918294239923,380.75955871765234,270.7527,1
T3-T5,94.14435,140.51096106993978,197.67685,100.0,11.963115184498996,71.6324939014976,2.0,41.714495012812854,106.0,46.81136018265624,279.9369433100843,406.1093999999998,1
T21,97.4365,128.24090083812263,210.57835,100.0,31.264367504789274,56.336470426245214,2.0,29.18440137876477,94.5,51.243277956721904,225.2987018214904,207.46250000000055,1
T19,280.6592,282.8676929513184,284.24890000000005,0.0,0.0,99.6078,6.0,7.737050108864696,28.00195,33.2892737945379,124.71344494141437,219.5682499999998,2
T10,224.052,227.92392604700854,233.05865,0.0,0.0,89.58594440170941,5.0,23.845397233261693,76.0,80.98169919978936,597.9378108224331,275.3812499999999,2
T6+T7,174.45260000000002,182.82307340083577,196.4828,0.0,0.0,93.41113821922211,4.0,32.39279224571965,60.5,62.783105881511865,354.83932546838975,255.63840000000005,2
