section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,103.55053157894737,165.62613867223737,210.28698421052633,97.54386315789473,9.539646229044163,71.08590290748174,1.8421052631578947,33.151337161043855,88.125,40.91725353845122,270.66769058537756,867.2404105263156,0
Hohenrain,94.67299473684211,207.73344442725065,281.80442105263154,97.95665263157895,13.676440556372974,73.40056602866217,1.5789473684210527,25.35607659257029,73.51644736842105,39.256877206444926,304.7083097009821,1004.9259842105262,0
Hohe Acht,121.96897894736843,167.1873913239786,216.53474736842108,94.26212631578947,9.214051606909132,68.958580462979,2.210526315789474,30.24034345354919,73.38157894736842,49.560926833099515,344.09053223250567,1435.370863157894,0
Mutkurve,88.54489473684211,185.85368713484365,254.83048421052632,98.9680105263158,12.440326722355202,73.26329255120424,1.4210526315789473,32.304869514430386,85.95764736842106,36.53531473435688,307.1618272931557,1026.5248736842102,0
Hatzenbach,109.60395789473684,157.732402272764,230.1293368421053,97.31682631578947,10.76663310217514,67.37294870794777,2.0,34.66567756004366,76.41118421052632,51.80248316867011,403.1107361580939,1180.8819105263156,0
Pflanzgarten,116.9073947368421,172.78257268005257,226.10619473684213,94.32405263157894,7.388388030991846,77.51789688012536,2.1052631578947367,31.494923236164283,77.63527894736842,45.56505043945001,338.1017432704771,955.4442684210526,0
Schwalbenschwanz,109.67503157894737,155.2217084183316,246.56210526315792,95.87203157894737,13.936960298079638,66.27642953044767,2.0,28.44445957786842,80.14966842105262,44.63186223408256,397.41717904730086,761.3922263157889,0
Fuchsroehre,189.19983157894737,241.09353721162844,272.32094210526316,11.372552631578948,0.27233079908755814,99.25825738961568,3.9473684210526314,8.486427356241412,24.662415789473684,22.758130562841497,110.22234156517298,728.8012315789474,1
Schumi S,170.59868421052633,184.75018933755578,205.60047368421053,11.578947368421053,0.6486851497884666,84.78022874873886,3.789473684210526,29.21353507433967,58.796052631578945,34.56718506422269,206.65317840203758,373.9557105263157,1
Pflanzgarten II,213.9387157894737,232.91295607020075,245.7088,1.1558315789473683,0.17316476360392508,93.4615733232332,4.7368421052631575,18.249525064551065,44.81928421052632,47.370695223584825,177.57205318627695,432.84036315789433,1
Flugplatz,215.49995789473687,228.11196650379148,241.71454736842105,11.744063157894738,0.7450206397777023,79.9566698652763,4.894736842105263,24.70652860897571,52.53330526315789,34.96307043309416,221.24738074549404,482.93297368421054,1
Caracciola Karussell,80.72664210526315,120.04663811223763,187.84056842105264,96.71826315789474,14.856270888162014,63.248156998986516,1.4736842105263157,49.150698950605,105.65789473684211,40.20418198559745,309.81049366800937,358.07846842105266,2
Breidscheid,115.24698421052632,139.86420546084918,211.88516842105264,99.83487894736841,18.612879102318804,62.57824901840716,2.0,35.88968102018512,79.13692105263158,48.99830793353878,371.3678380612946,414.17212631578946,2
Ford Kurve,88.65933157894737,129.46706726467534,199.84980000000002,97.44066315789473,16.918884114832537,56.25212865640267,1.631578947368421,45.935577431987554,94.16858421052632,38.96868321192333,227.7206899032932,411.90719473684214,2
Bruennchen,121.6405,144.18088208383023,176.8074894736842,91.88854210526316,11.376813284359068,64.50467328755026,2.1052631578947367,36.81915860815142,75.00986842105263,45.40175153672175,312.71092545199394,625.8478631578948,2
Adenauer Forst,86.79371578947368,133.7561745538466,224.71640000000002,95.129,14.408519366326994,50.73568606553104,1.368421052631579,45.551182687029225,88.16447368421052,55.04611739388133,329.0145547168418,460.6994210526318,2
T1+T2,55.85363684210527,112.49229429042477,255.54484736842105,99.81424210526316,23.818916184259077,56.39569560971923,1.0,65.52568061630636,130.85526315789474,47.74738468194687,450.5658900840842,435.345352631579,2
Wehrseifen,77.46323157894737,124.57510594741265,210.41107368421052,97.79153684210526,21.194750030831052,55.750378155657295,1.105263157894737,51.73259281431487,114.35855263157895,55.597268560182044,357.73385889391693,356.34453157894706,2
Lauda Kurve,115.56862631578947,174.07822177231532,235.45835789473685,99.87616315789474,18.554031673491114,66.57486033833095,2.0,30.866655554307847,76.12212105263158,36.554714915532834,253.2760694486867,462.14293684210537,3
Galgenkopf,159.7992947368421,187.31668620065386,218.1265157894737,71.33127894736842,3.3783060739499824,81.71944396534373,3.263157894736842,20.253343883449055,62.125,34.029815311010545,210.94599867184323,571.5349473684211,3
NGK Schikane,128.44361578947368,165.18071615064287,246.25209999999998,99.85552105263157,21.820234007164085,67.1784703897914,2.6315789473684212,26.334515494480673,56.2204,41.794534664663864,266.06902715973314,340.6927684210525,3
Metzgesfeld,113.1801842105263,168.14356660635056,238.7848157894737,97.87409473684211,17.446919786653655,60.06855418492418,2.0,30.06890892294644,68.17105263157895,43.91361517760219,226.47442721085574,456.9033736842105,3
Schwedenkreuz,107.93708947368422,191.06507199109797,279.1128052631579,99.85552105263157,19.118103718493785,62.865972691917236,1.9473684210526316,33.07564477616872,78.6583052631579,34.59323775515642,223.9784241280459,671.5600947368422,3
