section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,99.6796,149.37601714285714,187.4418,100.0,12.836602857142857,72.80669999999999,2.0,30.86651908044783,90.0,30.303559380820687,145.43644387042383,868.4319000000014,0
Hohenrain,83.2532,188.733596875,261.6922,100.0,14.616013541666668,73.361903125,2.0,28.829573275680918,82.0,32.80961763140893,212.32690348749978,1004.0756000000001,0
Hohe Acht,114.2901,152.06911937499999,194.4915,83.9216,9.595586875,71.9460575,2.0,31.59559888408388,67.0,30.247028145303442,173.3510839957888,1432.4696000000004,0
Mutkurve,82.7192,167.00312072072072,227.0466,98.0392,11.881292792792793,73.73606486486486,2.0,36.09937013086313,90.0,32.544770216427544,187.53861441051086,1022.2713999999996,0
Hatzenbach,108.7663,144.54269047619047,205.9281,100.0,10.612245578231292,68.00051156462584,3.0,39.39341720340579,91.0,43.80281594183667,167.08080597946181,1179.4155,0
Pflanzgarten,103.0518,152.60223805309732,200.3967,92.9412,6.680546902654867,76.78636814159292,3.0,34.1069452300898,92.0,37.804830601835405,221.7644569461228,953.0586000000003,0
Flugplatz,186.1982,198.73159772727274,216.2661,79.6078,4.839572727272728,88.14613636363636,5.0,26.06565983943576,79.0,38.431122211929896,213.22736282344715,476.5744000000004,1
Fuchsroehre,169.0013,219.199155,250.8431,0.0,0.0,99.6078,4.0,9.620012826121542,28.0,21.881845703848537,94.29164694279926,723.0758999999998,1
Pflanzgarten II,200.4196,212.67447837837835,220.9888,0.0,0.0,95.1033054054054,5.0,14.853306771734545,43.0,32.61802725973518,128.03338000922864,427.4917999999998,1
Schumi S,153.3608,165.9455,183.0167,0.0,0.0,81.54059523809524,4.0,31.09956171934919,73.0,29.186800728152953,283.6404713902484,377.9010000000003,1
Galgenkopf,148.8899,167.14080806451614,187.0375,29.8039,1.9860838709677417,68.74760161290322,4.0,26.53569262719145,83.0,29.724735722068452,212.58928064500762,565.0856000000022,1
Adenauer Forst,85.0385,127.18906865671643,217.0748,93.7255,12.478783582089552,40.33947164179104,2.0,58.28761641511949,103.0,56.93269069560947,334.6402106291676,467.1942999999992,2
T1+T2,57.351,109.4385397260274,235.4086,100.0,27.875367123287674,56.766030136986295,1.0,67.81153878654789,127.0,40.786477944157284,351.1450176507224,440.43679999999995,2
Wehrseifen,71.8013,110.44683333333333,192.1721,92.9412,23.679735,49.437895,1.0,68.98972177209407,127.0,49.80597067016903,290.92425722430374,355.0983000000015,2
Bruennchen,116.3195,134.68802261904762,160.6851,89.8039,8.468720238095237,62.273555952380946,3.0,39.97303095402762,82.0,35.17206119275941,157.22272479665028,623.8811000000023,3
Breidscheid,103.4028,124.50751,184.7333,100.0,18.346406666666667,68.24181,2.0,35.17203939638287,66.0,30.154718609892647,148.58620940973654,409.33630000000085,3
NGK Schikane,121.4847,155.184255,222.7588,100.0,23.637255,65.343115,3.0,32.87836403597083,59.0,33.64484216231941,130.6578731131036,336.78830000000016,3
Metzgesfeld,110.0557,154.09492777777777,212.5887,100.0,18.191722222222225,64.77848703703704,3.0,34.44213794858954,77.0,39.26042302841983,198.3743967531177,453.6219000000001,3
Lauda Kurve,105.1118,161.00528076923078,214.58,100.0,22.42835576923077,68.40118269230769,2.0,30.686940897481154,75.0,27.909907980792177,159.30172968431543,457.9274000000005,3
Ford Kurve,89.5171,119.3540126984127,176.5011,96.4706,15.773420634920635,57.98940952380953,2.0,47.370854760157606,100.0,34.282331650281414,212.36023645344596,408.60019999999986,3
Caracciola Karussell,86.3127,116.38778571428573,169.4514,95.6863,10.805323214285716,64.25068214285714,2.0,52.114669711914324,119.0,41.792454928098195,208.60142351060298,358.08569999999963,3
Schwalbenschwanz,102.2812,143.33711340206187,221.5915,95.2941,13.535477319587628,65.23142989690722,2.0,32.633604377997386,100.0,35.262130408611064,366.4088795990174,766.670900000001,3
Schwedenkreuz,106.4088,172.13527428571427,256.7407,100.0,20.35294,60.24648571428571,3.0,42.03803012193409,85.0,29.94835864430751,114.24562512593512,663.6350000000002,3
