section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,98.2834,162.72163761061947,205.2567,100.0,9.786570796460177,67.35033849557522,2.0,37.21378992076275,119.25,35.26291297399408,182.97405447271356,869.7018000000007,0
Hohenrain,81.1475,202.16775283018868,285.7099,100.0,16.459488679245283,70.36625990566037,2.0,26.22239787071542,78.875,31.063511388764404,147.95378844031077,1012.9428000000007,0
Hohe Acht,124.0787,163.23010313390313,208.3238,98.8235,7.488966381766382,64.99525042735043,2.0,32.0642029435582,65.5,40.00362625205849,247.33309874384645,1437.3004,0
Mutkurve,91.9356,177.65527795918368,252.7428,95.6863,11.59503836734694,71.21728775510203,2.0,32.031641695490634,79.6875,27.617703301004248,171.24023943720246,1028.8024999999998,0
Hatzenbach,106.569,150.1683858858859,222.2477,100.0,9.9947015015015,63.704882282282284,2.0,33.77221459109225,78.8125,38.903175639336254,284.1015824324635,1181.286,0
Pflanzgarten,112.8939,166.0736868852459,220.7218,100.0,9.08711024590164,76.73095491803278,2.0,26.745791488459368,62.7812,36.126665192609295,139.24990666917364,958.5573999999979,0
Schwalbenschwanz,91.3863,144.16604419642857,237.6745,100.0,15.399160267857143,65.76680714285715,2.0,24.94969869317074,73.5625,30.14510322825544,281.80638731907163,762.4074,0
Fuchsroehre,186.6865,239.30425076923075,270.779,0.0,0.0,99.99698307692307,4.0,9.589719823528112,26.9844,27.31041772521204,148.8165445779201,729.6828999999998,1
Schumi S,161.0437,176.60940978260868,198.8327,23.9216,0.6180728260869566,77.16964891304349,4.0,33.328900581235494,68.4375,31.82480058320818,254.89373076776096,379.02970000000005,1
Pflanzgarten II,213.6034,224.27039879518074,234.5541,0.0,0.0,87.00212530120483,5.0,13.24526965323136,35.8125,42.2030999312383,126.00576579861298,436.5652999999984,1
Flugplatz,203.5706,216.96786979166666,236.8353,0.0,0.0,70.53921458333333,5.0,22.52128430000563,55.9375,36.09086637102963,167.16674821106614,487.4562999999998,1
Galgenkopf,157.3892,181.29226940298508,212.4056,65.8824,2.0515074626865673,75.64823134328358,3.0,18.398471320491947,54.5312,31.61083186263052,137.37421442048534,571.3653999999988,1
Breidscheid,118.0667,138.19742047244094,203.09,100.0,17.165352755905513,64.13771968503937,2.0,32.45458881833861,63.0938,31.724041633116926,118.42804389236686,414.5507000000016,2
Lauda Kurve,117.174,168.97715517241377,234.4549,100.0,16.430020689655173,54.74306982758621,2.0,29.08239232344646,62.875,28.925935662364118,111.17337566667179,463.9290999999994,2
Ford Kurve,87.3808,126.9582688405797,203.0137,100.0,16.771810144927535,53.020745652173915,2.0,42.215025160058964,91.0625,31.680439347261267,134.53364938051922,413.7212999999999,2
Bruennchen,120.4395,139.55390052356023,171.2749,100.0,12.438146596858639,63.868186387434555,2.0,36.79268301419656,87.875,36.222331822249835,150.14956338743556,627.9102999999996,2
Schwedenkreuz,106.7903,181.9045025477707,277.1954,100.0,16.64293694267516,51.270138216560504,2.0,28.03749290529075,55.9375,30.039397210515258,161.27865724461554,673.5996999999998,2
Metzgesfeld,109.0639,161.31869344262296,236.4538,100.0,16.904531147540986,58.666023770491805,2.0,26.625841488588655,68.5625,35.38311928443702,124.55629987603396,463.59730000000127,2
NGK Schikane,128.0919,162.5589388888889,244.3732,100.0,19.250542222222222,64.46187444444445,3.0,26.577624931303276,56.4062,32.67886486300446,253.58421131539254,345.1465999999996,2
Adenauer Forst,88.0903,129.83810993377483,208.1407,94.902,9.32086821192053,46.10570463576159,2.0,46.01389378307365,85.5,43.712709022939386,277.9262875414202,462.2462000000014,3
Caracciola Karussell,62.7451,113.83111044776119,187.2206,100.0,18.501609701492537,64.89903059701493,2.0,48.25038749919927,123.3125,50.5946808173275,169.74462374245442,361.0069999999978,3
T1+T2,60.6088,110.59202545454545,258.4421,96.0784,20.720145454545456,51.51990424242424,1.0,61.508563062079105,142.75,46.002760850750384,310.8239053733839,442.291,3
Wehrseifen,74.1665,117.70644031007751,207.2404,100.0,19.799361240310077,52.205501550387595,2.0,52.42113140424441,138.75,46.954727956023234,346.781521876819,359.1183999999994,3
