section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,119.38311818181819,164.46444696475976,211.93740909090909,90.12478181818182,7.8800278610986,66.29886097416069,2.272727272727273,30.95643482894163,71.63636363636364,49.323525486303446,344.53622402470904,1435.2430454545452,0
Hatzenbach,99.42084545454546,151.83664695805467,223.72709090909092,94.5811090909091,11.186502709687346,65.43646102849863,1.9090909090909092,32.68042175433145,81.81818181818181,56.093558360878234,535.4989565898013,1180.7135545454546,0
Fuchsroehre,184.9754090909091,236.1016250737516,266.6930272727273,13.903745454545456,0.22564574314574315,97.10891790824917,3.909090909090909,8.934971850133438,25.0,19.910577516801077,99.97171501991525,726.561336363636,1
Galgenkopf,154.79723636363636,183.74696658721987,215.1730090909091,70.76647272727273,4.167672127097301,82.36578143358246,3.1818181818181817,16.958637039983703,51.45454545454545,29.92579935027837,199.8141122321256,567.9156090909088,1
Flugplatz,208.82733636363636,221.84968232137373,237.24102727272728,36.755790909090905,1.6741308447890397,81.529217312628,4.818181818181818,22.178346017203868,47.27272727272727,25.21523259852697,121.42126915149392,481.5874909090911,1
Pflanzgarten II,217.1573909090909,229.91266826322845,241.98450909090909,0.6417090909090909,0.014385326953748006,95.35644890125491,4.7272727272727275,17.982733384733482,47.00106363636364,42.7434101914023,171.32623562914702,433.70890000000077,1
Schumi S,164.7044909090909,179.72483198232845,200.5500181818182,8.37789090909091,0.6849400782013686,81.8111997384254,3.6363636363636362,28.77093705113973,54.27272727272727,39.83196576236019,313.3998980076427,375.28755454545467,1
Metzgesfeld,112.01854545454545,163.54702881540334,232.88528181818182,97.50445454545455,16.737464387027867,59.06110461484604,2.3636363636363638,30.488783606964997,70.36505454545454,46.71189630914341,223.32595128337317,455.5342636363634,2
NGK Schikane,126.2364909090909,160.15246945337046,241.76532727272726,95.97148181818183,19.22666047747058,59.37368207165469,2.8181818181818183,28.04082622863168,66.18252727272727,51.5611749090574,369.13973602581723,341.48338181818184,2
Lauda Kurve,112.04907272727273,172.37531171051148,233.73144545454545,97.4688,17.249120266013474,62.85757609781521,2.272727272727273,28.209181334499064,69.09161818181818,36.0754618996307,206.12541502060841,459.3128181818181,2
Bruennchen,120.65932727272728,142.82815495631036,175.92264545454543,89.69697272727272,10.590778476779784,64.11081349208312,2.272727272727273,36.44355104427499,81.63707272727272,47.31568312489589,329.77914084223306,624.7586363636354,2
Breidscheid,115.53785454545455,139.59500728947057,207.25982727272728,95.18716363636364,17.223897334874724,60.84826522457527,2.272727272727273,35.516664043452266,77.72798181818182,51.47364564781719,274.5945630634457,411.8061090909088,2
Mutkurve,87.66446363636364,182.09368062978035,249.78254545454547,99.8574,11.992224600122837,72.73276313703856,1.7272727272727273,32.29014106184247,85.18181818181819,39.03929634481971,331.18327359148395,1023.7897,3
Pflanzgarten,113.92594545454546,170.66877440238298,224.62668181818182,90.26738181818182,7.312918201549319,76.91891598512532,2.272727272727273,29.71277632358813,68.0909090909091,39.779717189901426,253.37947601464356,955.9872818181816,3
Kallenhardt,103.21687272727273,162.671242098802,206.00512727272726,96.00712727272726,9.581225243293416,68.67016440608026,1.9090909090909092,33.83838135885895,85.36363636363636,42.118683617439935,258.5815473958809,864.3106363636363,3
Hohenrain,90.01783636363636,206.58437946306037,279.9628090909091,98.43137272727273,13.345440200417274,73.03850917580468,1.6363636363636365,25.74469378922386,74.18181818181819,37.23245185963381,283.1005699621862,1002.2217909090905,3
Schwedenkreuz,92.64791818181817,182.26441319688251,274.71022727272725,98.64527272727273,19.868212110888496,59.15759198210935,1.9090909090909092,36.291914370521845,77.27272727272727,33.726827247445264,215.9242640270898,671.2454181818182,3
Schwalbenschwanz,104.90994545454545,151.91547347396948,238.7038181818182,91.08734545454546,12.641424174431647,62.99789560077061,2.0,29.459031666177623,77.27272727272727,41.031932385181854,347.3992869929856,763.6460818181821,3
Ford Kurve,85.2272,126.39463237451304,194.16619090909091,92.01426363636364,15.88825560376351,54.74582901306774,1.7272727272727273,44.23451129020673,96.0909090909091,44.76594983059524,321.40070601270884,410.25480909090913,4
Adenauer Forst,80.80345454545454,131.5861360112069,221.39730909090906,90.23172727272727,13.392178447396248,46.24456316623039,1.6363636363636365,44.062120706331044,88.0909090909091,57.58535882063424,340.10027149797014,459.9124000000004,4
Caracciola Karussell,84.35603636363636,120.0318041491471,186.89736363636365,99.92869999999999,14.385581458834444,61.50937280982617,1.6363636363636365,47.12990099552017,99.81818181818181,48.454467789799885,330.11860375833857,355.7004181818176,4
T1+T2,47.94107272727273,104.29966074873836,223.52872727272725,89.48306363636364,17.69662983351991,59.16250231494527,1.0,62.56397513356144,125.18181818181819,58.45242694730343,588.5350961890902,392.73103636363635,4
Wehrseifen,73.8606090909091,121.27258726310082,202.56629999999998,93.51159090909091,19.46843618546987,56.06805034442902,1.2727272727272727,52.05867418018635,113.18181818181819,57.01111371308236,308.2122969086891,354.23921818181805,4
