section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,94.1482,165.44493703703705,211.1772,100.0,12.5199708994709,69.26649735449736,2.0,37.60302572090654,110.0,48.74669620948278,314.55857726466456,868.2186999999994,0
Hohenrain,94.5907,213.62976235294119,296.2005,100.0,18.327566470588234,73.33792235294118,2.0,27.628289192574876,75.0,60.24381728304912,426.2885304657776,1004.0721999999987,0
Hohe Acht,113.1075,167.3936390410959,215.198,100.0,12.809562671232877,70.56538561643836,3.0,36.2795849357235,85.0,53.68283410696876,372.59249801374386,1438.4472999999998,0
Mutkurve,88.7541,184.77260804020102,268.4215,100.0,15.02216934673367,69.50239145728644,2.0,42.70474823336165,114.0,40.65703402326702,283.975018955253,1030.0840000000007,0
Hatzenbach,105.3025,156.44769485294117,227.9927,100.0,14.421856250000001,64.18250477941176,3.0,36.93816140389296,88.0,60.57783403981298,302.7694102296319,1182.2504999999992,0
Pflanzgarten,113.5805,171.26460447761193,229.4347,100.0,9.524923880597015,76.41398059701493,3.0,33.6796906549037,74.0,46.98016733629225,244.94520459282018,955.3437000000013,0
Schwalbenschwanz,111.4443,157.77297816091954,265.0111,100.0,17.390128735632185,62.68422701149426,3.0,35.95762606430022,76.0,51.14560489467221,405.1576247100898,762.8847999999998,0
Fuchsroehre,192.8893,246.28296822429908,278.0194,0.0,0.0,99.6078,4.0,12.60195006806019,35.0,28.468600622809216,155.00486285484695,729.0391,1
Schumi S,171.3588,183.6632608108108,203.0137,0.0,0.0,73.56118648648649,4.0,32.205044100105596,51.0,45.389216285346855,356.09241884853543,372.3589000000002,1
Pflanzgarten II,223.7736,241.26351515151515,255.9014,0.0,0.0,99.6078,5.0,20.925960973439683,49.0,53.74553529565687,182.94744286733132,437.65040000000226,1
Flugplatz,204.8219,222.98433164556963,251.9875,94.1176,4.085381012658227,72.7326594936709,5.0,24.51555748884883,49.0,31.717521336137867,151.8399506810346,484.08790000000045,1
Galgenkopf,160.2197,186.49413303571427,219.0585,100.0,5.896358035714286,75.98736696428571,4.0,20.011297027644073,63.0,30.424966894931767,134.581709845755,577.0195000000022,1
Adenauer Forst,86.3203,133.2769626984127,242.3514,100.0,19.99377380952381,49.54247380952381,2.0,48.030685295124364,87.0,63.477684173607635,299.95439915344434,463.5546000000013,2
Ford Kurve,86.45,130.81763448275862,211.2993,100.0,20.598378448275863,52.106143103448275,2.0,51.576951843787704,101.0,45.15686842454222,260.28749028748,413.24209999999994,2
Bruennchen,120.8591,143.7823082802548,175.761,100.0,16.11090127388535,62.785045859872604,3.0,44.12524246218488,81.0,55.34724089491603,362.73323615190253,629.3633000000009,2
Breidscheid,111.1467,140.54607476635513,217.113,100.0,24.85981401869159,62.44088037383177,3.0,37.63506820173961,83.0,50.930909719602504,383.0195821816138,415.6170999999995,2
Schwedenkreuz,87.2816,188.8248610687023,286.1219,100.0,26.334381679389313,60.466977099236644,2.0,40.240988141849215,108.0,37.73236886279315,177.6666239722521,678.7398000000003,2
NGK Schikane,125.5665,162.94627894736843,254.0017,100.0,25.722394736842105,57.36841052631579,3.0,31.483469647160838,63.0,42.609908503112585,272.2541275164706,339.9164999999998,2
Lauda Kurve,117.3037,179.0780936170213,244.6021,100.0,21.89820531914894,62.7617585106383,3.0,38.102594933981344,92.0,37.324133257820016,165.32158768725847,464.1904000000013,2
Metzgesfeld,115.5871,165.56210588235294,247.6387,100.0,25.455592156862746,58.90040490196078,3.0,35.777388734518595,86.0,46.03958392565903,288.43677156174203,462.1396000000004,2
Wehrseifen,73.8689,125.32130970873787,212.6116,100.0,22.173996116504856,51.29257961165048,2.0,62.96489238544912,127.0,52.83398154766568,309.3862069101748,354.95989999999983,2
Caracciola Karussell,85.7557,114.12690877192982,195.7656,100.0,21.544549122807016,56.66665438596491,2.0,45.61543749433047,98.0,75.85057389692022,693.0880041807427,359.1923999999981,3
T1+T2,52.3766,113.9298964028777,268.1315,100.0,24.313726618705036,52.02424244604317,2.0,62.57238292566479,127.0,68.00898281535348,779.2592592592465,438.63040000000007,3
