section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,96.66132999999999,141.94553448671292,176.85282999999998,90.07843,9.580377793727397,66.28585598426483,2.8,29.37055465469761,84.71952999999999,42.71366218826473,362.68426786920844,869.1568000000001,0
Hohenrain,74.76463,179.015424602721,260.43870000000004,93.33333999999999,16.46737295333558,59.57667579258971,2.4,25.161176960506268,73.78125,39.73945173779971,263.1227924553629,996.9719399999998,0
Hohe Acht,108.43595,144.5648915024618,180.87664,86.5098,7.426330704443896,67.23844101278102,3.0,28.561316446456807,75.49688,52.15112446637016,425.93554841929125,1437.50485,0
Mutkurve,79.45678000000001,154.88162310516032,217.23429000000002,96.86275,12.638406387284672,71.54677865154139,2.5,29.7979444121268,89.0875,38.133536291439825,378.18769076778915,1028.7620899999997,0
Hatzenbach,99.06845,135.56251882257553,193.26009,95.25489999999999,10.511698739025084,64.0909413303138,2.9,31.956343941468578,87.18125,57.31533770959252,585.520219066754,1181.8964199999998,0
Pflanzgarten,105.37270000000001,149.7936826481346,196.30656,91.56863,7.775226809214475,79.45220758583034,2.9,25.90837796578254,61.91875,43.474929250673334,218.54271983286634,956.6350299999995,0
Schwalbenschwanz,95.49632,134.3216939200295,205.76104999999998,95.05883,13.043665574173144,63.24665924567294,2.8,26.495977137136936,73.21328,35.68499571362914,280.88644681504127,762.7262899999994,0
Fuchsroehre,165.08278,214.10474021763534,245.14686999999998,26.70588,0.6776913033276122,98.3327069188592,4.0,10.424284854455124,32.62695,36.94963146536854,194.33188025430476,729.7542300000001,1
Schumi S,143.91164,155.18238439072726,173.48134,16.039219999999997,0.9089397803115468,83.83142021095065,3.9,25.568891193013922,54.51562,40.44723568593891,210.5610956145521,377.37728000000004,1
Pflanzgarten II,184.76996,195.43390187671395,206.55144,16.86274,0.8940586539234406,89.03791095444626,4.0,16.892267830874786,43.46562,50.37614657437041,213.213175805915,435.6487600000011,1
Flugplatz,154.73793,174.21036967934953,206.16617000000002,68.47059,6.0221623153356445,78.82417893940467,3.8,27.553576461146957,63.49375,450.6499744455649,22688.535894952158,485.60333,1
Galgenkopf,134.52276,157.95122478559898,185.56878,76.90196,4.129785124207941,83.29452473734469,3.3,16.28369729141408,53.16016,30.12119535531196,167.7705354987877,571.3532499999994,1
Ford Kurve,79.7467,113.86077997202315,168.74951,93.68627000000001,17.23638900955229,56.52002128245274,2.2,44.152883007333635,93.98125,43.94555329512182,324.3854442232603,413.1116099999999,2
Breidscheid,103.83001999999999,122.57192921439025,178.43824,94.23528999999999,18.328238060430213,61.59337425781841,2.9,34.306609673496766,74.57812,45.78880012222102,320.51000980267395,413.3307199999996,2
Bruennchen,105.75876000000001,125.73519706340332,150.34715,84.94118,10.2842843247744,64.49873441641037,2.9,34.487473281772296,75.01562,44.11559622198704,292.97497375196673,626.1150700000002,2
Caracciola Karussell,75.47493,104.16452720573182,156.14099,91.0196,11.962877410069893,61.541576715272676,2.5,44.84541139062936,99.58125,43.9286664475967,340.12384618049754,358.31130000000013,2
NGK Schikane,116.05859000000001,142.6350005868971,213.63085999999998,95.68627000000001,20.880678921689483,61.97229536297741,3.1,25.978400146775215,54.8,54.22935771147941,310.7259117851495,344.57211000000007,2
Metzgesfeld,99.40338,141.68939974513168,201.37102,98.58823,18.966036108461235,56.04982503541273,3.0,30.328377269082942,79.00938,57.36229077733303,419.245859981785,461.2144599999998,2
Lauda Kurve,104.9485,152.0448044349922,202.21102000000002,97.56863,18.49832266273784,62.47130337138125,3.0,28.764253479073282,71.11016,42.69071362404244,273.41339498132777,462.85432999999955,2
Adenauer Forst,79.03869,117.72298186552675,194.35189,93.72549000000001,13.869171789972924,47.832719088145,2.2,43.718199146706844,83.6125,56.933032868860224,313.62318835736835,462.3628200000001,2
Schwedenkreuz,99.35148000000001,162.305623029777,246.66057,97.17647,23.013087272082714,55.10096626802217,2.9,32.05958348461948,73.55078,38.01514972194316,211.1019677431838,675.3246100000002,2
T1+T2,48.323809999999995,96.39029485353254,217.05653,97.84313,24.97491198936539,50.431035952664104,2.0,65.15601924967676,131.8,45.3667516798228,480.2645218993904,437.66508999999996,3
Wehrseifen,71.28253,110.64746245288902,178.37871,96.74510000000001,23.56273738136599,55.338898982857664,2.0,50.10818298664034,120.2375,49.27878327443032,274.0762584336716,356.1712100000001,3
