section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Adenauer Forst,84.06798681318682,132.40338667605135,232.57784615384614,95.07433626373627,15.43770616485517,44.687974106727154,1.7252747252747254,50.00355335599255,95.4296021978022,73.49410559125975,1317.1813180567751,460.31307802197796,0
Hatzenbach,108.30988021978021,158.03840468113162,229.8205714285714,97.92285934065934,10.972434430078527,66.12596936229521,2.230769230769231,37.437438300626845,85.29352637362638,61.63683621144346,1246.0378334345266,1180.9001010989011,0
Kallenhardt,103.34432857142856,164.6880766058766,210.42426043956044,96.63434725274725,9.696040008745774,70.37687260806887,2.076923076923077,34.892889832075554,89.5989010989011,64.24851054693356,841.9705128754084,865.8414296703296,0
Mutkurve,88.21450219780219,186.25422464874535,250.13125384615384,98.83214505494506,11.888691302503998,71.6615637733336,1.901098901098901,36.46725359652369,95.12225274725274,39.70414711326894,333.70760379785924,1026.5742362637363,1
Hohenrain,94.19562307692307,206.25326021115282,281.4139208791209,98.15556923076923,14.486553975412551,71.99153427722007,2.0,27.853097477481338,81.5072967032967,40.75368022431953,329.35287553471716,1004.8179615384614,1
Hohe Acht,122.4865197802198,167.41714874706042,212.21057142857143,93.66947032967033,8.294905112750001,66.96338315962352,2.6483516483516483,33.91873148289825,78.32237252747252,50.97305618761621,363.8162877626959,1434.7266571428572,1
Metzgesfeld,113.22428791208792,168.18741720112857,235.94673846153847,97.97888351648352,16.50757185242037,56.94764776340171,2.5384615384615383,33.08517830742771,74.92702637362638,46.13737657387507,250.89369971618726,457.5489131868131,1
Lauda Kurve,115.09805054945055,172.58789817934152,232.19226263736266,97.06097692307692,17.605098859660465,63.633267093080924,2.5274725274725274,33.517184904437514,81.57211538461539,42.10408498284537,469.51770151557673,461.4407307692307,1
NGK Schikane,131.86586923076922,167.20249587071564,243.44277142857143,98.95712087912088,19.863537575763043,63.066847735482895,2.923076923076923,29.575746101810147,62.24776703296703,45.25742490957698,320.49885118238166,342.06338241758243,1
Schwedenkreuz,108.3066978021978,192.19273012923273,278.30133406593404,99.11226043956044,19.104809610327987,62.12279404577257,2.2857142857142856,36.162856443721616,86.83868461538462,33.711711924574885,204.1029939745289,672.2125912087912,1
Schwalbenschwanz,108.01466923076923,155.20636522946205,247.48892637362638,95.57853736263736,13.732591792146405,63.993010973338635,2.318681318681319,31.388805357877168,85.52592747252747,42.60746030880019,310.739452555064,761.5587967032967,1
Pflanzgarten,115.39198901098901,172.13086952662087,223.59388901098902,93.51863956043957,7.012940403920487,77.16043536230383,2.5714285714285716,33.44055512690204,80.58525054945055,44.48588743591134,316.25864572498716,954.6298373626373,1
Pflanzgarten II,218.42979120879122,231.89753892408024,243.1977131868132,6.115061538461538,0.38125489868600204,95.47509662311106,4.8791208791208796,19.145658302876324,47.10100439560439,48.75807259944192,209.07825958772878,431.78196043956046,2
Flugplatz,221.73781868131869,230.50552333999508,240.73404175824177,4.748976923076923,0.27076406468801256,86.28615042767636,4.978021978021978,27.422618463805154,58.95149450549451,32.72437983189174,167.51449222120036,482.8917142857143,2
Galgenkopf,158.4231065934066,185.8650337873072,215.2244824175824,63.35272857142857,3.034004175186367,81.04092709397334,3.4395604395604398,21.501479694908266,68.3052021978022,35.44011075763664,212.08113790980076,569.5800593406595,2
Fuchsroehre,187.6723857142857,238.852963788478,269.4024769230769,1.667745054945055,0.023266864603615187,99.57220840595889,4.0,8.921693592536501,26.450292307692308,22.837335331975765,113.84128399755774,726.9055934065934,2
Schumi S,173.5394241758242,186.0372088526202,205.0032824175824,3.1070868131868137,0.1950898070523003,85.49209085825751,3.956043956043956,32.64142361888472,61.080957142857145,36.8095971414087,242.39627892338243,374.29722087912086,2
Bruennchen,121.43271648351649,144.12312917801108,175.21826043956042,92.23874065934065,10.950070039984483,62.282315532673955,2.7032967032967035,41.18270253839901,81.20501318681319,47.99686773419827,310.63426010828977,625.3094593406595,3
Breidscheid,114.5597043956044,140.01473334925214,209.810467032967,97.50484615384616,17.755698446908912,59.30823236341715,2.5054945054945055,38.87025498233944,79.34692637362637,49.703786298733306,323.11940992890624,411.22001868131866,3
Ford Kurve,88.73020659340659,130.02339430435651,200.941110989011,96.80671758241758,17.68203279250161,53.87635883389597,1.8681318681318682,51.657181520041945,105.99107142857143,43.6144675148785,277.6636124546235,410.9488,3
Caracciola Karussell,83.46634285714286,120.7140389531664,185.68686703296703,97.24197362637362,14.85571902698098,60.33941964081075,1.8681318681318682,50.75791274893131,109.48282967032966,43.92668017166122,287.133437409495,357.37765384615363,3
T1+T2,56.58380549450549,111.97197350432579,249.34457472527473,99.41822967032967,23.86916604851531,52.29921438391141,1.0,68.87740313051782,131.04532967032966,50.17453895021016,453.70052047367193,436.3024406593407,3
Wehrseifen,75.74041868131869,124.21111586050407,209.27832637362638,97.67722637362637,22.813902569131184,54.35070517784724,1.3736263736263736,55.55861246907326,121.71085164835165,56.38910927863364,343.1001180150574,353.67939340659336,3
