section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,105.96756666666666,165.84975772123556,209.53308333333334,94.37908333333333,8.513907113448715,67.5726637455183,2.0,37.964592775224155,94.60416666666667,42.231174034946996,259.23160521429304,867.6052166666672,0
Hohenrain,93.70311666666667,201.70467481744382,277.4916666666667,97.71241666666667,14.718282849696791,72.4985994351815,2.0,30.07475884989734,88.30208333333333,42.613130815888596,295.4444444426384,1006.6374166666665,0
Hohe Acht,122.63041666666668,168.1450934249829,216.09573333333333,89.80391666666667,8.002635443885586,65.26018689471952,2.5,38.1452556041774,84.91666666666667,47.16479751477831,287.10777235086863,1434.5339833333335,0
Mutkurve,86.66361666666667,182.39004227696833,252.86108333333334,97.32026666666667,12.497368527806628,70.20252153168848,2.0,38.43350947031232,109.72916666666667,37.66497392956272,291.7602108488974,1024.8517999999995,0
Hatzenbach,107.72488333333332,160.3863579634603,228.70475,100.0,10.186179443045914,63.71675648422546,2.1666666666666665,41.003854070599125,85.88541666666667,52.54045674380149,388.1454828703431,1182.9208666666666,0
Schwedenkreuz,109.22026666666666,190.35778896558108,273.8600333333333,100.0,17.647033865279983,60.2445040790216,2.3333333333333335,36.46469838264695,92.57291666666667,31.2789109984803,148.3376671551998,673.5192000000001,0
Schwalbenschwanz,108.2119,155.37337234283706,247.7989,91.50328333333334,13.082800634956163,63.567604306715964,2.1666666666666665,32.78563200533907,85.26041666666667,37.5765980612875,232.2273546403009,763.9171166666669,0
Pflanzgarten,111.81303333333334,173.02666666125887,226.01153333333332,87.64705,7.4893147419494595,76.07449909141367,2.1666666666666665,36.14672962271779,85.38541666666667,44.5063930230091,291.3602797474107,956.0439833333336,0
Pflanzgarten II,217.26048333333333,228.38039447160006,239.8998,1.1764666666666665,0.061728240740740736,92.22626606454118,4.833333333333333,19.822743645674763,48.25,45.81145373890741,178.60517072538536,435.1996666666667,1
Fuchsroehre,189.67345,240.36015773048612,270.236,9.346400000000001,0.1566271771771772,98.75872342342342,4.0,8.644098653259022,26.010416666666668,18.55870287592109,91.71969453529381,727.6120500000001,1
Flugplatz,214.39561666666668,225.93895182293673,239.73068333333333,11.830066666666667,0.5102420119933829,82.34512636310752,5.0,26.527237113676083,57.166666666666664,25.910080161042725,130.43079756826378,484.4495500000001,1
Schumi S,170.02873333333335,183.57277185638455,202.69449999999998,1.1111166666666665,0.08600000000000001,79.23756637425599,4.0,36.38139373827706,65.35416666666667,40.70362178240712,307.8530686296881,374.4654166666666,1
Galgenkopf,162.5747,187.20401185433812,216.3767333333333,57.97386666666667,2.318234515642587,77.39415300831257,3.6666666666666665,21.647103093616437,66.34375,28.680359153495655,155.08724565695235,571.1068166666664,1
Ford Kurve,87.16206666666666,129.71589120542336,201.25504999999998,94.90196666666667,16.688224823971847,53.9421459144471,1.8333333333333333,53.74214637001227,107.5,47.290717475229656,298.84258933984006,412.3190333333334,2
Bruennchen,123.07036666666666,144.53726527886928,175.13161666666667,88.16993333333333,9.768858394479265,60.932660858361736,2.8333333333333335,44.98546960311027,81.76041666666667,45.62703604407656,278.92935629167374,624.1212833333338,2
Breidscheid,114.6563,140.60644261195537,208.99773333333334,97.2549,18.15771102963451,60.7641791809696,2.1666666666666665,42.787537526456056,84.55208333333333,45.01710326890085,270.75365416814793,411.61473333333316,2
NGK Schikane,129.7678,166.21915435549187,245.01666666666665,100.0,20.868587100859184,64.08161079792305,3.0,36.28198521948823,74.01171666666666,49.963593931094636,416.37267104614125,344.32980000000003,2
Metzgesfeld,114.39818333333334,165.88911681285433,233.21,95.55556666666666,17.05751415772308,59.04956653740617,2.3333333333333335,33.87867363430192,77.49088333333333,45.11041347669171,223.59712977398138,454.7261500000004,2
Lauda Kurve,112.19576666666667,174.069654625,235.78623333333334,98.30065,17.779523543572214,64.25720829534866,2.1666666666666665,34.03512988610038,87.33333333333333,37.78576888622382,237.3893526321493,461.7691833333329,2
Adenauer Forst,85.46961666666668,132.92417175537966,225.70635000000001,89.15031666666668,13.58593258457096,45.532300261832695,1.8333333333333333,54.08693368095527,101.85416666666667,56.20241198150842,312.10528461121595,462.83899999999966,2
Caracciola Karussell,82.52206666666667,120.05231266145772,189.27671666666666,97.32025,14.046945913538304,60.87915257014797,1.8333333333333333,52.58702888909255,110.22916666666667,41.045421171403376,256.1524239627042,358.5989166666665,2
Wehrseifen,74.65605000000001,124.7399758912831,208.11906666666667,92.22223333333334,20.847343008174544,55.064243290700226,1.0,58.68116395391028,122.45833333333333,57.41140484822727,309.4582298781937,354.15409999999974,2
T1+T2,56.48381666666666,110.6388315182182,242.93635000000003,100.0,22.00571915592639,54.167341995291395,1.0,74.23972014067454,137.45833333333334,50.67139970402687,517.5642445317708,437.3057333333333,3
