section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,99.07683333333334,154.06028291215037,193.48440000000002,100.0,10.420924864088148,65.63161221946508,1.6666666666666667,35.89787511538501,85.25,37.44985405889859,233.2750896380402,870.2800666666668,0
Hohenrain,93.44373333333333,196.60071785752925,267.2694333333333,100.0,16.15031991522648,68.46867511156057,2.0,29.358863621067666,84.35416666666667,43.50570670271289,317.16518904589486,1003.2501999999998,0
Hohe Acht,119.10430000000001,157.38560557005425,198.49699999999999,92.4183,8.133891143185723,64.68504827507235,2.3333333333333335,34.31749782304622,71.1146,42.077616091776896,274.26072322585907,1436.9596333333332,0
Mutkurve,82.38600000000001,170.13236129392467,233.33333333333334,100.0,14.493841081211988,72.56356536386697,1.6666666666666667,33.86874969405575,94.5,36.573294100352676,326.57524187327186,1027.9473000000005,0
Hatzenbach,92.28150000000001,144.8173332113812,209.8853,100.0,13.263143617910062,63.7260665356959,2.0,35.188874048454075,91.47916666666667,46.28620440929151,271.916493086525,1182.3841,0
Pflanzgarten,109.09436666666666,160.8934548645115,208.28056666666666,98.82353333333333,8.378583560738933,78.55135612263554,2.0,30.78158419343877,68.8646,34.33752684298876,194.4148718998339,956.4691999999983,0
Schwalbenschwanz,106.37826666666666,145.1407624440558,231.27846666666665,98.30066666666666,14.437014840451646,59.83273510810424,2.3333333333333335,32.683032439991024,88.41666666666667,39.06285225755344,252.7996506599718,760.2030666666664,0
Fuchsroehre,174.3623,223.34477733004007,253.31503333333333,0.0,0.0,99.73853333333334,3.3333333333333335,9.098830644671143,25.32813333333333,22.857236283380587,113.09955194560035,730.8040000000001,1
Pflanzgarten II,205.98406666666665,218.60430698198198,229.07096666666666,0.0,0.0,99.43726189189188,4.666666666666667,17.8563359325704,46.03126666666666,37.78929269492925,121.71503500112834,434.7552999999995,1
Bruennchen,115.29463333333332,135.9675024571949,163.67079999999999,97.2549,11.944186744470466,57.961985785063746,2.3333333333333335,39.683491153909905,78.72916666666667,39.950351293654876,221.07399297900966,626.1513666666688,2
Caracciola Karussell,86.656,118.82767463597008,171.8166,100.0,16.305987582152696,64.83463617719401,2.0,46.98087506359508,105.14583333333333,41.1997332373915,193.33588488082657,360.08016666666543,2
Breidscheid,114.44266666666665,132.38454488504203,189.26526666666666,100.0,17.751737411529312,58.613842934705055,2.0,42.427320152576904,96.41666666666667,49.9665488861251,346.18146960404755,410.7473000000003,2
Ford Kurve,82.84123333333334,121.99708894774064,185.97439999999997,100.0,20.451826134722367,53.64033811047279,1.6666666666666667,49.04214173721263,108.4375,39.66847872281719,168.71032869738636,411.52236666666676,2
NGK Schikane,128.49366666666666,156.0558998974501,225.17229999999998,100.0,19.719477334626756,56.15221884793053,2.3333333333333335,28.42743477547572,59.8125,36.301761915489635,229.50132636574844,341.689066666667,3
Metzgesfeld,109.44533333333334,155.0403650715842,216.6552333333333,100.0,19.539114952277206,54.88993140626621,2.0,34.148924508110206,84.10416666666667,44.67242151420186,215.01878673172723,457.70719999999955,3
Lauda Kurve,111.45190000000001,162.99988218014298,215.00473333333332,100.0,19.67469062075109,63.74476016771592,2.3333333333333335,32.0981651707767,74.72916666666667,34.02179171922314,185.38916622266444,462.32246666666714,3
Schwedenkreuz,97.5433,175.45013822723172,259.60936666666663,100.0,24.872420532607492,56.02874098582577,1.6666666666666667,36.93135509190124,80.60416666666667,30.444616256315115,165.68198802760392,673.5585000000004,3
Wehrseifen,75.14049999999999,117.0618747219491,190.6970666666667,100.0,24.95479416065771,53.42207870643505,1.3333333333333333,56.98148697914757,122.375,52.02959429782521,378.15386044482557,353.6861000000002,4
Adenauer Forst,81.64086666666667,126.02967948202213,214.24683333333334,97.9085,16.643992696439756,43.58340342976666,1.3333333333333333,49.589692703105264,98.33333333333333,56.94845061584724,353.11179813249055,460.9311333333335,4
T1+T2,52.854733333333336,107.30147573406741,236.57586666666668,100.0,28.739545448226,52.432804001223445,1.0,63.64417787393756,127.29166666666667,40.15802836981454,320.27873807214957,437.1287666666667,4
Flugplatz,192.00933333333333,203.96587843739113,220.25633333333334,77.25493333333334,4.590436152473006,83.7100470056165,4.333333333333333,24.79308372992941,58.19793333333333,30.995256927455497,153.6043439934978,485.5760999999996,5
Galgenkopf,147.7709,171.7438974824066,197.55856666666668,88.88889999999999,4.172378469242787,81.73616544704511,2.6666666666666665,20.083572362181346,57.9375,29.2094164904538,165.58162179881353,567.4592666666662,5
Schumi S,154.9299,167.17868026952473,185.18093333333331,12.287566666666665,0.43572936507936505,82.64330405191517,3.3333333333333335,28.69895704680572,65.35416666666667,38.64632824093628,157.53895051264496,376.39180000000005,5
