section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,122.91651666666667,167.08397305088022,215.85029999999998,90.13073333333334,7.835961213427055,59.35486573885188,2.1666666666666665,35.04504802243836,83.35416666666667,51.49786518767407,296.7286084179926,1433.6750999999992,0
Hatzenbach,108.18391666666666,158.164994532846,231.51368333333335,96.92810000000001,10.387296164989374,60.55096207893084,1.8333333333333333,38.402723497103295,88.26041666666667,58.320461752862876,425.47041805530847,1180.5234666666668,0
Pflanzgarten,113.39996666666667,172.01448686468405,226.7796,94.77125000000001,7.123771856399163,71.60740503402305,1.8333333333333333,33.905365366573875,93.89583333333333,51.04820024520685,324.9830055981004,954.304833333333,0
Fuchsroehre,190.15666666666667,240.5149301100745,271.5953333333334,4.183,0.04753409090909091,98.66094931257015,3.0,8.661137934185847,28.15625,25.36689807741008,114.89232281256172,725.0100166666667,1
Pflanzgarten II,216.63615000000001,229.84124995045087,240.43005000000002,0.0,0.0,88.41021902218309,4.166666666666667,16.70124001925846,40.479166666666664,48.77518861055011,173.5932138851306,430.76611666666577,1
Schumi S,170.36571666666666,185.35606941241022,204.88924999999998,1.69935,0.11188672316384181,77.04779926689294,3.0,31.081335606815525,57.864583333333336,32.59197081758587,219.13528219042325,374.8376166666667,1
Flugplatz,216.43396666666663,227.59945181264894,239.64675,12.352933333333333,0.85273671875,82.21245371491477,4.333333333333333,25.08566186712349,57.5573,33.0266867840993,165.5190242440568,478.9285833333335,1
Caracciola Karussell,83.7962,119.90015441059508,186.02779999999998,96.53595,13.996861415669613,53.018311759018616,1.0,51.937529977737775,108.79166666666667,42.276628186252815,289.21033512059597,356.08871666666647,2
Ford Kurve,85.02454999999999,126.74874776183667,199.49773333333334,98.75816666666667,16.86493995312529,47.679163087703834,1.1666666666666667,54.08134275378202,106.21875,41.720540195645825,236.51227419550105,410.40091666666666,2
Bruennchen,118.73806666666667,142.0694121130038,174.10671666666667,89.08496666666667,10.885077407473185,55.92120074093591,1.6666666666666667,42.43568871239831,80.35416666666667,47.307899716959525,299.69415362672055,627.1172000000012,2
Adenauer Forst,87.363,131.78424481828768,228.18976666666666,93.13725,14.186603457590243,37.29032736363915,1.0,51.73447667835645,96.36458333333333,53.63932641938927,324.11524832486856,460.6693666666667,2
Wehrseifen,74.86583333333333,122.53361411949544,211.6973,97.5817,22.377416215503676,49.15978790049946,1.0,58.61969169690881,131.29166666666666,66.83229807769827,378.007086821109,351.91574999999983,2
T1+T2,50.89393333333334,108.35245740095927,249.75206666666668,99.80391666666667,22.59124640574473,45.061899349016436,1.0,71.63368671026832,136.25,57.88822922545872,613.0209304028994,436.08538333333337,2
Breidscheid,113.93405,138.7909287190017,211.3489,98.43138333333333,18.084624817574184,55.6512966389472,1.8333333333333333,41.88858886826833,91.45833333333333,51.817774984382176,323.87330341671293,408.744733333333,2
Hohenrain,96.76889999999999,208.5015695869439,280.6159666666667,95.42483333333332,12.73512151582564,68.59943701314256,1.5,28.25344346135397,79.48958333333333,40.95662664278943,327.04084455760955,1003.820266666667,3
Galgenkopf,155.08381666666665,184.44106021636833,216.04866666666666,61.17646666666667,3.2344992121778264,74.97259150075251,2.8333333333333335,19.38132984534944,59.072916666666664,40.78713075666855,276.60606649206835,569.2769166666664,3
NGK Schikane,128.23553333333334,165.93851794883108,244.11508333333333,99.60785,20.785257055679953,59.408840466415995,2.1666666666666665,29.68696529883593,57.604166666666664,41.859029603605286,279.56124445565456,340.5643000000002,3
Mutkurve,87.29815,185.3819340976604,252.99968333333334,98.2353,11.798861801381712,67.1237218912939,1.0,35.395831364290764,98.16666666666667,40.17449243720756,400.1942179149989,1027.7536499999999,3
Metzgesfeld,114.49353333333333,165.99364649930126,233.66903333333335,97.64706666666666,16.08879084281352,51.64809932083052,1.8333333333333333,34.163895459912446,79.6875,47.43446039768249,193.7020435899262,456.8098833333327,3
Lauda Kurve,114.52278333333334,174.83021078392082,236.83146666666667,96.27451666666667,17.719356599213125,58.72375202609751,2.0,32.65904504375579,78.02083333333333,39.36142372820991,240.08287688281845,458.82551666666706,3
Kallenhardt,102.71483333333333,165.129365809877,212.04953333333333,91.56861666666667,9.431378566414955,66.24516207666267,1.3333333333333333,34.09659977183544,86.36458333333333,40.73752846250821,215.9986377492327,865.5307333333336,3
Schwalbenschwanz,104.40605,153.60051563618197,248.58853333333332,91.04576666666667,13.164540035352738,57.813640411505254,1.8333333333333333,30.31728803507146,81.48958333333333,40.592520323036844,302.11141750937105,761.8280499999988,3
Schwedenkreuz,105.12576666666666,191.76535435331326,279.68643333333335,97.05881666666666,18.787637680400227,57.4938408776969,1.8333333333333333,38.20399188603641,88.76041666666667,34.71130941790855,188.48978817794193,673.8220333333333,3
