section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,120.22431999999999,165.61244286122843,215.75646,90.35294,9.783074829600842,68.11722553969516,1.8,27.25912914099387,77.60155999999999,44.066423628975706,438.22016797932775,1434.4165399999997,0
Hatzenbach,109.82988,159.4494638923746,231.29778000000002,93.17648,11.119732666134336,66.1926770793254,2.0,30.24211379508289,81.6,47.008028110622945,537.1581825322045,1182.1445799999997,0
Fuchsroehre,189.69407999999999,239.96461680531417,268.74038,0.0,0.0,99.59026847058824,3.8,6.08224838878924,18.8004,18.498842185855946,116.41123599896916,725.9041000000004,1
Flugplatz,222.04773999999998,230.4455616133836,241.66324,11.52942,0.24635512820512823,86.41408070356272,5.0,20.249996195990054,46.6,28.450768545233224,136.91058309253634,483.3470199999998,1
Schumi S,173.04185999999999,186.79753375960672,206.09598,4.62744,0.22771364177737058,83.82805218303054,3.6,26.582236452568758,56.4,32.597876150420475,211.09830943777678,375.9241999999999,1
Pflanzgarten II,209.87258000000003,225.0536365397485,240.41504,20.0,1.3660133333333333,95.23792122222223,4.0,11.914091236660415,27.8,31.867088381353586,110.87135447660637,430.00253999999984,1
Caracciola Karussell,83.11894,120.7618072683269,188.54352,100.0,15.523402202856667,62.1480094371105,1.6,37.82200630275041,85.8,37.64468523106022,255.26016250124718,356.83056000000033,2
Bruennchen,121.16274000000001,144.36809631808967,177.0596,91.13726,10.040519628134525,61.16413829372495,2.0,33.965467043018016,72.4,36.915818927110394,212.213461724051,624.6414600000004,2
Ford Kurve,88.61524,130.66102866987762,202.07678,95.13726,16.443671697639324,52.73062889558778,1.4,43.300768387152424,93.6,32.24660374582898,189.40046064911937,412.63989999999995,2
Wehrseifen,77.90187999999999,125.11897419763434,211.54496,95.84313999999999,21.55719012450248,52.792477809812716,1.0,52.374818276402365,120.0,45.095901698349564,226.5253651412558,354.95637999999997,2
Adenauer Forst,86.598,133.1854376508266,224.88748,91.68628,15.910353987844342,48.32960873176066,1.0,39.159998302427404,91.2,54.39607338322785,378.9713146764626,463.6179600000003,2
Breidscheid,118.2971,141.9034671457594,210.6462,96.0,18.28463437716558,59.298871495787736,2.0,32.90400389006032,71.0,39.394787466248275,215.86493515847923,411.4095799999999,2
T1+T2,57.364760000000004,113.01801367604617,243.18456,93.56862,21.770465842497877,54.32911151658622,1.0,61.06806544679208,125.4,45.224846189576155,376.7714433850865,436.76142,2
Galgenkopf,158.7045,184.6836056932103,217.09166,73.56864,3.3195364972379444,78.99966785888128,3.2,17.043584306373894,58.401559999999996,34.152665465516534,215.8059705390132,570.7420400000003,3
Hohenrain,94.09018,206.32738343429847,279.87183999999996,88.54902,13.491649929893578,70.9079809657599,1.8,20.293633792283668,66.0,32.91612565762718,235.09047356513264,1005.5403200000007,3
Kallenhardt,106.15702000000002,167.2143291657089,212.50936000000002,95.68628,9.448294463665826,69.5890724484922,1.6,28.947558577024903,84.2,33.968733590252825,203.26840347814968,866.8251199999995,3
NGK Schikane,137.72791999999998,171.5527370879131,244.80353999999997,96.54902,19.76426519880854,64.1797177838321,2.8,25.34418591149685,56.4,43.59017633259913,364.44821339483906,342.83098,3
Mutkurve,91.98902000000001,185.23496772255947,252.16145999999998,98.35294,11.613006482486856,71.31911856204297,1.0,26.9148174787427,76.6,28.680626363339332,177.68783552405498,1026.0012799999993,3
Metzgesfeld,112.76876,167.92537969004292,234.59828,94.66666000000001,17.24285057041826,59.71974456205961,2.0,27.48669212316542,72.80156,42.515043132934935,224.0265024853931,459.2827800000003,3
Lauda Kurve,118.72894000000001,175.94914799384867,235.85412000000002,98.9804,18.979566580919272,65.58578310659752,2.0,26.82294066787019,66.0,36.005977656763925,271.8735475191828,461.35298,3
Schwalbenschwanz,111.32524000000001,155.6468008012524,249.49872,88.31374,14.201278995195622,64.90609512271752,2.0,23.77376252138378,74.4,39.04007123912016,313.48698901828664,763.9640199999994,3
Pflanzgarten,113.01748,170.8403106152564,227.31212,87.84313999999999,8.06911404228226,75.54095510046929,2.0,25.688795497113905,77.2,36.255519816780726,266.43243308805427,953.9736399999995,3
Schwedenkreuz,105.31318000000002,191.16721576449606,276.45686,100.0,19.277487681701384,62.12090941049519,1.8,27.772493775505843,71.60155999999999,26.55007404502941,166.4579552557472,676.7901999999998,3
