section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,113.24483333333335,159.88574091098988,212.58106666666666,94.64053333333334,11.056422769940497,62.14162981032636,2.3333333333333335,33.72896628163656,83.66666666666667,38.775247306247415,209.93892358693543,1432.3263333333332,0
Kallenhardt,99.41000000000001,160.04010377799656,203.4689,99.47713333333333,11.550226792289662,64.91049485085863,1.6666666666666667,36.100159257858756,94.33333333333333,34.31927318143235,192.076910603324,869.282866666667,0
Hatzenbach,104.98970000000001,152.51812369257615,224.40936666666667,100.0,11.968818223922952,60.22441429528965,2.0,40.86553620744062,93.0,41.15724402722166,232.04749706950216,1178.6093333333336,0
Pflanzgarten,109.02573333333333,166.8302084419179,223.13773333333333,97.38563333333333,8.922469534576733,71.23449925481178,2.0,34.59775916661288,84.66666666666667,38.179091513484785,195.71450990856684,955.7314666666667,0
Flugplatz,198.79453333333333,218.20679137949125,242.81173333333334,93.8562,7.2594660097036465,82.49435939614476,4.666666666666667,25.866898803455822,69.66666666666667,32.29980864228981,142.71373733493218,482.1567333333326,1
Schumi S,161.51926666666665,177.47114652984905,202.4974,28.496733333333335,1.204434649122807,76.72999712675323,3.3333333333333335,31.113862754562387,57.333333333333336,29.229024987017123,163.51143501455314,372.3007333333332,1
Pflanzgarten II,214.0103333333333,225.51237582029356,237.85003333333336,0.0,0.0,84.31337995393746,5.0,23.12180211614181,53.333333333333336,40.793734991414055,143.80607851658155,435.7966666666677,1
Fuchsroehre,188.06236666666666,241.20416158581483,273.37809999999996,0.0,0.0,99.44519878048781,4.0,11.552541780281146,27.333333333333332,21.688464842282603,93.32982132674306,726.8885666666665,1
Bruennchen,110.43463333333334,138.9902051702454,174.00373333333334,92.54903333333334,12.718602867689162,56.96723147985685,2.0,44.013543740916866,92.0,34.99267130762166,215.92012009134305,628.0174000000006,2
Ford Kurve,88.3472,126.44843856125357,206.07563333333334,100.0,18.300151129822783,48.45530508800522,1.3333333333333333,58.1324811408345,112.66666666666667,34.61302929558718,198.65568150827048,412.72946666666667,2
Adenauer Forst,78.39323333333334,128.41726907617846,230.52056666666667,96.6013,15.74367008101852,39.155847900883835,1.3333333333333333,50.3646021856473,101.66666666666667,44.979136482899385,253.61955735106662,461.38493333333344,2
Breidscheid,111.49766666666666,138.62237025200656,209.37923333333333,96.99346666666668,21.722355583588453,59.200931136779786,2.0,42.89222058002514,95.33333333333333,37.71036261160943,227.9948911112298,412.2473999999996,2
Wehrseifen,65.83756666666666,119.22370252123164,206.37316666666666,100.0,26.90924387367005,48.83352806387836,1.0,54.947395631166025,117.33333333333333,47.645544218483586,212.4713068921308,351.5971666666671,2
Caracciola Karussell,73.69346666666667,118.7520097825085,190.5394,100.0,18.10486652205865,59.011211550071515,1.3333333333333333,52.80594060011784,111.0,33.6429606217534,209.59115291485477,358.3154000000001,2
T1+T2,50.48193333333333,109.41740015702989,249.09590000000003,100.0,24.22314323527716,46.499413284778846,1.0,76.48947337769236,127.0,43.30821124367273,618.53853592666,436.43379999999996,3
Galgenkopf,141.09253333333334,177.38472310513563,213.0185,100.0,7.529683475783475,75.36799816433566,3.0,25.117341464903532,81.0,32.317441292633475,155.6851143943551,567.0499666666668,4
NGK Schikane,121.86363333333334,157.3240402946389,245.4897,100.0,21.128465221348396,54.05142642464185,2.6666666666666665,27.985998146398,53.0,29.676865572067083,290.97678493548,339.7033333333332,4
Mutkurve,87.79276666666665,178.57914107480335,243.89513333333335,100.0,14.46604099613648,70.52311086936957,1.6666666666666667,37.85833011814866,95.66666666666667,27.071225113905985,135.01892575019045,1025.386966666667,4
Metzgesfeld,104.31576666666666,159.21326935986824,240.96536666666665,95.9477,19.964896572576098,49.769551691298695,2.0,35.50554395105584,78.66666666666667,40.26670637798498,175.28095683242157,458.80193333333347,4
Lauda Kurve,106.4978,175.3073950580289,239.00203333333332,100.0,22.263129280821918,60.31034253710046,2.3333333333333335,35.42483008485154,92.33333333333333,31.307668927200584,159.0530384976354,461.8233666666674,4
Hohenrain,88.86346666666667,204.8131971340043,290.08673333333337,100.0,14.044084442939836,63.47893175827411,1.3333333333333333,28.062004227478198,80.0,31.614688515595436,174.28652999784586,1002.5250000000015,4
Schwalbenschwanz,99.12766666666666,152.66079953629705,245.8533666666667,100.0,15.991825483682982,59.266591557609054,2.0,33.655701357434204,91.0,34.23124421551065,216.8243204431269,762.5119000000001,4
Schwedenkreuz,109.0969,187.11204348763,280.21413333333334,98.82353333333333,18.65959839312056,54.213126076826434,2.3333333333333335,48.558292619415646,112.0,30.228026777544482,140.35745957758758,670.6633333333335,4
