section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Galgenkopf,125.33,157.47089121621622,193.1334,71.7647,4.072602027027027,76.41759256756757,3.0,21.09104229686983,62.2188,54.50635667108421,363.8576563738303,573.0750000000007,0
Hohenrain,91.7525,185.50158532110092,262.6764,72.1569,11.633387155963302,68.77676009174311,3.0,24.731912469260745,67.875,33.856237825704774,201.40604789286095,1005.6926000000021,0
Hohe Acht,92.4086,142.12805364583332,186.2516,90.9804,5.63929765625,54.75081666666667,3.0,32.38292402539816,113.5625,58.668352851706565,515.8906827534283,1438.7144999999982,0
Hatzenbach,102.6017,140.99027470238096,206.8284,100.0,6.996965178571429,56.066759226190484,3.0,43.888122395838046,95.1875,50.70655896961373,378.87120282219655,1182.5604999999996,0
Mutkurve,80.9262,160.67996076923077,226.8025,89.8039,9.0,68.110105,2.0,38.5403644275903,116.5,35.15853833609622,260.8301571420641,1031.7470000000012,0
Pflanzgarten,113.9239,153.721402,199.3057,82.7451,5.4917636000000005,74.3749008,3.0,30.915783027201165,65.875,39.977879832102424,382.55604617351116,958.3410000000003,0
Fuchsroehre,170.8782,219.32278148148148,248.394,60.7843,0.8627451851851851,98.5359474074074,4.0,12.565263227653052,29.8281,28.20702295935258,115.12840900450132,736.4070000000011,1
Flugplatz,190.28,202.0981191919192,215.5108,24.7059,1.3626474747474746,81.88948282828282,5.0,32.68625454714079,79.1875,41.389801779113036,294.8607053405266,488.6400000000003,1
Pflanzgarten II,193.6294,203.56193218390806,215.3964,0.0,0.0,89.24047701149426,5.0,22.9298951844345,60.4688,41.56810796577005,159.5923373454417,434.27969999999914,1
Schumi S,152.9183,162.04366210526317,177.4243,0.0,0.0,81.69246631578947,4.0,30.657412945890844,49.7188,29.42999459883563,234.13924478051757,375.90279999999984,1
Kallenhardt,100.2747,144.55448636363636,183.6957,100.0,6.046021487603305,52.90876694214876,2.0,37.86167473528663,130.125,37.83016102530214,335.44501213122953,872.0128000000004,2
Bruennchen,106.836,125.19340346534653,153.9559,53.7255,4.731119801980198,50.21549405940594,3.0,35.6469878242988,76.25,44.12209619448126,282.8573624573573,628.2279000000017,2
Metzgesfeld,100.7477,144.2233100775194,217.8759,100.0,18.48913333333333,57.34306124031008,3.0,30.12220823924888,69.625,38.2283994646004,194.46601264855423,458.22459999999955,2
Lauda Kurve,110.7195,156.8446479338843,211.2612,100.0,14.52276776859504,58.28876694214876,3.0,38.39886944101041,102.4375,42.28864689658325,224.38359250531457,465.5107000000007,2
Caracciola Karussell,75.5779,105.65131449275363,167.1015,98.4314,12.591644927536231,56.69792463768116,2.0,47.13761394008292,103.9375,41.637728504977076,238.96042345179401,361.6070000000018,2
Breidscheid,107.7821,127.06921439393938,180.148,100.0,13.674985606060606,58.15507727272727,3.0,43.938485228765735,92.25,37.28296314466308,282.7874732462895,414.7523000000001,2
Schwedenkreuz,92.4468,164.56378545454547,255.0317,100.0,23.26084303030303,59.724301818181814,2.0,39.91072389725307,116.0,46.33401418527545,254.30590290844012,675.3930000000009,2
Schwalbenschwanz,96.0784,138.11710266666665,215.8083,91.7647,12.402615111111112,63.94248177777778,2.0,29.360951535492113,69.8125,35.68287416419922,157.72067807798618,766.0889000000025,2
NGK Schikane,103.8071,139.64186060606062,223.0488,100.0,23.95721818181818,63.67993636363636,3.0,27.709907370058062,51.1875,38.52732752241182,269.0704165052568,342.61760000000004,2
Ford Kurve,84.2679,118.24125664335665,184.2756,100.0,18.49993286713287,52.831481818181814,2.0,62.388678966762214,140.25,38.41423698255481,265.69534759699184,414.2101,3
Adenauer Forst,80.766,117.42356187499999,194.8653,100.0,14.985294375,52.676474375,2.0,56.73960209263431,137.25,63.18497430050979,265.49466803817126,463.35200000000077,3
T1+T2,49.8741,102.90619757575757,227.4434,100.0,23.74806787878788,49.872845454545455,1.0,78.24180011636543,170.5,51.27864231308698,319.6721377749085,437.93950000000007,3
Wehrseifen,67.3762,109.86390916030534,189.601,100.0,24.619069465648856,53.95599465648855,1.0,61.54547015939671,133.25,48.52935101280817,382.32507548142104,358.0136000000002,3
