section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Bruennchen,118.9593,137.03157231638417,169.1691,100.0,11.283925423728814,63.25244745762711,2.0,45.01470403999493,103.0,247.18564070290222,1363.2823153702816,625.4472999999998,0
Galgenkopf,139.7192,172.16766062992127,206.5995,100.0,8.466882677165355,82.80991653543306,3.0,32.23371658177252,108.0,217.75357622458458,1211.4352769614204,574.7570000000014,0
Mutkurve,90.5394,168.763618220339,239.6124,100.0,13.700565254237288,70.29243093220339,2.0,39.792907373187525,111.0,203.58963186310268,1347.191232789209,1032.0489000000016,0
Lauda Kurve,113.8323,165.5448513761468,228.9998,100.0,20.8059,63.01850642201835,2.0,34.523128510158855,86.0,137.95774717431684,922.0195163215727,463.72069999999985,0
Kallenhardt,104.4633,156.01053192488263,199.4583,100.0,9.730276995305164,66.4162544600939,2.0,40.85170687282649,100.0,197.83638293606361,1106.532022835901,868.0679999999993,0
Hohenrain,96.3073,202.8270850515464,282.8565,100.0,16.727309278350514,67.76629793814433,2.0,41.43561704889099,127.0,228.94057271032042,2294.7403107719515,1008.7733999999982,0
Hohe Acht,110.8568,149.39872091690543,198.8098,100.0,9.351087392550143,72.02537220630371,2.0,55.636805026287334,127.0,277.1253936992211,2158.321450886439,1437.985700000001,0
Hatzenbach,110.1701,150.3712726384365,218.0056,100.0,12.366354071661238,63.48851498371335,2.0,39.11936554864013,99.0,199.16997864225456,1087.432298473202,1185.4368000000004,0
NGK Schikane,122.2477,153.64694831460673,241.5274,100.0,21.260188764044944,58.03478988764045,3.0,33.86079226544268,96.0,131.49659257111995,914.7630656004575,340.1776,0
Schwedenkreuz,108.2704,181.58356301369864,271.6106,100.0,20.94010205479452,58.14396095890411,2.0,43.239170323855525,127.0,184.7345968655533,1460.7452107690574,677.5150000000003,0
Schwalbenschwanz,106.4469,147.1767415841584,215.5108,100.0,14.721413366336634,68.50706534653466,2.0,39.6620748050407,109.0,243.5666077545835,1229.7287526462367,765.3025999999991,0
Pflanzgarten,110.2388,162.47937621145374,220.1724,100.0,10.424116740088106,79.65618370044052,2.0,39.78669500283832,105.0,273.44836635323554,1223.0428730050094,959.9536000000007,0
Ford Kurve,90.4479,121.82409999999999,169.9474,100.0,11.249635074626866,47.29879104477612,2.0,48.79664112727748,103.0,148.37805091357063,922.7681616175187,414.7537,1
Breidscheid,104.9287,130.6884120967742,208.5527,100.0,24.405439516129032,63.86778387096774,2.0,45.261714979249625,100.0,273.38990209750466,1268.6901649361023,416.79429999999957,1
Adenauer Forst,76.9665,127.44963120567377,196.0632,100.0,13.483520567375887,48.08787872340426,1.0,52.372621078185816,127.0,192.0816668761354,1481.6998897894155,462.8166000000001,1
Caracciola Karussell,81.0178,114.285481300813,180.5066,100.0,15.074127642276423,65.38814878048781,2.0,60.065240434870695,127.0,294.3871587043166,1624.7082901000922,360.76230000000214,1
Wehrseifen,73.1441,124.1382221238938,206.5843,100.0,29.35276725663717,58.55629026548672,2.0,62.15531520111638,127.0,218.34336908741554,1327.8900067603972,358.03919999999925,1
T1+T2,57.8241,109.0732525,224.0787,100.0,19.6029425,45.99998375,1.0,69.19410121980432,127.0,114.02058306920476,1193.6547049807905,438.5401,1
Metzgesfeld,110.6203,155.21092136752137,228.2444,100.0,19.896094871794872,55.77675897435898,2.0,41.13599494866789,127.0,252.50232883024609,1536.8911503492457,461.40059999999903,1
Fuchsroehre,180.4685,234.16870333333333,268.452,100.0,2.1633983333333333,97.84636333333333,4.0,15.501921744673565,83.0,80.43126049162724,1132.9608002371672,727.5341000000008,2
Flugplatz,195.3765,209.41216304347827,235.5917,100.0,3.4910478260869566,71.06135869565217,5.0,34.50013680909163,127.0,207.2040694182805,1792.1293497030756,485.1859000000004,2
Pflanzgarten II,208.1407,219.5906974025974,230.8766,100.0,3.071046753246753,89.90574415584416,5.0,36.493142628278875,106.0,334.58785160174386,1114.975933757601,441.7628999999979,2
Schumi S,154.2306,168.41764545454546,192.0577,66.2745,3.0035647727272727,78.90817386363636,4.0,37.6452372849896,94.0,258.7002673393476,1239.195385076374,378.68129999999974,3
