section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,117.13589375,163.99474611616185,211.82098125,94.926475,8.72863610807047,68.05846753857168,2.1875,31.074170413413242,70.3671875,48.932763073291966,358.91183717134874,1437.66289375,0
Hatzenbach,106.406875,155.09093336142422,227.19490625,98.70098125,10.812546675466685,67.421914977637,1.875,35.59486845955422,83.2578125,50.01825665662201,390.53823204630646,1181.73769375,0
Fuchsroehre,187.19672500000001,238.33492970927344,268.2784,4.28921875,0.0933066424397503,99.43916057137412,3.9375,8.946837974898514,25.91894375,25.44431197096061,123.54623258838399,730.02935,1
Flugplatz,211.210625,224.43509805432438,238.86424374999999,27.35293125,1.3377342156383918,85.11890168053989,4.75,22.86104467066007,51.55688125,30.666584148305546,162.3941180094144,485.498925,1
Schumi S,167.07389375,182.3176475897087,202.8882375,16.446075,0.5927793787088054,85.20751272651806,3.625,31.106153624914786,65.19140625,35.38748448787981,226.87420842890634,376.69938750000006,1
Pflanzgarten II,214.82651875,228.68091265124224,240.16270624999999,7.279412499999999,0.21831643722098898,96.10319805828688,4.625,17.514049897829754,41.45703125,44.16332279753579,197.08486084442617,434.4704999999997,1
Caracciola Karussell,78.26544375,117.23730523683213,185.23831875,96.54411875,14.896127841613257,62.81973553011431,1.4375,51.30185188508335,110.8203125,46.56019836672839,301.7664159319062,359.657025,2
Bruennchen,119.31125,142.4363175753353,173.264775,94.9019625,10.666275638719844,64.18197477769338,2.0625,37.83301110578773,78.7036125,48.13175069933351,339.5877880589304,627.6342937499996,2
Ford Kurve,86.98214375,128.02437733882485,194.28598125,97.4754875,16.446219929663094,55.72882588009085,1.6875,49.40385310211443,103.734375,40.65379838586028,237.86648213537856,412.16914375,2
Wehrseifen,77.27264375,123.25281832513164,207.93135,99.24019375,22.515470670418495,55.13612002744514,1.125,54.71542231096847,118.4375,56.21071461474084,322.0255749474392,354.83586875000015,2
Adenauer Forst,85.9531125,131.10510748459208,223.2948125,97.20587499999999,13.71315546409921,49.6350835439319,1.4375,46.63400132763962,87.01171875,55.81990589133973,350.78090318813025,463.5988125000001,2
Breidscheid,112.7350875,137.3017637856618,210.79909375,98.82353125,18.87946015191629,61.28535658329258,1.9375,36.428296223770744,81.43359375,52.567698037849986,351.58272564127407,412.8334625,2
T1+T2,54.94678125,111.09601995165286,249.76253125,99.58333125,23.75431438089603,54.42885360606981,1.0625,68.17073953715521,129.71875,48.27161159894076,429.4551924857845,436.684825,2
Galgenkopf,152.389,182.8850237646235,215.11740625000002,81.4951,4.3159400861447565,82.74905849979322,3.0625,18.793740512092775,58.6875,32.98931235275595,226.27284796967055,570.9105562500008,3
Hohenrain,91.72723125,202.16186020805367,277.08715625,99.7794125,13.20880560684699,73.78490496424706,1.8125,27.763284028578394,80.85546875,39.417276902859726,332.5476344362761,1005.8884249999996,3
Kallenhardt,103.6016,163.4628335637014,207.251375,96.7156875,9.26444982097503,71.25551728880185,1.75,33.31629865805761,92.4375,41.77607553452195,307.88714164181664,867.1411937500005,3
NGK Schikane,126.50301875,162.30580499111878,242.9765625,99.681375,19.752577815203175,61.6545241044128,2.625,29.360775978891763,62.6152375,45.35366731230295,313.3384732466659,342.22171875000004,3
Mutkurve,87.29161875,181.60973609113574,249.0086375,99.436275,11.67415281397449,71.5527135866966,1.5,34.54572651608172,100.5546875,39.51592866026901,363.5548217849223,1028.675675,3
Metzgesfeld,112.12950624999999,164.43845143862424,233.83020625,96.61765,16.20725053655212,57.08620936219706,2.125,31.666484904355567,76.41455,47.34489741797313,275.8347735591071,460.20820000000026,3
Lauda Kurve,114.322025,172.03623591870698,233.01336875,99.38725,17.093002384158435,63.90023595083449,2.125,30.66849359306042,78.35546875,36.84661205883072,233.06164735613606,462.1382249999997,3
Schwalbenschwanz,102.66126875,152.82497820388602,246.70024375,98.11274374999999,13.830231013816249,64.77086780534665,1.875,29.312333707000903,83.90234375,41.340591983273946,292.6331323362021,762.3358250000003,3
Pflanzgarten,113.2987125,168.68859543556422,219.3994625,96.44607500000001,7.732246128566395,77.6438350664711,1.9375,31.1514332167145,74.45800625,44.57985467394257,282.57911369402547,956.6805375000004,3
Schwedenkreuz,107.29858125,189.376850182448,273.986225,99.313725,19.05305034690483,64.63033177165322,1.875,36.784736620965035,89.8671875,34.05571258982112,187.90897227767005,673.2614875,3
