section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Mutkurve,91.1269,180.93545445904903,251.34660000000002,100.0,14.768456750104734,72.21728861018013,2.0,23.634373595910475,64.7969,34.266074352452904,295.8917324412597,1029.355449999999,0
Hohenrain,89.1928,201.31683733182163,288.63585,100.0,15.004492037037036,66.24661003023432,2.0,18.161568950133855,56.4531,42.460187495925865,326.1949428628074,1007.2521500000003,0
Hohe Acht,120.49289999999999,162.61654890333853,220.10755,100.0,9.737585054347825,65.42336010287268,3.0,21.31348028699264,46.4531,46.38893798053659,248.4529622663299,1437.389250000002,0
Hatzenbach,104.51285,153.87414519889663,229.1905,98.62745000000001,12.484388616434378,63.68575431765389,2.5,23.377578388674586,54.8906,51.35290319810493,344.92593749310754,1182.7224000000006,0
Schwalbenschwanz,103.21965,151.00317113235292,241.14215000000002,100.0,15.245385661764708,64.72588404411765,2.5,20.35447115616809,61.09375,39.41858731814543,314.99518694831943,763.5913,0
Pflanzgarten,117.20835,170.07585839442817,224.7425,99.60785,8.268759303519062,72.80664576979473,3.0,21.980021023074354,50.7031,44.302083066289946,183.3554113672521,958.882050000002,0
Fuchsroehre,188.1094,240.41110571323932,273.57135,50.0,1.1486799212598426,96.14943346456693,3.5,6.969829120969223,22.0156,25.98001083637754,156.39557733529563,731.3053499999996,1
Galgenkopf,152.13245,182.78238333007621,217.9141,87.25489999999999,6.024209986320109,78.8698467901114,3.5,10.992182682042179,35.5625,29.41986112240516,140.64734653305607,570.7776999999987,1
Schumi S,169.0242,186.19896528379775,208.1712,17.2549,0.8565526315789475,77.4837920123839,4.0,18.12666293175331,33.5625,34.66530719395504,192.1999624238567,375.2517499999999,1
Pflanzgarten II,211.36795,226.54253648785425,242.15305,0.0,0.0,85.42568289473684,5.0,13.412500427233445,34.0781,43.52322016286085,176.8307401578093,435.1972000000005,1
Flugplatz,190.50125,212.52704220117778,246.8757,86.07845,8.709966194493077,83.24724840840364,5.0,13.195723479866407,35.15625,30.58913053234856,202.86332172958072,481.5290500000001,1
Caracciola Karussell,80.4837,119.7172205667789,194.61355,100.0,17.45972777777778,59.68601675084175,2.0,31.634916699034502,69.34375,38.055835809096806,177.99913570553827,356.64490000000023,2
Ford Kurve,89.2996,128.61631990007993,186.49955,100.0,13.134951802557953,51.656363972821744,2.0,30.12062855216609,66.34375,36.37922672254787,269.69822706257514,414.59135000000003,2
Breidscheid,111.61975000000001,135.62239477760667,200.5455,97.25489999999999,16.888697377479843,58.936299361355196,2.5,22.14857660398014,44.03125,38.800405642483305,207.24445949522737,414.6035499999998,2
Bruennchen,118.02475,141.3367155263158,176.7834,97.84315000000001,12.891794145815357,63.77288779982743,2.5,23.856891893893213,47.125,44.27357639553162,352.4882154241244,626.8018500000017,2
Adenauer Forst,83.92465,124.56337604129371,200.58745,95.88235,13.954691520467836,53.335223684210526,2.0,29.070497157450696,61.6875,48.46672215559904,246.83848679301695,463.9246000000012,2
NGK Schikane,126.68419999999999,163.10479332947753,251.1978,100.0,22.8872332369385,61.61632534220166,3.0,18.455953266701954,40.4375,41.224386276200754,248.31421139532102,340.00570000000016,2
Metzgesfeld,112.7527,158.35706436680368,216.22795,100.0,16.5392864357017,60.85870769720102,3.0,18.827798330759244,45.0781,34.24200672989399,214.91756224188637,460.3255999999992,2
Lauda Kurve,121.44274999999999,178.4138486851852,239.06695,100.0,19.719897888888887,64.8158254074074,3.0,23.727339000765305,62.34375,43.7975483412681,319.5794380800266,466.2127499999997,2
Kallenhardt,103.04419999999999,158.15874136537167,205.15375,100.0,9.625325378958006,66.63364703851336,2.5,21.83113452274035,59.0625,36.72357554174365,190.80553129999748,870.2481000000007,2
Schwedenkreuz,106.90469999999999,180.88934572727274,281.4374,100.0,20.5647648030303,60.218174909090905,2.0,24.138510147037337,56.46875,33.085635498994044,144.48962457455792,675.2153999999996,2
T1+T2,53.925399999999996,113.47077051445825,258.65565000000004,100.0,25.360666182789455,50.39856009174312,1.0,49.08078827101927,107.53125,43.922702833295446,301.00594689880995,437.4919,3
Wehrseifen,78.5153,123.83173153225806,205.6344,100.0,22.792775322580646,53.22350893145161,1.5,38.079394504450036,90.1875,46.345248065624865,213.09542283299652,356.41340000000037,3
