section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,96.0021,154.62020198019803,191.3787,76.4706,6.934576237623762,67.41989702970297,3.0,37.83027006391996,106.0,74.9669197700899,650.067289653589,861.2065999999995,0
Hohenrain,97.9477,192.11141382978724,253.727,83.1373,11.50605,72.41549468085105,3.0,32.70809225275741,101.0,54.039726726701836,358.00244113147437,1000.2193000000007,0
Hohe Acht,114.374,156.33097884615387,194.0414,73.7255,7.649573076923077,71.36750576923076,3.0,38.296134724188626,127.0,92.96494753096324,875.8403539986823,1434.4997000000003,0
Mutkurve,86.4347,169.50435321100917,226.7643,95.6863,10.217666972477064,73.07067247706422,3.0,41.04431666287445,127.0,43.85903108511794,351.90097613878413,1021.326500000001,0
Hatzenbach,108.6213,147.51621818181818,208.1559,72.1569,8.808447552447552,64.68118181818181,3.0,42.02718151254534,123.0,73.14911931550601,482.2347471344153,1172.0541000000003,0
Pflanzgarten,115.8389,161.67204953271028,208.6748,73.7255,5.607476635514018,77.90724953271028,3.0,31.79201887487224,92.0,60.69815286642083,314.6210738620152,957.594299999997,0
Schwalbenschwanz,98.2071,143.87985833333332,228.2979,67.8431,12.377448958333334,62.365178125,3.0,36.3826087870897,127.0,73.44609595077226,807.7940915777787,757.7639999999992,0
Fuchsroehre,162.2492,215.1214435483871,246.0212,62.3529,1.8342806451612905,96.77415322580644,4.0,8.892835638433146,32.0039,37.225871486692014,136.7883639206354,734.235200000001,1
Metzgesfeld,108.2017,153.91592222222224,212.5582,67.0588,14.749455555555555,53.10093333333334,3.0,29.610352028433812,67.0,54.136384523966825,244.5699105672589,455.77369999999974,1
NGK Schikane,133.2876,155.9140125,220.4395,80.3922,16.14706,57.9999825,3.0,30.8060937694983,60.0,67.57278107618372,394.80456639257244,339.43499999999995,1
Lauda Kurve,114.8852,161.0363846153846,211.1086,86.6667,15.731525000000001,65.02260384615384,3.0,36.98156818095925,92.0,56.4733552277623,501.619759193556,457.9419999999991,1
Galgenkopf,146.3035,170.47989833333335,197.4441,54.5098,2.9084966666666663,82.28101833333334,4.0,18.38478186506061,71.0,48.55058253265181,193.03428027952384,561.3296999999984,1
Schwedenkreuz,73.1594,162.56740921052634,252.9183,89.8039,16.29515131578947,54.6026697368421,2.0,30.673378830148266,84.0,38.22181161205069,320.4420882145097,669.1607999999997,1
Bruennchen,115.4803,135.5223638554217,163.4699,63.9216,6.969053012048193,60.40159277108434,3.0,50.39126965292872,127.0,76.21336686845983,560.0745747317698,620.8817999999992,2
Breidscheid,118.967,133.40935714285715,181.6434,86.2745,13.445380357142856,61.946771428571424,3.0,47.34641274141984,127.0,86.64365228871266,462.737351159685,408.5784999999996,2
Ford Kurve,90.486,123.07614426229509,169.8939,73.7255,12.028288524590163,53.494042622950815,3.0,61.19778880579043,111.0,46.61843251953151,180.12919612823498,408.3959,2
Wehrseifen,60.8911,116.88285636363636,193.5454,81.1765,20.477718181818183,56.03563272727273,1.0,51.14777544377286,117.0,87.39883900839706,538.0141163065516,350.5793999999987,2
Caracciola Karussell,75.9442,109.83909491525424,166.1326,83.1373,14.017950847457627,60.451962711864404,2.0,50.74560662610349,125.0,48.030007096529594,167.68340023079386,356.10819999999876,2
Adenauer Forst,81.8647,123.34002058823529,197.3526,63.9216,8.794694117647058,39.75777647058823,2.0,55.12141454144562,120.0,61.58403468703726,341.28826508458627,461.1134000000002,2
T1+T2,60.5402,105.25976438356165,219.7147,80.3922,21.86408493150685,49.70183561643835,2.0,61.90605461784707,127.0,79.95246871891665,607.4974607476792,424.5728,2
Flugplatz,202.0371,208.80064047619047,216.9375,0.0,0.0,87.12414761904762,5.0,26.30309141543551,67.0,31.456059219049425,94.65208138490524,477.0501000000004,3
Pflanzgarten II,201.9913,211.31972162162162,221.7823,0.0,0.0,96.90509999999999,5.0,27.294139194811873,127.0,105.93601097443161,622.3240194207755,424.83569999999963,3
Schumi S,157.3816,168.53170749999998,186.0075,0.0,0.0,88.0195775,4.0,32.89653855458983,69.0,61.79867753178998,372.9423396322871,365.2907,3
