section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,116.43701999999999,157.15285345683017,199.73144,96.94118,8.655942079569236,64.31595406960862,3.0,30.65428326602713,69.075,52.44898056142921,334.33761425420994,1437.381960000001,0
Kallenhardt,100.01068000000001,155.4314115829489,195.1995,100.0,11.189864137557738,67.50482679017345,3.0,33.90838588579612,95.73125999999999,45.267445715211565,279.3310526484273,869.3818200000002,0
Hatzenbach,105.12246,147.23706496132846,212.1187,100.0,12.664478646256665,64.22362527683524,2.8,31.17973850595566,71.20626,55.16405806118335,347.4368181914392,1184.23632,0
Pflanzgarten,112.12328,161.74595334390654,212.72752,95.92156,7.761561906129953,76.98327515365767,3.0,30.22688349855789,79.29374,49.109500731741605,343.6198564105738,955.43436,0
Schwalbenschwanz,106.07158,146.21794261826682,231.04602,100.0,15.31386847001915,61.59227077591314,3.0,29.605413976712704,79.27655999999999,42.941285876834556,429.7270528413311,764.6777000000002,0
Galgenkopf,145.45206000000002,170.63495036210387,201.13984,71.45097999999999,3.592225413020671,74.54892278512168,3.8,19.12258472780431,63.3,35.549867142843006,211.27483539213586,571.5295600000005,1
Flugplatz,188.48247999999998,204.76981518545585,228.50536000000002,78.9804,6.560355916305281,77.47636064263702,5.0,20.48027249978774,45.73124,28.012194983493607,130.52997769640604,486.44357999999977,1
Fuchsroehre,179.4995,230.27223979957026,261.9379,29.725479999999997,0.427639373181392,99.42728965314049,4.0,9.08743135773431,26.34062,25.89930210337717,131.11036810350174,728.10268,1
Schumi S,156.09369999999998,170.11025040310318,190.26628,14.19608,0.7519707216494845,80.86200460466637,4.0,28.274324713001988,58.718759999999996,36.71167231794328,178.31022578719185,378.2135400000001,1
Pflanzgarten II,208.30241999999998,219.17478178053156,230.58976,12.627460000000001,0.5702172972972973,90.51521161953153,5.0,18.80116359420873,51.13282,55.04119576550521,213.80478935985047,433.6201000000001,1
Bruennchen,115.09880000000001,134.6049373913542,163.57824,95.45098,10.706495612910908,62.10804951841094,3.0,36.800424038569744,82.65,47.43617280795986,276.6115788022058,627.1659400000011,2
Lauda Kurve,110.43868,163.91111683220964,221.58542000000003,100.0,21.278305945415504,62.093137499708334,3.0,30.598848880229905,90.16874,37.872767060536475,222.9272156493524,462.25243999999986,2
Ford Kurve,81.15664,122.79903542781953,187.3518,99.21567999999999,19.088768275976783,52.441775532500074,2.0,43.761395168837296,104.5625,41.500132722979586,261.5077954347938,414.38436,2
Breidscheid,113.53779999999999,133.50034631182442,194.98896,100.0,20.228350709221495,60.939153489437466,3.0,34.94819809062593,79.40626,50.44942345618996,374.37518680312957,413.55155999999954,2
Caracciola Karussell,84.03450000000001,117.01728254112216,174.72802000000001,100.0,15.475017955677236,62.79508846783657,2.2,44.81142741287475,101.175,44.03293440851818,298.20362441067743,358.62832000000014,2
Adenauer Forst,81.22682,124.76844211848474,210.93006,98.11764000000001,16.791002211618682,46.86512724492452,2.2,43.756069310309655,98.7375,54.18201425991848,330.73229367801713,460.79614000000004,2
Metzgesfeld,109.25306,155.19823368318467,220.88808,100.0,20.507114473782543,54.57609507231757,3.0,30.13169087501104,75.83126,48.2820339966669,258.15954170201513,458.5781799999997,2
NGK Schikane,126.56746000000001,157.94358936025205,233.55151999999998,100.0,24.131804740595832,59.75653666773646,3.0,25.399678267991423,52.39374,49.6127416592346,328.28414663684913,341.99706000000003,2
T1+T2,56.285940000000004,106.43057667782179,237.54942,100.0,27.333445253090627,49.277656110392556,2.0,63.57994401911113,132.25,47.796799817354426,424.0032520779017,436.96963999999997,3
Wehrseifen,73.06172000000001,117.93411865830112,198.02854,100.0,27.127788432802475,53.08384012200336,2.0,52.031241631373675,121.6,51.60498086712628,292.0476339968686,355.64697999999987,3
Mutkurve,80.40286,171.61702027375833,244.44342,100.0,16.619471240791615,70.68604244649637,2.4,28.336518882940197,82.31874,33.67010975688572,254.77493490218686,1028.3675000000003,4
Hohenrain,127.77904000000001,216.08671106920602,283.03502,80.0,13.942783409514135,72.74968981076688,3.4,20.9292536564659,65.0875,35.228596563211866,260.5092679503755,859.9913799999988,4
Schwedenkreuz,102.19578,175.68827156355172,266.19058,100.0,24.78239287822056,56.00802780755498,3.0,34.165566164497584,86.45,32.14470329431079,186.79178697505608,674.8711400000002,4
