section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,104.29245185185185,162.574943885296,206.65617777777777,97.0806074074074,10.405524939658111,67.83974289162175,1.8518518518518519,32.70987697734134,85.93532962962963,41.44182646301133,312.10456012480194,866.9725166666668,0
Hohenrain,90.71715,200.7030210536673,276.6555351851852,97.62527037037037,13.878954045181203,67.53922313873623,1.7592592592592593,27.297218969816782,79.83593703703703,42.759034404976624,323.35292696256585,1001.1675055555555,0
Hohe Acht,118.39786296296296,163.3184964764993,211.16438148148148,94.15395925925925,9.254011220222859,63.361064995245926,2.1666666666666665,31.483472970508164,72.36950185185185,49.71329389717116,367.9959519062464,1435.0328870370372,0
Mutkurve,89.85529259259259,180.96015890624128,249.56285185185186,98.70733148148148,12.26968341343387,69.08261039685735,1.7037037037037037,33.13125476810948,88.42013888888889,40.51119465493456,347.7448852987832,1026.8952037037036,0
Hatzenbach,104.78879259259259,154.86319366582237,225.2697925925926,97.71967962962962,11.664069045221298,62.554663597407256,1.962962962962963,35.25116684361179,80.38787592592593,51.65103512574829,391.7968892802739,1180.4013166666666,0
Schwedenkreuz,106.50939074074074,187.1092512600678,274.1962888888889,99.18663703703704,18.831694166180892,57.64140023475391,1.9814814814814814,33.31900850397773,76.74898703703704,35.62196849769322,212.49020846533543,672.3928055555557,0
Schwalbenschwanz,103.84697037037037,152.14415612419668,238.40031666666667,95.17066296296296,14.29608918196943,62.35783153603591,1.8888888888888888,29.454558869999758,81.85228518518518,42.933734534245886,329.7352082838585,761.8319592592592,0
Pflanzgarten,111.4616462962963,167.77038254723334,220.75099814814817,94.92374444444444,7.9721590359958165,74.10749183925894,2.0555555555555554,31.021590886554304,72.82305925925927,43.50509447168587,282.98765287099127,955.4306185185187,0
Pflanzgarten II,208.04645185185186,220.93495907099435,234.53130925925925,10.689905555555557,0.6885454172365928,88.19318361137897,4.481481481481482,19.569195620302338,49.43547592592592,49.42716914093945,210.48082515203893,432.7532425925926,1
Fuchsroehre,188.08101296296297,237.9603090212147,268.1347759259259,6.158316666666667,0.10955355818962621,98.23820832971344,3.925925925925926,11.231717341109698,30.44097222222222,26.821733366207695,128.4318901007688,726.7261518518518,1
Flugplatz,207.5279240740741,221.5555586966881,237.8483148148148,26.17283888888889,2.3980875500126255,82.23189310560493,4.7592592592592595,25.661446082957156,53.741320370370374,32.957740013905486,177.62472020202787,482.33617962962967,1
Schumi S,168.05989814814816,182.02632128980184,202.49583333333334,15.54102962962963,0.9562023440375746,82.24192439193276,3.685185185185185,30.233214156543365,55.474681481481475,37.1743545107965,228.12827535112288,374.10037592592596,1
Galgenkopf,151.62904074074075,181.11631575199723,212.93286296296296,74.9891074074074,4.473239302844286,79.18730071377841,3.0925925925925926,19.482265884051067,62.87094444444444,34.79882040815352,215.32697576788954,570.7608351851853,1
Adenauer Forst,83.08240185185186,129.91300006937823,220.56082222222224,92.91212777777777,14.5486498045601,42.67147852378533,1.5555555555555556,45.3712412402354,90.37268518518519,57.043717218270075,353.6803660309717,460.54834629629636,2
Bruennchen,114.81283148148148,140.20815839193395,173.56119814814815,92.06245370370371,11.103374712618828,59.2327646937666,2.1666666666666665,37.12360793938867,71.98987407407407,45.86522668265393,331.3591649346326,626.0910962962968,2
Ford Kurve,86.97952962962962,128.53061845566046,197.83675,97.60348518518519,18.009683050205933,51.76809118356592,1.6851851851851851,46.14258455113035,96.22222222222223,41.36888532095914,286.1015561612542,412.1424351851852,2
Breidscheid,110.15317962962963,137.05257796210074,208.59790185185187,98.78721666666667,20.089248688806688,59.14477877779777,2.0185185185185186,34.760856559882754,73.79716296296296,47.575759990467134,301.9531128825131,411.68839444444444,2
T1+T2,54.19255555555556,109.14280752945126,238.23825740740742,94.77124074074074,22.85170074711327,51.724723052827684,1.037037037037037,63.58949117499552,125.57754629629629,50.28304470971899,482.96213579241424,419.08225555555555,2
Lauda Kurve,114.60543148148147,172.10310886020704,231.5437888888889,98.16267222222223,18.140157793895895,61.09725045182865,2.1666666666666665,31.78012847428024,76.24884074074073,38.72031666019057,257.18422627500127,460.3599111111112,2
NGK Schikane,128.4380148148148,163.8271414590197,242.65631481481483,99.15759074074074,21.158876657463676,60.41169779434826,2.5925925925925926,27.127038068907343,54.68156666666667,43.219016447956946,278.1680814541451,342.2904092592593,2
Wehrseifen,74.68627407407406,122.54947009659617,207.6312074074074,98.88162407407407,23.70374913925403,51.823269680226815,1.1666666666666667,51.76560405397727,112.51273148148148,54.91225041350948,341.3720203781015,353.6998703703706,2
Caracciola Karussell,78.39378518518518,117.51051786118325,185.5401,98.5112537037037,14.945809461371338,56.08955716561846,1.6296296296296295,48.52464837720232,103.91319444444444,88.86713855286386,2265.627800611912,357.84162962962955,3
Metzgesfeld,109.8836074074074,161.52437634547007,233.09031666666667,98.61292962962963,18.144352002544387,56.06025380740106,2.0,31.07304471441657,68.40306666666667,73.15883891450962,1590.6441566586118,457.3487759259259,3
