section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,102.60624,160.8890972576177,204.12223,91.76469,9.2633708310781,67.34808590474138,2.0,34.076427512172984,89.06875,42.132575547285974,261.09657254319643,867.5487300000002,0
Hohenrain,91.38933,199.33583149819907,274.83788,93.4902,12.922087212069405,69.93309213360551,1.9,27.416153828752964,73.9625,44.18711477746503,290.39629900677727,1005.2047699999999,0
Hohe Acht,119.15694,162.29997821017218,209.93513,88.78432000000001,8.505189349313774,64.0603911063669,2.3,33.99266300959737,79.41328,46.82353913491428,309.2891917241235,1435.82227,0
Mutkurve,87.63713,175.99554879021863,245.17738,96.50980999999999,12.034785544557895,71.04038659195396,1.9,35.80207258405493,96.15625,40.16668154361806,342.91555167960274,1027.77878,0
Hatzenbach,103.01975999999999,151.08366297675664,222.12864,91.92157,11.140642092590246,63.262704768446234,1.8,33.98907667798419,77.51953,52.4503232389666,400.7564335174365,1181.20007,0
Pflanzgarten,113.09528,167.40835211426145,219.5163,90.15686000000001,7.703940478932749,72.30415670927577,2.1,32.74479669042144,70.3875,44.77126656999331,228.94832097778118,957.40822,0
Schwalbenschwanz,95.97927,147.62243190953455,240.41502999999997,90.31372999999999,13.623275097768769,62.83752418996387,1.9,29.32897418982708,83.48125,44.83207482020755,360.0989463694973,761.8106,0
Fuchsroehre,188.88914,239.16122598823304,269.7688,14.705880000000002,1.0719854288063357,98.27145751162791,3.6,10.958266290254407,34.10039,30.802337628530474,167.6674073556379,728.9509400000003,1
Schumi S,163.48668,179.5304156714938,201.06431,19.76471,1.0904379974033374,79.064905001516,3.2,32.31259717286438,58.575,36.68021033435974,231.01893354102359,375.26944,1
Pflanzgarten II,201.73877,217.16769482400704,232.25911000000002,15.333339999999998,0.9877358206516942,90.48436241250636,3.8,20.25996477253694,46.51914,53.58730960727884,229.48131877814825,432.9731400000004,1
Flugplatz,205.95942,220.19938565422814,238.88229,48.86274,2.9831198710938516,80.0508167911928,4.8,27.707083923697116,57.24375,32.51714609674487,178.61336915330796,483.88536999999997,1
Ford Kurve,85.31699,126.02957242404071,197.86908,92.43137,17.021736590166135,54.85170121184833,1.8,45.147097106433236,92.125,38.34332723428847,197.7260012802429,411.65379,2
Bruennchen,117.26024,141.2932655785529,174.62957999999998,90.07843,11.715155384175498,61.94355222662161,2.3,37.02390164382489,73.1375,38.845556225470396,246.56988202902727,627.0047800000004,2
Lauda Kurve,109.19127,171.0674919875939,232.945,95.92157,18.543893132669872,64.40762008414177,2.2,33.0345636394286,78.6875,35.87777392015793,170.94682315523713,462.7179500000002,2
Galgenkopf,141.45494,175.58811400403673,209.87488,77.41176,5.079631268430492,77.80837400543348,2.7,21.511906598851347,66.48125,34.09696876141563,209.98584988554308,571.5521399999994,2
Breidscheid,109.1081,137.45728857824753,207.55016999999998,94.86274999999999,19.243187017040874,61.01992153302139,2.1,38.18442960004908,80.93125,47.02666581647078,251.81945605703214,411.2854399999998,2
Schwedenkreuz,104.97215000000001,183.5441333893626,275.28724,96.54901,18.50874270648915,58.9376631211047,2.1,34.29962089337952,83.18125,34.5716994367328,171.43789680052402,673.6077,2
Metzgesfeld,110.19530999999999,161.7094679227452,232.32242000000002,94.62745,17.70603335496717,56.60446052426896,2.2,31.111491472059924,67.39375,41.342735029674586,214.84764443314612,457.44899999999996,2
NGK Schikane,120.54399000000001,159.164374926117,243.76289000000003,96.47059,21.722125997700314,63.094200589686366,2.6,27.410028829692557,58.146879999999996,41.51416535179657,307.1130374480419,341.6022400000001,2
Adenauer Forst,74.14741000000001,124.72462179849114,215.69542,89.84314,13.402892390256929,44.672940284449126,1.7,45.84849857693794,91.04375,53.69984989973769,331.10320329617815,461.25770999999986,3
Caracciola Karussell,79.17220999999999,117.90697408640642,187.00312,92.4706,14.691769785869173,59.458331647192736,1.6,47.691040789904015,105.79375,44.919598437399806,296.3811146351177,357.69743999999974,3
T1+T2,50.55314,108.20155698127596,242.51622000000003,98.03921,22.622831872326145,52.300865333004694,1.1,66.9581111994963,144.9875,51.60285691713898,366.41042202899996,435.59207,3
Wehrseifen,72.01647,121.04427458244754,207.26102,95.17647,22.749300892561877,51.68029443413186,1.4,50.576447661451866,118.1,53.14877501222221,258.72684961630017,354.03862999999967,3
