section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Bruennchen,115.12387142857142,138.83435982737862,171.02965714285713,86.44258571428573,10.008919468964859,60.38514530285113,2.5714285714285716,43.46477561021316,90.90178571428571,63.01252635991711,416.86290712840275,626.6164,0
Mutkurve,80.87608571428572,176.53583742026171,249.36075714285715,96.41457142857143,11.35139070295273,67.13042485563672,1.8571428571428572,39.72598559314782,101.15178571428571,57.527342068788904,479.0797782416047,1029.5405428571432,0
Metzgesfeld,108.68565714285715,161.4365867602656,233.06738571428573,96.2465,17.48954392238241,57.90971979310495,2.857142857142857,36.4230581173952,83.26897142857142,57.06002491298634,395.4882773173248,458.28901428571436,0
Lauda Kurve,112.97234285714285,171.20156656062358,231.78345714285712,92.49300000000001,16.956591311537178,61.01716459464457,2.4285714285714284,37.71916217816892,86.08928571428571,46.92343500747054,316.7135094214038,464.40392857142825,0
Kallenhardt,101.3831142857143,159.64575392418288,199.60435714285714,94.73389999999999,8.918223572348486,65.48151587803444,2.2857142857142856,37.385670634415376,94.38392857142857,60.26546770213947,413.3604064555356,869.1914857142858,0
Hohenrain,84.92735714285713,200.52931967415785,276.3877428571428,88.96358571428571,12.663827390079351,67.72985191079546,2.2857142857142856,33.37375461002639,97.14285714285714,68.73558198510436,570.7948270783572,1007.5937285714286,0
Hohe Acht,117.55115714285714,161.09894757922936,211.92708571428574,87.05881428571429,7.446493868946034,62.55233050447487,3.142857142857143,37.98162516583225,85.9375,65.14162643500649,389.30914155840446,1436.959357142857,0
Hatzenbach,104.88944285714285,151.62491223094335,220.14298571428571,87.67508571428571,9.627951419706873,60.24420277402963,2.2857142857142856,39.8954646849384,96.20535714285714,71.0971154840126,551.9407037821774,1180.3938857142855,0
NGK Schikane,120.92558571428572,160.08684542356727,243.9983142857143,96.52661428571427,22.48516981581766,64.75377292612887,3.0,33.14679996672924,73.28571428571429,63.45301517587976,442.90503042568514,342.63954285714277,0
Schwedenkreuz,105.82675714285713,183.9241413925094,273.97464285714284,97.14285714285714,17.4026785429687,56.528444289271704,2.4285714285714284,41.80990654488148,94.72321428571429,60.77881606387081,357.84990602847995,674.3490857142857,0
Schwalbenschwanz,100.75968571428572,148.48177227610972,238.30887142857142,85.54622857142856,13.025687446528725,61.7893154464595,2.2857142857142856,33.14210532599669,91.13392857142857,64.39457314220486,406.39116014300026,764.5085714285722,0
Pflanzgarten,95.93562857142857,159.6673949998537,223.47820000000002,91.59664285714287,9.698559758716206,73.6822864684104,2.2857142857142856,34.79119424986969,87.95535714285714,61.694903433532424,421.1184395529373,956.2883857142858,0
Pflanzgarten II,202.84688571428572,219.80150117833452,233.5654857142857,6.162471428571429,0.5219529029221752,90.50936053211454,4.714285714285714,22.480476086724984,63.714285714285715,65.00843083303191,320.2961972690358,434.94832857142785,1
Flugplatz,197.75691428571426,214.9891106086525,237.4511,23.36135714285714,1.9087790408308725,73.24469122485593,5.0,26.847634865806935,60.49218571428571,38.94807652782314,238.65773361806848,484.736957142857,1
Galgenkopf,145.41301428571427,176.41950687567777,208.09382857142856,77.19888571428571,5.20939520085779,76.45727062306823,3.4285714285714284,20.49602812929324,60.607142857142854,48.64211313818115,289.88841664523386,573.448642857143,1
Fuchsroehre,189.01132857142855,239.44119142035035,269.5658714285714,14.5098,0.22268905844155848,99.1361998051948,4.285714285714286,13.701120468671068,40.70758571428571,42.388166646467916,215.7822023227492,729.1676571428577,1
Schumi S,163.71622857142856,179.75728764406466,200.41852857142857,14.229685714285717,1.0145147704222754,79.5613797718473,4.0,37.889953676212095,80.24554285714285,64.98010084515043,406.0874976803805,374.69537142857143,1
Breidscheid,92.91652857142857,125.45468187049121,205.7798857142857,91.65267142857144,18.143672337384665,58.17353435717753,2.142857142857143,45.52931587472799,96.67857142857143,135.56548821534872,6265.958612624978,413.19284285714326,2
Ford Kurve,84.51428571428572,126.72827750232061,198.1188,92.49300000000001,14.76888702658674,50.271228141047246,1.8571428571428572,57.40654711186871,117.8125,61.19127507058787,320.68145815027174,410.1685428571428,3
Adenauer Forst,83.16714285714285,128.1198848450045,206.65401428571428,82.85715714285713,11.512423522524013,47.765218044274185,2.0,54.19477024449129,109.35714285714286,88.22267260813734,570.3386644497566,461.96828571428574,3
Caracciola Karussell,74.65804285714286,116.07518404891832,187.38734285714287,95.46218571428572,15.670611376976394,59.93135075245753,2.0,53.855394285706346,119.83928571428571,73.7467488803643,463.18557069903284,358.8256857142857,3
T1+T2,54.95972857142857,109.9483173453062,248.3514857142857,100.0,22.962961281193678,53.742316704260176,1.2857142857142858,69.99330955779286,132.0,59.35798535373176,580.160015649649,436.25244285714285,3
Wehrseifen,78.6875,120.93480906589939,203.65125714285713,92.0448142857143,18.769869745461342,50.62342601082884,1.8571428571428572,57.46317233482108,118.24107142857143,76.84014274139288,606.4305151519033,355.53210000000007,3
