section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,101.43815000000001,159.49212923236306,201.04145,93.33335,7.556787724883767,63.873012934606834,2.0,44.95956456326576,103.5,44.81905701756904,430.83661414325,868.2437499999996,0
Hohenrain,77.6799,198.68984088912845,271.52665,100.0,13.951011202938476,68.52745168283627,1.5,36.8899675477311,101.4375,52.34841546055868,390.9245915081752,1005.3148000000019,0
Hohe Acht,118.20785000000001,159.6422312921909,205.5581,95.4902,9.064338951611324,66.5740951728726,2.0,41.780147533474874,96.59375,57.5204176472928,361.39763923386136,1436.7150999999994,0
Mutkurve,87.29305,173.2776739527845,240.0969,93.13725,11.3937554842615,68.52331615617433,1.5,42.57264488557478,106.625,40.02257258070985,301.6022330484933,1027.7589000000007,0
Hatzenbach,105.3788,150.11254527959838,218.63125,100.0,12.05084695300516,67.80334195486449,1.5,38.40310542423614,93.7344,53.88210976510172,277.04734474971286,1181.4568,0
Pflanzgarten,102.0943,159.5120398437197,222.06074999999998,100.0,10.365848334432078,74.18195356187226,2.0,43.675160716944305,96.125,56.47001145107437,400.0344522498499,951.7330500000007,0
Flugplatz,201.7548,214.17762380952382,231.03685000000002,19.8039,2.043571111111111,81.88949753968254,4.0,28.375859905991675,66.09375,35.25898934472258,182.66647778479398,484.77720000000045,1
Fuchsroehre,187.08704999999998,235.10226676948054,263.16089999999997,30.39215,0.27629227272727275,99.37252772727273,4.0,11.953591151675656,34.78125,27.548720093197478,176.55653305079286,723.3144499999999,1
Pflanzgarten II,203.94830000000002,212.59338151675485,221.67925000000002,3.5294,0.0702006172839506,84.33611499118166,4.0,25.972370328907438,80.40625,68.15424745989702,269.84886433598194,427.2767499999991,1
Schumi S,159.61315000000002,175.9959491204532,198.4855,33.33335,2.0405843023255814,81.05152786225402,3.0,33.937775860599686,71.75,36.38833428423792,239.82539512008503,375.10390000000007,1
Breidscheid,105.24145,131.47984905594404,189.66965,100.0,16.939531293706295,59.38570412587413,1.5,44.70325145638972,97.625,50.69525753092566,270.5803568207499,412.6302000000005,2
Caracciola Karussell,82.30715000000001,112.41959379730866,182.66955000000002,91.9608,15.082125855060276,53.86521877628259,1.5,54.98888427950645,108.46875,64.61477884570019,467.81832492974473,357.58659999999963,2
T1+T2,52.639849999999996,108.6088079278813,247.03590000000003,100.0,26.533292770876464,50.682664937025535,1.0,66.98643439917169,130.5625,45.1221227354997,341.28542545184325,434.20105,2
Ford Kurve,79.94964999999999,125.38155903846155,196.84140000000002,96.07845,20.019356282051284,59.04599282051282,1.5,52.370247116788235,108.03125,37.66932777009228,199.55614372556164,412.86154999999997,2
Bruennchen,104.97065,135.7475325594269,168.30700000000002,93.13725,13.050063686095735,67.72262037772711,1.5,46.97074790535724,93.1406,56.237609189320274,321.3853192029529,625.9963499999994,2
Adenauer Forst,77.50819999999999,126.08377993303571,195.49095,94.50980000000001,13.868522924107143,50.905629754464286,1.5,56.11995972328329,110.75,68.99106783245597,356.6229534831699,458.06264999999985,2
Wehrseifen,76.73,117.85044995483287,200.97275000000002,94.31375,17.83437012195122,50.51941452122854,1.0,45.19825549783546,97.375,50.43236640240764,311.11429345711247,358.51084999999966,2
Metzgesfeld,107.09165,155.55709140866873,225.52835,95.09805,19.665413931888544,58.395550954592366,2.0,36.40195251412508,92.5625,61.46538534867036,359.03411212143027,451.7123500000007,3
Lauda Kurve,105.53905,162.37230068357619,224.67000000000002,99.41175,17.557962358337832,62.87809943335132,2.0,36.61060296003881,84.3281,38.61889539198411,190.51504670610953,463.5247499999996,3
Galgenkopf,140.07405,172.1501890086207,206.054,86.86275,5.901443382352941,77.70143421653145,2.5,32.80613569672943,83.8281,48.33376423594811,429.7696345954857,570.3003000000026,3
NGK Schikane,113.6988,152.37528715354767,238.5405,100.0,23.6071798364745,65.26449007760532,2.0,34.45477333568661,90.6875,75.10371908156716,333.7913763739772,341.0451499999999,3
Schwalbenschwanz,96.57820000000001,145.73312143888975,230.62865,94.90195,15.881027567971934,67.13009098178816,2.0,35.67024556338781,98.59375,53.62541887026248,456.10615750428934,761.2376000000004,3
Schwedenkreuz,105.684,180.6428182120221,268.65795,100.0,18.29853516663259,56.69249691269678,2.5,54.451690286640996,97.46875,42.98858142475804,249.5983796893238,673.0397499999995,3
