section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Hohe Acht,116.86885,166.63831868627452,215.06065,97.64705000000001,10.236074260935144,66.46792526093515,3.0,27.495993947193462,58.0,51.082079791371456,484.82739289384597,1435.3301500000016,0
Hatzenbach,108.2704,157.17031543540128,227.02755000000002,100.0,12.192816483352305,61.98980812891293,2.5,27.866617261698664,85.5,63.69913080412928,551.666496670133,1182.1888,0
Pflanzgarten,106.26005,162.94924458171036,226.61174999999997,100.0,10.224621827219348,73.09402707691413,3.0,31.20793829656236,119.0,63.766085495784495,634.82266239621,951.7117500000004,0
Fuchsroehre,189.6582,241.8676516601136,273.61715000000004,0.0,0.0,99.6078,4.0,7.800392295739427,24.0,18.631143593462447,94.8395218374053,729.4850000000006,1
Flugplatz,201.29705,218.40404068372652,239.74975,55.4902,4.164062794882048,80.35174901039584,5.0,18.82945405923475,44.5,24.73018220121657,180.69098724900192,483.67549999999983,1
Schumi S,165.2361,181.05902739297738,203.0861,13.7255,0.7708275533108866,76.62486028539362,4.0,21.882780252947363,40.5,28.736904309078767,177.1850470223547,376.03020000000015,1
Pflanzgarten II,214.16415,229.31904897336292,242.5536,0.0,0.0,94.81541617647059,5.0,16.431509295735886,43.5,31.014399223925793,99.15490615488287,429.86724999999933,1
Galgenkopf,160.26934999999997,187.02461147058824,217.22745,76.66665,4.572337090336134,83.4210088235294,4.0,19.471462883869535,55.0,32.96030430072102,214.4324811378038,570.2138500000001,1
Kallenhardt,99.5384,163.73038886853448,205.92430000000002,100.0,10.957064342672414,66.71479377873564,2.0,32.11277675291423,96.0,38.27657087867456,224.69332626566143,864.5617499999998,2
Caracciola Karussell,91.08875,126.05177307692308,188.4909,100.0,15.373304807692307,58.924066025641025,2.5,42.179287841484935,91.0,31.728117991466284,237.0313778575021,355.9698500000013,2
Bruennchen,120.99645000000001,143.56536188524592,177.3518,93.3333,12.600795559244657,60.693379518572314,3.0,35.30425633370703,78.5,45.399402940903386,270.2573087282564,627.3382500000007,2
Breidscheid,116.4759,139.60725433221097,207.35485,100.0,19.361325274971943,59.87274346801347,2.5,30.554177397581725,62.0,45.14047446643434,199.98827723588587,413.5045,2
Mutkurve,89.49799999999999,181.89086631257092,255.9434,100.0,14.21893753309797,68.64661474908587,2.0,32.84331212775588,93.0,41.91452314351254,326.90597741732137,1023.2315000000008,3
Metzgesfeld,113.56145000000001,164.82199676113362,239.0402,100.0,19.133918421052634,56.633112803643726,2.5,27.11522294498137,64.5,45.07709380894532,265.9707484164854,457.1807000000008,3
Lauda Kurve,118.2536,172.02185575342463,235.22545,100.0,19.65242908219178,60.650639095890405,3.0,37.91848330499146,94.0,49.332058968872914,527.9452006950344,460.7312499999998,3
Hohenrain,94.19395,206.3984079825591,287.73934999999994,100.0,13.674407043434513,68.24135695539158,2.0,21.221074891703978,60.5,39.940321467113144,421.7714858048511,1004.0108499999988,3
Schwedenkreuz,107.64095,186.63079467608415,280.08320000000003,100.0,20.079894922913343,53.715796327941064,3.0,37.47916093689714,88.5,33.11091427302772,201.41244406839851,673.4239000000002,3
Schwalbenschwanz,110.29984999999999,153.44184616977225,252.1782,100.0,15.929100095556617,61.25709603440038,3.0,28.3888150230919,89.5,41.91571801967687,309.30339328426794,759.6915500000014,3
NGK Schikane,128.5153,162.9317739518072,246.29590000000002,100.0,21.901035526104415,60.681428240963854,3.5,24.20460875960003,52.0,43.45911836486895,438.1751181116205,340.75415,3
Ford Kurve,85.832,129.13931505513148,202.78475,100.0,19.34617523977295,52.27311815749984,2.0,47.63473527841332,109.0,50.015285779069806,339.0993634352743,411.98709999999994,4
Adenauer Forst,84.2031,137.39102586805555,225.2384,100.0,17.632763020833334,46.679597916666665,2.0,39.75635824697996,93.5,73.69340252844736,307.3938811424541,462.5916499999994,4
T1+T2,53.665949999999995,111.91841143308746,248.4512,100.0,26.465938641552512,51.70616779504742,1.5,60.76975887710252,127.0,53.9196367846627,403.9707168115493,439.35844999999995,4
Wehrseifen,77.9774,124.03396346153846,207.55705,100.0,23.35595769230769,53.38108814102564,2.0,45.67792493364534,114.0,59.88703434229163,314.529527923524,349.8591999999999,4
