section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
Kallenhardt,101.8057,162.390410569058,206.16198979591837,94.22168571428573,9.311238869992353,68.53083128740566,1.9591836734693877,28.216863846063898,76.76594285714286,41.08861790619226,302.2140772925005,866.8805897959184,0
Hohenrain,89.08574897959183,203.8654936508658,278.70276530612244,96.71868775510204,13.582024095330826,71.31457131955497,1.836734693877551,24.215714294935605,72.52088571428571,41.27759219576653,325.62610648443837,1001.533279591837,0
Hohe Acht,120.44365714285715,164.10888424773992,213.06748163265306,94.68587346938774,8.354769216746995,64.8897166141681,2.6530612244897958,26.55690498828536,70.07015306122449,48.43762486556349,400.8481375866594,1435.0982653061228,0
Mutkurve,87.61777346938774,181.1106411891223,248.89862448979594,97.24689795918367,12.003131884422519,70.54537078692852,1.7959183673469388,28.516805757036526,79.32158775510204,38.17740240704704,305.7014132751199,1027.9005285714286,0
Hatzenbach,105.13497551020409,153.87404466718485,226.27245510204082,96.76670408163265,11.072511032818012,63.30369210864846,2.122448979591837,29.84321815878705,74.96811224489795,52.94747221861104,409.47387803688594,1180.6175551020408,0
Pflanzgarten,111.37248979591837,169.02692586241662,222.8165979591837,94.19767142857144,7.678738807152126,76.17189756041444,2.2653061224489797,26.220067311743474,68.70918367346938,43.620721048300396,318.1381620003818,955.8594551020408,0
Schwalbenschwanz,104.57645510204081,152.1421469550405,243.7016775510204,94.22969387755103,14.052755180247285,63.260071222344685,2.061224489795918,24.650016176704277,73.1291448979592,46.05838953093993,392.9058686995942,762.7884857142855,0
Fuchsroehre,188.42914693877552,238.49343308271537,268.46427551020406,8.075226530612245,0.14132537051465474,99.33131047119073,3.979591836734694,7.781861134496884,22.775632653061226,25.184702925784705,122.75515422794494,727.612981632653,1
Schumi S,169.81079591836735,183.6853595105527,202.9672612244898,5.802322448979592,0.2677757253504928,82.85675950879966,3.9183673469387754,25.699841394037165,53.847336734693876,39.98219622311084,243.76259974613552,374.6791285714286,1
Pflanzgarten II,210.9514632653061,225.6915064960859,238.07483673469386,9.16366530612245,0.5654089562947311,94.14026109239882,4.755102040816326,14.983579758251883,37.47209795918368,45.22810833174624,177.8002777955741,434.2462591836738,1
Flugplatz,214.07893469387756,225.43274729631938,237.7162530612245,14.13365306122449,0.8217104834107897,83.76759867827103,4.979591836734694,19.462907339224397,44.21372857142857,30.28405848075599,145.38401134761745,482.3128285714285,1
Galgenkopf,150.54114897959184,181.70641029639143,214.27045714285714,75.57423673469388,4.152617621915977,80.28105179472924,3.4081632653061225,17.91087809649087,54.73429591836735,36.59784197677597,229.08381690073253,570.5659979591838,1
Ford Kurve,87.56265102040817,128.61947551183107,198.59383469387757,96.9988,17.07563434055132,52.080145438466445,1.7959183673469388,43.22028324714675,94.81632653061224,42.443028694598375,267.4806910450997,411.8672734693878,2
Breidscheid,111.76440000000001,137.7233943457786,208.35789387755102,98.7274918367347,18.600454481098183,59.08117837499874,2.3469387755102042,29.843387791435223,66.57445714285714,48.80984759663718,306.23860634422874,412.10953673469385,2
Bruennchen,116.24478571428571,141.20238007808484,174.62175714285715,92.78111428571428,10.86820437627689,61.3837300414219,2.4693877551020407,31.978581091056686,71.84725714285715,46.31432324108068,359.05981033669514,626.7312918367351,2
Caracciola Karussell,80.66930816326531,119.42863582953952,187.2188612244898,96.75070204081634,15.171472648130894,59.098582337931056,1.7755102040816326,43.498679842307936,95.27551020408163,46.81694849954186,311.0938919220547,357.1993367346933,2
NGK Schikane,128.19524897959184,164.01372232490357,242.8140142857143,98.67146734693877,20.84333104409071,62.768210251835605,2.795918367346939,22.71916473667513,52.29145306122449,45.52517030658568,299.4032923063434,341.95094897959183,2
Metzgesfeld,107.84220204081632,163.2900381665319,234.3127081632653,97.18287346938776,17.51054352432438,55.6945795770908,2.204081632653061,27.91782345484573,65.44005102040816,48.53256007386295,276.17789782699805,458.1693040816327,2
Lauda Kurve,115.33935918367347,173.7038590672183,233.35917755102042,98.16726530612245,17.726641395576944,64.1685290810079,2.3469387755102042,26.02292176050414,63.84327142857143,36.37797873896187,220.57746436254143,461.852187755102,2
Adenauer Forst,81.69571632653061,129.94330571355462,219.69721836734692,94.51780612244897,14.611363455445982,46.374161329477246,1.6326530612244898,40.5938176275722,85.62372448979592,57.092467519783476,361.8865486902941,460.6663285714284,2
Schwedenkreuz,107.02459591836735,189.54098001528362,275.08154285714284,99.32772857142857,18.451656102128325,61.4703420128483,2.0816326530612246,31.341434451179122,74.82286326530613,33.44610040349991,195.03791807301153,672.4110734693877,2
T1+T2,53.2363918367347,109.92427288802682,242.8113693877551,94.95798163265306,22.3699303828483,53.16304044862311,1.0,62.306324354951954,125.64795918367346,51.93226591487658,451.1415769585163,425.30306122448985,3
Wehrseifen,74.3491163265306,122.2794348106634,206.9143693877551,97.45498163265306,21.754972501967636,53.16750501641593,1.2653061224489797,48.777927532269125,110.67474489795919,56.88095134082198,327.6719939890754,354.14874693877533,3
