section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,48.6458,100.55859047619047,213.7331,100.0,32.124183333333335,50.424817857142855,1.0,66.0841960329312,127.0,291.68392787609474,1886.088291594905,300.97810000000004,0
T14+T15,122.4842,150.29354390243904,213.4585,100.0,26.150168292682924,45.872782926829274,2.0,65.08052285257472,127.0,297.99645012201745,1177.5157016752312,212.39400000000023,0
T11,120.531,133.75219750000002,182.4369,100.0,24.7156875,59.9509625,3.0,21.653262837520874,73.0,98.88088899397567,489.98053106631806,182.20740000000023,1
T5,132.2271,144.75683055555555,177.4777,100.0,23.93246388888889,54.629625000000004,3.0,22.69396769025578,74.0,125.27255310170835,619.2708887308484,178.10640000000012,1
T13,212.3293,222.07020857142857,232.9137,0.0,0.0,99.6078,5.0,22.431693291006024,70.0,136.65746415373332,540.5514124671184,264.4581000000003,2
T3,73.9452,88.03432600000001,135.9197,100.0,17.490196,54.148999999999994,2.0,47.44108062260089,106.0,224.1374010764423,782.42661139779,154.98810000000003,3
T7,78.8052,109.75165374999999,180.3616,100.0,22.32353125,71.39213125,2.0,40.81423758601831,106.0,147.87836832064826,817.4295261375551,309.4870000000001,3
T9+T10,150.8583,170.0611888888889,194.667,73.7255,1.7429190476190477,84.02735714285714,4.0,46.045809537571174,105.0,227.85864252160104,678.1462693272952,369.75160000000005,4
T2,96.8032,112.55097547169811,143.946,66.6667,3.958566037735849,77.31406603773584,2.0,28.43431713198904,84.0,143.2476310939864,712.752343978176,201.83000000000004,5
T16,90.5318,115.87821142857143,153.0861,100.0,4.868347142857143,68.84030857142858,2.0,34.38890388709007,88.0,123.18964040083415,664.4717464448563,278.59550000000036,5
T12,113.2677,136.1950767857143,174.0215,65.4902,4.4677875,68.67644285714286,3.0,35.208610019949376,74.0,128.40838736479486,556.7652542318186,260.09090000000015,5
T4,89.9519,111.87897333333332,152.8801,0.0,0.0,77.16772888888889,2.0,29.060653734228122,81.0,104.97559565513467,434.02443053942744,171.19669999999996,5
T6,83.8788,110.64944901960784,154.8943,100.0,12.83352549019608,74.74045294117647,2.0,36.680011278068484,92.0,91.9143804164748,584.4326492238523,193.07960000000003,5
