section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,112.24231999999999,134.13608032967034,195.95178,89.17648,25.26082358570535,48.142521079889214,2.2,25.99017814437218,67.8,46.6711798061605,223.8471864879354,184.70491999999996,0
T14+T15,130.47226,157.32951632418138,240.55392,92.70588000000001,28.556654687394673,43.04189329761998,2.6,29.51425028621503,54.8,42.15028207209252,251.8661153403385,211.23684000000011,0
T5,131.87762,148.21300721212123,195.18882,88.94118,22.532252658008655,45.51352972294372,2.6,21.933758147151632,65.2,31.986323762551915,124.0721491418409,177.34746000000004,0
T13,217.96902,227.99643651948048,237.64556000000002,0.0,0.0,99.6078,4.6,7.502956717448539,20.6,9.281755977549697,33.448297800768145,259.51514000000014,1
T9+T10,175.53064,187.26740392671192,204.3946,0.62746,0.07381764705882352,86.39830814494611,4.0,28.36329347158996,56.6,30.411787575625272,187.37160296544894,369.8265399999999,1
T6,88.41842,115.15559182266011,160.37996,62.2745,6.87669816833216,66.10138900633356,1.6,38.874979880930134,101.4,34.212382053503944,160.90568065931316,191.93039999999996,2
T2,108.29479999999998,122.4277398510404,153.76209999999998,7.607839999999999,0.6684332534013605,60.930472413215284,1.8,25.623191703025988,80.6,31.728382549761136,189.53391200087117,203.85359999999997,2
T12,121.45724,144.03741690027232,181.50608,36.70586,3.2162517884209265,70.85120916296816,2.2,27.88325170400966,77.6,27.04065883695112,109.49867657467937,255.30104,2
T4,97.48078000000001,118.58367601640211,157.72336,2.2745,0.08424074074074075,76.92287929100529,1.6,30.425557275606003,81.4,28.729982567470312,162.89194206966235,167.56054,2
T3,73.85517999999999,96.8319036557176,158.71978,86.11764000000001,21.789647472354734,39.128752174185635,1.2,38.813051261995994,102.2,51.056555234843714,310.88307382509964,154.50137999999998,3
T16,94.8989,123.37614824169547,170.0557,87.45098,12.983239601334322,63.59022725844103,2.0,29.553524821706496,87.4,32.56889554412106,211.20970550493706,272.83218,4
T1,61.40534,120.57265298674565,247.42655999999997,98.43138,31.533424358160836,52.009524362764424,1.0,46.88803728518672,124.4,36.13464747633488,220.60824027877652,302.74614,4
T7,83.05334,121.51789221616689,204.91186,90.35294,20.713115936958236,56.29468655663389,1.8,38.80976655923972,107.8,28.7658516167848,115.59326243773705,307.86366000000015,4
