section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,115.79310000000001,132.5479944736842,181.19325,100.0,20.598555263157895,52.67954855263158,2.5,31.01594667914116,84.5,50.13067032024488,163.27478633416987,174.0245,0
T14+T15,134.34045,161.86143888888887,244.66694999999999,100.0,34.31045638888889,53.46948027777778,3.0,32.66712911506152,66.5,53.663575456737426,153.24811655543988,207.83679999999958,0
T4,102.0447,123.49762574370709,158.40395,0.0,0.0,80.93997860411899,2.0,28.605152571770944,82.0,44.469199320967945,208.7122260611641,162.25935000000004,1
T2,104.3259,120.53221939102565,153.1128,44.31375,3.702865384615385,63.24533669871795,2.0,36.04674150000207,89.5,54.58109931681339,309.89705468370965,202.90729999999996,2
T5,135.5421,150.52725634920637,197.27625,100.0,25.452846825396826,51.92031349206349,3.0,27.7383899666904,70.0,74.02282046842402,365.0029977566025,177.42590000000007,2
T6,80.59434999999999,114.3544976790451,163.8056,68.62745,8.275600795755967,70.26210232095491,2.0,45.160606253805085,126.0,52.26733573563718,277.0828198361786,188.63574999999992,2
T12,119.1234,142.60425166666667,181.6091,43.92155,4.252941333333333,73.16827108333334,2.5,37.09813802524857,89.5,56.24680454736081,313.30075072453985,246.75980000000004,2
T16,97.01685,122.07309387096775,178.59539999999998,100.0,14.492634792626728,64.32510027649771,2.0,45.16547498912705,115.0,44.61881142471505,216.48602208447016,267.6695000000004,3
T1,58.3429,120.10413382352942,248.84789999999998,100.0,36.27697890756303,52.31189605042017,1.5,49.37998100407847,127.0,41.55230021142954,282.218462464309,297.84515,3
T3,75.7687,97.14220946969698,164.4579,100.0,23.472964204545455,38.55243428030303,1.5,54.21835614683739,127.0,55.046539884984,244.12747562349222,155.23005000000006,3
T7,86.78565,122.57823718253968,206.1494,100.0,20.863058531746034,63.44240492063493,1.5,46.956649381918865,124.0,41.35964637458123,225.30969091041155,302.0865000000001,3
T9+T10,172.1141,184.79489129464287,202.7657,0.0,0.0,78.18449620535714,4.0,35.70760648301101,103.5,47.959782999247125,285.56851238298395,367.73284999999987,4
T13,221.4275,232.05800147058824,241.2108,0.0,0.0,99.6078,5.0,8.186924962551892,23.5,11.890954337866201,46.31013149237521,255.1130499999997,5
