section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,45.506249999999994,105.84306835864486,247.73784999999998,100.0,34.991914004088784,53.15789602219626,1.0,47.81535624336908,128.0,41.99004874805921,461.6138009184459,303.6422,0
T14+T15,107.71345,133.77180096153847,217.02904999999998,86.86275,27.09940490547588,35.31872103976532,2.0,28.609760773336546,53.0,45.990352073896176,229.28502062304366,216.29410000000007,0
T13,213.5004,223.5816298392084,234.08485000000002,0.0,0.0,99.8039,4.0,8.552957405359125,23.6719,14.821578326017496,71.89727874170312,263.8412000000003,1
T9+T10,137.34265,156.71551136363638,189.00205,37.0588,7.331742567567567,72.59314835687961,3.0,21.03019116481442,42.6406,24.90216950870574,115.458600418929,373.67404999999985,1
T12,105.31774999999999,129.82747470891178,172.94195000000002,73.52940000000001,10.965377060008956,72.2349526533811,1.5,22.975229758949933,59.375,26.873760233631238,219.44794705474425,254.62619999999993,2
T16,86.07235,113.20499527887571,156.00060000000002,100.0,14.053235243741765,63.363461396574436,1.0,29.58814652153852,90.6875,34.912535349322624,259.8659333201697,277.9043999999999,2
T4,78.33215,104.05673921625544,149.26375000000002,47.64705,5.271917924528302,64.41417177068215,1.0,37.856799562932174,99.6875,30.991881475243694,167.97171067147056,167.7233,2
T11,102.49865,120.84810777777778,182.94425,95.2941,27.41938861111111,59.85401777777778,1.5,20.854472081876704,50.6758,34.63970111527496,199.0965446508167,184.23919999999998,2
T7,78.66405,110.36768216598315,177.0275,94.31375,19.446237378588386,63.64667515109001,1.5,33.54865038516839,92.25,21.996539843472675,126.72493530297776,310.4728,2
T5,103.1014,119.43072482638888,163.0541,100.0,22.683596238425924,42.79740159143519,2.0,15.335627330957557,46.14255,23.89568265798227,104.27544164782097,177.54139999999995,2
T3,69.0509,95.23731887254903,149.5308,76.86275,17.452740972222223,36.33634003267974,1.5,38.61188920347119,105.5,46.48588867136336,272.8065875969486,154.77094999999997,3
T2,92.75575,114.64037967736121,152.57495,32.7451,3.304953289473684,69.52470127974044,1.5,25.092419298306876,78.71875,57.10723018244286,401.5613396734506,205.68570000000005,3
T6,76.6232,105.97412189290162,153.01364999999998,80.9804,8.239298866749689,67.65852469489414,1.5,44.80873513054968,101.34375,51.52518212935519,629.0891800102611,195.26530000000002,3
