section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,115.4421,136.21552321428572,196.8032,100.0,23.86554642857143,54.92997321428572,2.0,27.437081935238847,88.5,56.63591651627195,214.01531548690804,187.17350000000033,0
T14+T15,141.4282,162.11228113207548,248.3406,100.0,30.662226415094338,57.425073584905654,3.0,27.595016378609223,55.0625,56.67690457447069,231.63524295924654,212.88360000000011,0
T5,136.8353,150.43440833333332,198.0697,95.6863,27.63072083333333,53.488560416666665,2.0,23.21987683723687,68.125,46.90471076975002,199.42065253983284,177.59739999999988,0
T16,92.752,124.37687472527472,180.7813,100.0,18.056451648351647,65.70135714285715,1.0,30.23004814041178,94.4375,38.562230755866686,230.0689507452324,278.5562,1
T2,104.9363,122.81448823529412,159.06,40.0,1.1995397058823531,66.66666617647059,2.0,20.122083661315834,76.9375,38.38211325932625,156.39819134908274,205.10040000000004,1
T6,89.3721,117.17391343283582,165.6748,96.8627,4.3312835820895526,71.71788059701493,1.0,35.15128289338997,98.8125,41.30888575161008,129.21652263059406,193.93510000000015,1
T4,93.1258,121.2768,163.714,0.0,0.0,81.80671785714286,1.0,25.885705366591758,73.5,26.60204962383391,160.12660082371036,168.51710000000003,1
T12,121.2406,144.30143287671234,185.8549,72.9412,3.900080821917808,71.42089863013699,2.0,28.125860884398108,78.0625,31.69539934487947,127.90535820000535,256.79349999999977,1
T7,80.5982,122.10881287128714,210.8186,100.0,22.096680198019804,63.08289405940594,1.0,34.02657615199841,106.5,33.61790741183985,132.02771877772966,308.7071000000001,1
T9+T10,174.8913,189.1495,209.2317,0.0,0.0,82.90196125,4.0,30.232573256402446,60.5,34.34021324452489,137.4389624682222,375.4686999999999,2
T13,221.7441,231.51419565217392,241.3062,0.0,0.0,100.0,5.0,7.4322230928490844,23.9375,16.063832515057992,64.37900146723457,263.20589999999993,2
T1,59.8077,119.62020000000001,253.0098,100.0,33.878429000000004,49.054902,1.0,42.3657270736082,146.5,44.45312518725654,261.8457141546181,302.0624,3
T3,73.0526,99.0855359375,168.5512,100.0,30.9313703125,41.004903125,1.0,41.40492476517931,113.125,51.69608848706868,288.5579090520168,156.84439999999995,3
