section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,120.6226,153.1019769230769,244.48,100.0,32.775261538461535,51.65911538461538,2.0,31.648173806363374,52.0,33.13040036673072,287.9300240216352,211.84259999999995,0
T11,112.2683,127.36338148148148,171.8929,71.7647,14.161218518518517,39.869277777777775,2.0,23.954562151254596,63.0,25.55824967893239,98.09612640903626,185.9447,1
T5,135.8816,147.13097428571427,183.3143,68.6275,14.352942857142857,39.51820571428571,3.0,17.9612439227677,64.0078,29.39162867661558,156.34131757827933,174.66789999999992,1
T16,100.0916,120.81888536585366,162.9282,80.3922,10.291729268292684,53.37158780487805,2.0,35.437518338065885,91.0,34.23110419550899,172.3106595657118,268.78890000000047,2
T2,105.8976,121.117728,155.8404,36.8627,1.364704,58.219604,2.0,18.955465812509278,72.0,21.240527689396146,149.02488230904254,207.06119999999999,2
T6,90.2647,116.28121458333334,159.678,84.7059,7.075164583333334,60.032660416666666,2.0,36.55540677581234,104.0,35.87921859668675,127.3538512228385,191.77229999999986,2
T4,96.5438,121.00652500000001,156.6873,0.0,0.0,82.70586999999999,2.0,30.761789752231692,78.0,37.05149366558659,304.6991653096189,165.75929999999994,2
T12,119.7452,144.02599393939394,181.5137,44.3137,2.495542424242424,65.26439393939394,2.0,25.71206321800905,64.0078,24.166508474127887,184.4499435616896,259.4178999999999,2
T7,90.4631,117.0065390625,193.9422,100.0,18.688725,40.851709375,2.0,36.1016680092704,95.0,21.090047559802564,138.15674815903566,301.83910000000014,2
T1,56.8551,115.47113684210525,243.6255,98.0392,30.24767763157895,41.41381447368421,1.0,44.845297734911846,127.0,45.64846522364694,271.48251449334236,296.5791,3
T3,74.0597,99.58671063829787,161.1429,89.8039,31.86483617021277,38.46474893617021,1.0,38.14527466998336,127.0,60.17244900838244,381.18804063027494,153.32359999999994,3
T13,217.113,227.0518181818182,236.9497,0.0,0.0,99.57215454545454,4.0,9.604839914564716,28.0,8.526065137444476,29.939717483896363,269.1720999999998,4
T9+T10,165.0111,177.06552222222223,198.1689,0.0,0.0,66.29193333333333,3.0,30.39226219851748,53.0,24.08624310632416,134.83431737362682,367.57079999999996,4
