section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,116.79255,135.15182512755104,191.928,100.0,24.557323979591835,59.888947959183675,2.5,23.76616014637699,72.15625,37.75280865225526,201.24702278621336,183.59929999999986,0
T14+T15,133.8712,161.33053612938596,240.12740000000002,100.0,33.47028760964912,54.100870668859656,2.5,33.913681514028355,61.7969,48.418295655216625,359.3745031815646,217.73549999999977,0
T5,130.6706,148.6700783857729,198.56185,100.0,26.400669334245322,50.89616614227086,2.5,21.753836413229784,79.1875,41.839614009067134,159.21092455144102,181.25919999999996,0
T13,211.12005,224.29332090697673,235.1072,0.0,0.0,99.8039,5.0,21.400052524002508,50.9531,38.64794294692787,167.09601679507045,266.2017000000001,1
T9+T10,169.1882,183.21617922108953,201.6861,50.0,2.6014593023255816,89.56507465753424,3.5,33.78384567293587,56.0,40.30050002251251,161.31230999780865,376.6176499999999,1
T12,122.07595,141.3822396356275,171.7708,68.43135,4.0686655971659915,68.59275475708502,2.5,39.31654429515622,93.65625,51.790776973976705,481.12975544322245,257.25235,2
T3,74.86075,97.86088582089553,157.35105,100.0,24.426817177505328,41.54108162313433,1.5,40.75082923226539,117.3125,62.456736045158095,392.3454871391675,154.16074999999995,3
T2,105.51235,120.76486155622258,156.5156,9.2157,0.6485392865389056,66.86101922188871,2.5,26.006373216821306,88.21875,27.070842959631857,135.24655866603035,205.57425,3
T6,87.6097,114.60249924882629,162.98545000000001,76.4706,5.47910265258216,70.44144345070423,1.5,39.37489676054218,104.5,47.333820687310364,309.8711241486539,193.83730000000014,3
T4,94.4152,117.52839034794246,159.0448,6.07845,0.3053688524590164,81.31861500501839,2.5,38.03874486408627,108.03125,38.05752991343911,189.3411488526317,166.74635,3
T16,91.00865,121.25721075386599,171.46945,100.0,13.865524001288659,61.85060927190722,2.0,26.17603617546917,89.71875,34.131364982452055,174.24736609664203,278.27405,4
T1,61.448100000000004,121.38285428321677,249.5842,100.0,34.94172561188812,50.57845808566433,1.0,45.48978618485535,129.125,43.08371394029568,251.8225738465844,301.6267,4
T7,76.6308,121.10371885774774,214.27865,100.0,22.404200715797963,58.23686570218772,1.5,43.1894229127022,119.40625,37.211077938878645,226.94638884309057,307.5208,4
