section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,55.8175,101.28154864864864,208.1941,96.4706,22.589647747747748,32.37589819819819,2.0,32.86524493199266,100.0,25.666507475894537,95.5974832849724,304.0893,0
T14+T15,116.2203,138.7717,222.4765,100.0,24.568280701754386,34.65428245614035,3.0,26.11380808927966,45.0,29.894394634099598,123.50885520500185,216.23489999999947,0
T2,93.1411,108.72194714285713,133.4096,0.0,0.0,53.030797142857146,3.0,21.494382938084705,68.0,22.43047847578192,109.7210723437788,206.16880000000003,1
T3,75.0515,92.3310328125,145.1972,100.0,18.4926484375,32.4816234375,2.0,30.126924424038812,83.0,36.97449341706101,167.9785107558473,154.9885999999999,1
T5,112.4208,124.12509807692308,138.9029,76.4706,6.930617307692308,61.983409615384616,3.0,19.71844512075413,49.0,29.653603124396422,128.64707273170842,178.91820000000007,1
T6,87.4876,104.04722647058824,141.3367,79.2157,7.860438235294119,57.51440147058823,2.0,24.600549895477663,69.0,23.31017712269447,82.12545505460595,195.5395000000001,1
T4,82.5895,104.27908245614034,140.2304,0.0,0.0,73.72546666666666,2.0,27.799623798591263,77.0,23.482450391892357,126.60870870870714,166.35490000000004,1
T11,88.4413,115.03115666666667,180.8957,100.0,22.836605000000002,50.57514833333333,2.0,16.79771400254669,54.0,20.89462950754332,62.586654322548874,186.5275999999999,2
T12,107.95,129.08750972222222,163.1495,53.7255,2.799565277777778,61.977106944444444,2.0,17.40956400980912,49.0,20.466700640256832,67.63077444518579,258.75199999999995,2
T16,91.6686,113.15353333333333,153.1014,94.1176,9.010892222222221,56.35292777777778,2.0,24.64042153664526,61.0,15.905933252358487,71.34389679069449,278.4516999999996,2
T7,80.2853,110.07159532710281,201.6098,100.0,22.800071028037383,51.4971476635514,2.0,24.804840900016423,64.0078,18.762622577418014,69.8911163466827,310.4724000000001,2
T13,198.2071,206.86722391304346,215.1904,0.0,0.0,99.60780000000001,5.0,9.684359882256938,25.0,12.908782065200088,39.9005712387332,261.9612000000002,3
T9+T10,149.3553,163.93493493975902,182.1851,0.0,0.0,78.36047108433735,3.0,20.387544964979753,37.0,17.940458162815258,77.28457067341644,377.7538999999997,3
