section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,99.8322,157.36485625,222.8275,100.0,47.90849791666667,39.182997916666665,2.0,20.22734733299377,65.0,31.571960670183802,107.05385588070953,184.40859999999998,0
T10,90.3639,121.33256547619047,176.379,48.6275,11.475255952380953,47.80578214285714,2.0,22.254702510810223,79.0,28.86137794147434,104.99873853059084,260.4288000000006,1
T4,92.752,102.78824090909092,116.6094,57.6471,7.245993181818181,46.30124545454545,2.0,25.122836618702852,79.0,38.3548931786093,124.8273167399919,115.69710000000009,1
T6,105.1194,118.31280370370371,142.4048,0.0,0.0,64.48074444444444,2.0,8.798932158025618,56.0,26.616012584749637,76.33664721951904,166.85879999999997,1
T1,118.2574,158.94948333333332,252.0485,100.0,17.892158333333334,59.64704666666667,2.0,29.827376821856543,56.0,25.825383939378412,143.28261623499864,487.5688999999999,2
T9,125.7954,145.92630373831776,215.7626,71.7647,8.40388691588785,41.01153831775701,2.0,17.26295651858721,68.0,24.846132716727777,152.0795471755248,398.85399999999936,2
T5,71.5648,83.59971463414634,102.2507,41.5686,2.687709756097561,43.54853414634147,1.0,38.35619325448773,127.0,64.0096504432916,157.64821452611383,84.5915,3
T13,71.3588,92.08327631578948,135.4162,94.1176,5.4540750000000005,54.886468421052626,1.0,55.12293697063656,127.0,83.87714948573532,769.7229724719779,247.9456,3
T8,197.0932,219.12760410958904,283.6423,100.0,14.703195890410958,70.28200273972602,5.0,9.091095003033567,26.0,22.88795954756828,108.82744483286639,410.1698000000001,4
T11,147.1885,179.33306296296294,203.1434,0.0,0.0,99.60780000000001,3.0,4.8962094271822965,22.0,15.577972540928599,42.11184853238997,255.53369999999995,5
T7,161.6541,179.94270681818182,197.3831,0.0,0.0,99.6078,3.0,12.04321057220408,36.0,23.209653066721582,96.78038618605792,207.35519999999997,5
