section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,119.0433,163.478575,225.5818,100.0,34.38502727272727,31.81816818181818,2.0,16.793966776904234,50.0,24.658555747046975,116.30130014787065,187.02089999999998,0
T9,120.1724,143.8549386792453,209.3385,100.0,7.4435811320754715,41.9422820754717,2.0,16.856065065223724,66.0,24.855033658504116,148.04357050039383,401.27930000000015,0
T4,91.0201,98.01615227272727,116.1364,100.0,20.481284090909092,43.23528636363636,1.0,34.81532202253866,79.0,79.72742513836339,391.6392832355426,112.89070000000015,1
T10,88.6625,120.9703811764706,180.209,100.0,12.701265882352942,52.604375294117645,1.0,39.72334917860147,122.0,44.430010876311265,322.2374348866509,265.2526000000007,1
T5,73.6629,81.8356675,102.9984,89.0196,2.7156875,55.5588125,1.0,21.44819718017022,92.0,49.409078170126804,138.64400957561244,86.63739999999984,1
T6,103.3951,118.3267925925926,144.358,0.0,0.0,66.02031666666666,2.0,19.829976470197103,78.0,27.048714029124614,115.4534624805111,166.39689999999996,1
T13,65.7816,99.8025875,141.8631,100.0,5.792484375,57.900312500000005,1.0,78.3820805495033,127.0,57.83910709656402,312.5833053996746,251.22689999999966,1
T1,116.4492,159.5711525862069,253.6126,100.0,16.460444827586205,56.430002586206896,2.0,48.38969725958742,127.0,40.398748904719696,575.2440075874978,486.59299999999996,2
T11,148.5847,180.518120754717,205.0736,23.5294,0.44395094339622637,99.6078,3.0,6.332018339462108,28.0,14.948537466358975,59.30326848525379,248.83849999999984,3
T7,165.0263,184.1433930232558,202.0752,0.0,0.0,99.6078,3.0,11.103935914970704,37.0,22.626728796718687,99.88808264815212,206.11249999999995,3
T8,214.8623,232.27283382352942,282.7726,100.0,9.302192647058822,65.70355,5.0,32.866119538029295,84.0,30.853229943667742,168.70602585997173,414.4789999999998,4
