section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,116.9146,159.09227551020408,223.0716,100.0,45.03401224489796,43.105242857142855,3.0,14.394608381624703,38.0625,20.15505705499401,67.09150999999777,191.09019999999987,0
T10,82.4216,122.36766588235294,178.6755,100.0,24.69665529411765,60.15686470588235,2.0,27.156495127291723,92.375,29.984133582658824,193.49088894481363,259.8217999999997,1
T4,89.25,100.95186304347827,118.1659,100.0,23.554991304347826,52.787732608695656,1.0,28.726422334201963,69.0,40.1667599495372,119.54114379504912,113.3556000000001,1
T13,65.1484,101.02055918367348,140.4898,100.0,12.773107142857143,65.10603265306122,1.0,66.72810431473772,136.75,39.15068048700867,190.8730959922723,249.9287000000004,1
T5,68.307,79.50269069767441,106.1112,49.8039,3.5932511627906973,51.399911627906974,1.0,21.60093087770756,91.75,41.47644542613959,120.8109209453865,85.2782000000002,1
T1,125.0477,162.78223305785124,251.8425,100.0,19.33235950413223,59.13790495867769,3.0,33.03829981267158,62.625,22.735396476743706,217.5646720824268,487.7579,2
T9,120.9049,143.15521946902655,218.1964,100.0,16.109665486725664,45.58042389380531,3.0,23.89640237383384,87.1875,17.817270449614558,83.44924752749662,400.3202000000001,2
T8,211.3451,229.5856972972973,289.9138,100.0,17.980921621621622,71.04928243243243,5.0,21.520945216268693,54.8438,21.722208182166124,150.97714549788512,413.4507000000003,2
T6,108.2933,120.73090363636364,149.3858,0.0,0.0,66.38145818181818,2.0,9.281774881642058,54.625,20.839951295524365,68.4646024553624,168.2858000000001,3
T11,151.8807,182.58154727272728,204.8219,76.0784,3.1586454545454545,97.86096181818182,3.0,7.811921182944609,24.3438,8.543545582256181,61.86887364913405,256.27050000000054,3
T7,166.6285,184.06461162790697,201.0147,0.0,0.0,99.96352093023256,3.0,12.74690211511726,34.6875,14.218310612312887,53.612724515771895,205.54959999999983,3
