section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,89.4026,142.49955416666668,222.2553,100.0,46.9281125,38.33332083333333,2.0,30.969794148190363,92.0,46.663971168571635,247.5494345139316,185.73219999999992,0
T1,105.8366,149.09546046511628,251.4611,100.0,27.797522093023254,46.16962209302326,2.0,29.50770459139606,59.0,27.83505512923478,166.32237664046283,482.65279999999996,1
T6,104.5472,117.45954615384615,145.4261,0.0,0.0,50.5731423076923,2.0,12.779851931247693,60.0,15.674549301793965,50.25261255598389,163.9308000000001,1
T10,86.0456,115.0324976190476,172.9534,99.6078,17.357611904761903,40.78431190476191,2.0,30.243006506186525,84.0,38.42437954410353,96.60877653754602,261.8919999999998,1
T9,115.0301,133.74306481481483,185.5879,95.2941,11.982555555555555,38.9034,2.0,10.434840465106914,50.0,14.452501564304619,55.117844893954896,400.3905999999997,1
T11,137.9873,174.62763703703706,200.9613,54.1176,2.0043555555555557,97.13866666666667,3.0,9.026678731575467,29.0,15.399096621323148,114.85174839071217,254.52490000000034,2
T7,166.3996,183.00653809523808,198.9242,0.0,0.0,88.6461,3.0,16.91712015910566,45.0,24.42235957202925,60.237118254999224,204.43460000000005,2
T13,53.6202,95.81654130434784,133.9284,83.9216,15.694810869565217,54.2796152173913,1.0,68.53956217845025,127.0,42.411076847791044,215.85311049261668,245.7466999999997,3
T5,66.7964,80.59413684210527,103.9826,84.7059,18.43137894736842,43.818352631578946,1.0,45.21663255538965,127.0,52.50893338586808,184.5256083078588,80.45700000000011,3
T4,97.5128,103.11017,116.5103,47.451,7.96083,44.196065,2.0,32.187234522398704,74.0,48.34538483378095,202.53471014132893,108.30930000000012,3
T8,189.2958,213.61396470588235,277.4929,78.4314,10.00000294117647,26.89734411764706,5.0,17.652161743319382,50.0,22.22541940745819,77.7396011448411,392.45740000000023,4
