section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,105.621025,156.51745150491718,225.0839,100.0,43.06921603713768,36.009124661620085,1.75,20.860495539796965,58.75,40.11722248643038,152.9528558719572,185.805225,0
T11,143.9975,178.98529381146082,203.91585,11.4706,0.4204836772983115,95.82705961538461,2.0,7.907164466790381,29.5,22.705210264846514,95.88894868194755,250.46337500000004,1
T7,166.2928,185.49556390625,204.09895,0.0,0.0,98.68623875,2.75,16.319149232154466,49.25,30.94797689369529,141.39541400779495,202.70644999999996,1
T13,61.839074999999994,97.092712562137,138.22575,98.333325,13.095464457721015,57.18655187814576,1.0,60.37795772412109,118.0,46.83557917813007,203.05634186844182,248.8296750000004,2
T5,71.3779,84.35487106359159,103.1777,87.15685,11.784897182788477,47.450338906926405,1.25,35.47917715524993,117.5,55.158173721409575,231.30697260543533,86.32339999999999,2
T4,92.057675,102.59817425124399,117.524975,75.588225,11.846120197966712,43.44798221999399,1.5,35.81530983080097,90.25,61.16908797012799,194.85142950023368,112.39752499999992,2
T10,86.358425,118.1534903952471,177.746625,97.74510000000001,19.93181007857594,46.458269839353356,1.25,28.312879078794516,83.25,39.60616177945887,235.23759060262412,259.43227500000035,2
T8,207.30525,226.18580819278762,282.56845,73.13725,10.13864271073058,56.22685099692967,4.25,20.56866692946144,56.75,28.92527577790149,195.05072207873025,407.513275,3
T6,108.966575,121.23899867098756,145.9201,0.0,0.0,65.64301917130024,1.25,27.470154945169917,84.25,54.83548008929461,263.5167980587869,165.640675,4
T1,107.3415,157.23704630430927,253.160525,100.0,20.012135497622307,57.56074830255571,2.0,38.3130348395891,77.25,37.523289421804435,305.325621929974,486.681175,5
T9,118.083875,139.7005339128612,200.350975,100.0,11.094838320691434,39.422801082107846,2.0,18.015749245238734,70.75,29.506261377274882,208.47210659622326,394.5560750000004,5
