section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,101.0605,147.72916388888888,218.1048,100.0,47.22222222222222,39.49890277777777,2.0,18.937222800903815,66.0,60.094665027430175,234.77985902698973,187.94309999999996,0
T10,93.164,121.61593166666667,170.1457,43.5294,11.392158333333333,45.88233833333333,2.0,20.951518677181365,72.0,42.356018245254376,345.15976844414075,259.27919999999995,1
T4,94.9798,105.40754666666666,123.4684,55.6863,8.535946666666666,58.53593333333333,2.0,23.557385377025877,72.0,44.70737266532115,285.2737027650577,111.26229999999987,1
T9,118.5931,138.6396575,164.7898,86.2745,6.22059,50.950967500000004,3.0,18.65159716549884,56.0,49.4157616435365,222.3702308539939,395.89649999999983,1
T1,103.3722,154.54612441860465,246.4408,100.0,26.52074651162791,65.97352674418605,2.0,34.844923183577585,97.0,70.50080890752965,410.88041441975406,479.9272,2
T5,61.2879,77.21986470588234,110.7271,100.0,27.11649117647059,42.422132352941176,1.0,43.712195029830276,122.0,80.27030674893935,404.68716973155824,85.02119999999991,3
T6,89.9825,112.58697750000002,145.4948,100.0,10.0,82.8333,1.0,22.29472406985965,95.0,81.04034766610896,554.7213961235149,165.4783,3
T13,60.5478,100.17794929577465,136.0418,89.4118,14.217069014084508,61.226157746478876,1.0,55.05334342416313,127.0,61.22571712625622,351.87835750626937,250.33429999999953,3
T8,181.0025,213.74682962962962,270.3899,42.3529,6.499635185185185,26.485105555555556,6.0,32.497580173161914,86.0,71.474982637289,351.29730117315773,407.1325999999999,4
T11,149.4469,178.50746666666666,197.8256,76.4706,2.8154846153846154,93.93661025641025,3.0,10.170850733315906,44.0,24.160362191598267,196.31550306818903,249.14549999999963,5
T7,162.4933,180.0453806451613,195.964,0.0,0.0,99.60780000000001,3.0,19.725096399223126,53.0,51.554528944779356,224.23258274511818,200.11660000000006,5
