section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,100.4349,155.68700416666667,222.0417,94.1176,45.52287916666666,14.746731250000002,2.0,39.295453259176746,101.625,43.38607752431378,254.81941226862838,188.4384,0
T1,108.1254,152.3643634920635,249.3477,100.0,18.21350873015873,61.52816825396825,2.0,40.483885747777066,67.875,29.137705605702198,271.74043721451085,486.043,1
T10,88.7388,112.78997659574468,170.1152,91.7647,16.015854255319148,51.389239361702124,2.0,27.39476134267498,78.625,21.68817325154215,130.81124787664533,263.45970000000034,1
T9,112.726,137.64661452991453,173.3577,81.1765,6.683425641025641,41.2937811965812,2.0,22.606811997615598,93.6875,26.236297048348067,229.50426742577275,398.5535,1
T6,105.8595,119.3279649122807,143.6942,0.0,0.0,75.10147894736842,2.0,12.464165198859538,70.1875,17.355810579431022,243.63820498508449,166.50850000000014,2
T11,150.8202,179.94386034482758,199.855,0.0,0.0,91.63624137931035,3.0,10.057526422501226,32.2812,22.528426833210457,272.33677779454536,252.61799999999948,2
T7,164.2786,179.80046595744682,195.9869,0.0,0.0,100.0,3.0,26.146371104463988,62.625,43.088452990344145,287.7252994909011,205.33390000000009,2
T13,68.0781,99.3693725490196,140.1999,78.0392,12.698963725490197,64.17916568627452,2.0,63.09031853766722,141.375,43.39436442885668,328.51083535782817,251.96939999999995,3
T5,72.4117,81.5354152173913,98.9242,75.2941,12.190963043478261,46.48764130434783,2.0,39.57561304274449,126.9375,62.50415467017439,355.89245530101056,87.69610000000011,3
T4,93.0343,99.49215833333334,111.5892,71.7647,4.00326875,52.483666666666664,2.0,57.27953433452289,117.0,51.120282654523464,263.35024161398934,116.48160000000007,3
T8,176.6918,200.0834686746988,277.348,100.0,18.89912530120482,65.3012048192771,5.0,12.17106846551163,34.8438,13.872393794689739,78.2373180966626,414.3267999999998,4
