section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,115.93804,161.03303409745337,224.68606,93.09804,37.053319477324735,38.46339918391582,2.0,19.041799464030408,59.2125,28.73845557782215,141.0512660179915,186.83163999999996,0
T10,96.6079,122.38842551308885,178.53663999999998,85.4902,13.8339671859319,50.9255156468574,1.8,32.610559345537375,92.8875,48.665023917139266,376.68537686891193,260.78178000000025,1
T4,93.02662000000001,101.56615432641404,118.93186,85.09804,10.869173458570526,48.96515692430951,1.4,36.3497550320915,94.25,57.9742171808541,226.251899015491,113.90987999999997,1
T13,65.14992,102.24391784419065,143.15252,89.49018,8.753464456068022,61.37024336834461,1.0,66.53661329556905,133.625,53.83900580059829,287.40036934513694,250.8122800000001,1
T5,72.47426,85.37614854778555,107.04965999999999,77.88235999999999,11.050318514186964,52.68267526332288,1.0,39.650799145290236,122.4,67.92177009557649,286.09489924704457,85.32545999999998,1
T1,115.91668,160.51146460589462,251.11468,96.70588000000001,16.564616110196184,62.66138571389339,2.0,36.07594731744187,72.81562,32.914932409481835,251.25108354451572,483.2285,2
T9,120.3723,143.7234873460574,214.42894,89.41176,11.574249130945153,50.46070494194979,2.0,24.090834508260695,86.3375,24.304011492183992,184.40774376288215,397.4499200000002,2
T11,149.44838,180.90739428340032,203.48058,25.7255,1.0079653574432297,97.21405774725103,2.8,8.091959117079098,31.257799999999996,16.679456142005893,118.19757801724509,252.8801000000003,3
T6,110.41884,123.52477021978022,149.21643999999998,7.294120000000001,0.2689437637362637,69.69039507326008,2.0,21.874768111159735,93.2375,38.56642704359014,173.6972951011475,165.8227,3
T7,168.2887,185.84053751643074,203.27306000000002,0.0,0.0,99.65725869565217,3.0,15.541038470159668,49.0125,25.834237875718788,96.55809331663113,204.33216000000002,3
T8,214.48845999999998,228.80464504784564,276.9848,76.4706,9.029349388967475,69.65805223422508,5.0,19.560839076798135,52.7625,28.22803052208626,137.66601099411125,407.00055999999995,4
