section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,115.8388625,164.47216321322156,223.5017625,99.9019625,41.440389722920344,35.425961316126774,2.375,21.698435519962484,59.875,33.47332999136781,158.1381963348096,187.135,0
T13,65.5861125,99.95576581312554,139.59335,85.1960875,9.351131213577608,58.536844048879885,1.125,62.94205627835878,121.0,47.8954947397911,331.767832453152,249.65330000000006,1
T4,91.7448875,100.53114984704179,116.3691,70.098025,8.437262752360331,44.78873718649058,1.625,35.51678417814239,87.375,60.94310568335277,298.28062170627055,113.44082500000002,1
T5,72.8885375,84.55631439169571,104.54050000000001,43.921575000000004,5.962992579013128,47.91433748631788,1.125,35.17200023185893,110.625,69.99088122459122,365.332686896941,85.57992500000006,1
T1,111.0008,157.49025533917012,248.3577625,100.0,19.12380523311352,61.705456416785594,2.375,33.92508830848577,77.625,43.906401529283265,342.6000464054345,485.428675,2
T10,90.62049999999999,120.78253130172526,177.40615,86.960775,14.342042900710746,49.721594568214456,1.75,24.192674533112033,72.375,42.50433210306564,292.8572525662127,260.4139625,2
T6,106.377325,120.61942537813283,147.1303375,0.0,0.0,70.87258652228583,2.0,23.310292522155557,78.375975,46.483523664382346,300.30483420222765,165.11033749999996,2
T9,118.63125,142.72608832960623,209.6770875,87.9902,9.984433848935826,45.400678102328506,2.625,20.240300218685814,70.75,38.47851062254952,264.68405813958384,397.41897499999993,2
T11,148.4779,179.88564431836275,202.0675875,41.2745125,1.539136155956113,98.15457162931139,3.0,6.557954452971981,26.0,19.31693234139292,102.391164945663,251.94134999999983,3
T7,166.502625,183.75938531487233,201.0471625,0.0,0.0,99.404725,3.0,13.891926828502452,41.0,26.676920125367467,121.5758169279407,206.32747500000002,3
T8,210.1615625,225.80966728572787,279.4584875,97.0098,10.54310029584033,69.17782930459131,5.0,22.363454152926757,57.0,33.716127553305796,205.22379699149207,409.05638749999997,4
