section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,88.34897333333333,117.55436231836876,168.31464333333332,61.88235666666667,4.839917076611758,67.51394725056214,1.4666666666666666,33.9609314639617,102.70208333333333,43.29207323562698,261.717348123965,282.16841,0
T14,69.87970666666666,96.46929605588834,135.66009,89.38561666666666,11.952996457448439,63.11079513871907,1.0333333333333334,40.268953385432106,120.52708333333334,55.064570018015075,270.9695557043428,171.50533666666658,0
T8+T9,77.80701666666667,109.97081901801064,195.01283666666666,98.61438,23.804365863729036,54.366216499560466,1.0666666666666667,56.96061372982933,103.67291666666667,65.97465801747823,371.27909968319585,242.56566999999995,0
T1,171.09839666666667,195.56516849178828,244.89687333333333,96.81045999999999,11.097668761213514,75.00153834497702,3.8,22.689187978367144,68.01041666666667,28.012109110069087,182.9871255028079,435.19186333333334,1
T2+T3,193.69319333333334,221.0777584562699,240.68869333333333,79.97385,9.397931961664163,65.41775139616752,4.366666666666666,24.00739566728011,47.44479,40.034769861859424,194.92715671823348,314.0756566666667,1
T7,132.41169,171.60805688838295,256.9441233333333,98.99346333333332,18.980685853981427,67.54144268685448,2.8666666666666667,26.64730357039723,75.12526,33.649761665072994,224.85411741999582,442.87268666666665,1
T11+T12,194.50726,209.25597688016845,232.03529666666665,42.96731666666667,3.2433968501355053,79.30045684782307,4.4,40.27612277994674,68.59791666666666,39.92033637723902,212.65400928232057,464.01121333333333,1
T15,141.75377,178.0422687208284,209.4944166666667,2.522876666666667,0.10035844086021505,98.56807367956989,2.1,14.197259440880442,37.76276,17.534973434532848,85.26970206073163,305.2727733333333,2
T10,144.94748666666666,176.85871896628993,206.18067333333335,0.0,0.0,99.02188945975097,2.566666666666667,17.242101411068525,45.30026,20.68592337519059,103.64686313036873,274.15127666666666,2
T5+T6,132.31276,167.51282922406978,210.87128666666666,10.993463333333333,0.5390750388111242,87.6288838135814,2.6,32.52857273641994,74.56484333333333,35.04621696383119,195.97683742665228,390.18175333333335,2
T16,105.60388666666667,151.90507353019595,246.60868333333335,98.79738666666667,30.072961556933304,48.70330111794742,1.9,30.948859552164674,88.72734333333332,47.37007856297679,285.17710728249864,299.5882433333333,3
T13,84.6451,126.09767739038917,220.99056000000002,98.64052333333333,35.27972155161759,47.58043824183184,1.2666666666666666,33.671870881511566,97.58333333333333,54.37490308823783,268.45708661101156,205.49481666666662,3
T4,147.91308333333333,160.66691751830137,185.04157666666666,81.03267666666667,16.90066080680587,39.663659098754984,2.8333333333333335,29.49219464852315,60.92968666666666,59.45401418532493,279.37811469317245,136.59544666666667,3
