section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,84.02765,117.47217422204642,198.19945,100.0,34.84042972046414,46.57316693037974,2.0,35.236502700141635,110.0,47.95148385077831,224.0002663619871,206.74739999999997,0
T14,75.06295,93.03783176923076,123.28909999999999,87.05879999999999,11.24313753846154,62.783184999999996,2.0,39.430421169196286,120.5,41.54792028693791,276.14745452598004,170.03025000000025,0
T17,85.7595,110.43229033857729,154.71125,61.1765,7.406656190150479,69.88886550957592,2.0,32.48418449692795,105.5,29.48519279403007,144.1357770515109,284.6113500000006,0
T8+T9,79.51474999999999,105.35244985714286,181.3306,100.0,22.695269690476188,52.92809251587302,2.0,51.63510219688882,93.0,46.053264241388526,300.90604163784496,244.17084999999997,0
T7,130.44934999999998,157.63034017471958,233.505,100.0,18.11483945211389,67.78914897540983,3.0,27.509576375405103,74.0039,23.869874051129266,146.8898455914123,445.21989999999994,1
T16,103.1281,140.42939581738653,224.21605,92.74510000000001,27.73443136504465,52.037135101148166,3.0,27.639401356610488,76.0,33.71560013067226,217.26211680798926,305.29129999999986,1
T10,133.8712,161.31232958284372,187.2778,0.0,0.0,99.6078,3.0,16.558048367420923,42.5,16.212993124697494,104.00720310840467,276.0217,2
T15,127.5616,161.5857143987716,189.91375,0.0,0.0,99.6078,3.0,13.585320873373151,37.50195,12.21430167719934,53.6990844034716,309.3287500000001,2
T5+T6,124.43735000000001,154.43621279511535,190.60045,15.88235,0.30481318181818184,88.3496614246947,3.0,31.89388111147403,71.0,26.439275861166458,188.75751203746108,390.4854,2
T11+T12,174.26184999999998,187.22722726696705,211.7609,78.8235,4.8493100394255135,80.64734379752183,4.5,42.7188648111367,62.0,31.599040567881367,207.41232683465452,463.2463499999999,3
T1,155.48180000000002,175.61443777899495,221.912,98.2353,11.616256682185403,76.43686883472546,4.0,19.98509745783797,58.0,27.937350904677565,221.97002424034144,436.0662,3
T4,146.0403,157.66451907051282,167.5479,71.9608,11.797386538461538,51.164524038461536,3.5,31.472948891521085,75.0,58.54177498676417,184.4807403105021,137.9882500000001,3
T2+T3,174.67765,194.9034482142857,216.76205,91.9608,11.15380788961039,79.039315,4.5,23.494539240384746,50.5,43.87491296517864,196.40185497826462,316.07895,3
