section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,72.8084,91.55180277777778,128.954,95.2941,10.686275,61.60673472222223,1.0,45.999108521141125,127.0,42.926434826883614,137.1447558643891,174.73820000000023,0
T8+T9,71.5496,102.88297419354838,189.3111,100.0,20.514441935483873,55.06218172043011,1.0,53.91949050409049,93.0,39.85228075308328,423.4985465444966,248.05430000000024,0
T11+T12,182.6352,193.34730957446806,225.2384,72.549,6.1535255319148945,72.83687021276596,4.0,38.69567557548178,57.0,25.241135446151088,174.5065860102958,465.53999999999996,1
T1,157.2442,180.43561630434783,238.9792,100.0,15.00426195652174,71.45777826086956,3.0,18.15725330311806,52.0,18.398150586959588,140.12005399858066,440.8594,1
T2+T3,182.3911,205.62710350877194,226.6575,98.8235,12.088061403508771,68.66185263157894,4.0,25.546083541831745,49.0,35.14751580549051,186.80022594975514,315.50839999999994,1
T7,127.306,167.41173737373737,252.7657,100.0,24.30580101010101,71.66961313131313,2.0,24.818625575862008,68.0,22.09615358092944,105.1952125273088,445.48160000000007,1
T17,91.2184,107.61702954545454,160.4868,58.8235,4.2691625,59.255779545454544,1.0,23.0288175372303,74.0,16.68274573572005,113.79361747725751,283.1824999999999,2
T10,136.9421,166.88829354838708,198.3749,0.0,0.0,98.8867435483871,2.0,17.276592357564542,45.0,14.474809401205745,52.13613630583935,275.1313,2
T15,134.3175,170.97214545454545,203.83,0.0,0.0,99.6078,2.0,15.623864494923527,38.0,17.448183369267223,72.6581543650557,308.78549999999996,2
T5+T6,106.4546,151.990665625,204.0589,38.0392,0.39624166666666666,92.44686041666667,2.0,35.598703157304115,74.0,23.89025945267045,124.88720473199295,392.7357999999999,2
T16,97.3297,143.61433827160494,243.267,100.0,31.503266666666665,48.25465061728395,1.0,19.909923623358193,63.0,17.49789250016977,150.70679467531073,300.0604000000003,3
T13,82.5284,125.1746390625,207.2709,100.0,37.965684375,50.0428765625,1.0,25.679565023645335,77.0,23.624928977254754,88.76675417990782,206.24800000000005,3
T4,130.7012,160.6660617647059,185.3513,92.1569,34.290655882352944,24.740485294117647,2.0,16.97406998289601,48.0,38.46977297827961,159.36232033206247,139.47329999999988,3
