section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,83.75423333333333,108.82527693285063,155.25546666666665,83.66013333333333,9.421009657070252,69.43234197984306,3.0,27.891402205788406,92.66666666666667,34.06682176243666,147.87006959729635,280.1012333333335,0
T14,69.82783333333333,92.60276456063907,127.0059,83.92156666666666,13.386874582425563,63.508320842411045,2.3333333333333335,39.46400919417305,123.33333333333333,50.190485087245115,191.50601312689741,169.20643333333342,0
T1,149.98343333333332,174.14451805807414,224.93833333333336,98.82353333333333,19.792481675205114,71.03193574734654,4.333333333333333,18.648709296612296,63.333333333333336,25.140744362521872,167.159842704446,431.91093333333333,1
T11+T12,166.2445,182.08507110955495,210.62793333333335,79.86926666666666,9.102029956427016,78.97560337535013,5.0,39.482559101623934,63.333333333333336,31.53513902140229,149.14212240644545,463.60346666666675,1
T16,101.54879999999999,137.67687165580182,228.2953,100.0,29.534609776908592,39.25739124293785,3.3333333333333335,23.240494784954645,70.0026,30.061923190012113,198.49366320177634,303.2123666666669,1
T2+T3,166.275,194.8865273581463,221.2227333333333,90.06536666666666,18.77139960408684,66.49147815909505,4.666666666666667,26.74598250968698,50.00129999999999,33.09930746436297,195.378419296115,316.7562666666667,1
T7,120.9481,155.71146384754135,239.5285,100.0,26.537158503996007,59.3626342979243,4.0,22.093333792271707,60.0,24.987192885086642,90.91219911458434,440.71913333333333,1
T10,135.08303333333333,162.9625038885307,189.63146666666668,0.0,0.0,99.6078,4.0,17.87858956652742,46.0,17.386886149616036,77.5533968098269,273.3642333333334,2
T5+T6,121.33466666666668,153.3643859594699,194.8119,0.0,0.0,89.58670161746852,4.0,33.41557369775572,74.0026,27.846636849669206,150.22858171039084,389.24100000000004,2
T15,132.72296666666668,165.16419568647973,194.08203333333336,0.0,0.0,99.6078,4.0,14.436583628035686,38.0,15.334254268836661,62.48076349495684,306.9819666666669,2
T4,130.91476666666668,142.43738610996846,163.46483333333333,74.64053333333334,17.23485973193473,30.32721162073221,4.0,30.428793288695562,58.666666666666664,55.40694865893786,244.7000507177645,134.26959999999994,3
T13,82.45466666666667,115.6622450880352,195.66896666666665,100.0,36.259668512404964,39.33240556389222,2.6666666666666665,35.44958645378079,95.66666666666667,55.47407821934208,349.55251435466926,205.14920000000015,4
T8+T9,72.98899999999999,102.20913333333334,172.21076666666667,100.0,27.825312626262626,51.521084343434346,2.6666666666666665,52.68430242790779,99.33333333333333,53.56822578219877,348.2646769629078,243.36206666666672,4
