section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,71.8853,96.68263870967742,137.9416,100.0,13.282732258064517,62.36557096774193,1.0,37.257297393836765,127.0,80.49201898438572,384.73226016380045,163.45180000000028,0
T8+T9,84.9699,110.84133846153847,176.8063,100.0,19.07491282051282,52.5389641025641,2.0,66.08790814393458,113.0,60.381440299701296,405.1881796481085,240.22740000000022,0
T11+T12,201.6022,213.19103076923076,232.5933,60.3922,2.111615384615385,78.67266666666667,4.0,46.48028442712455,67.0,34.74244583940538,272.0138304831249,464.2994999999996,1
T1,173.5256,198.66578750000002,246.7308,100.0,12.656862499999999,78.3627125,4.0,18.551271605303594,62.0,25.340570316656603,137.44238858841777,437.96950000000004,1
T4,142.1912,160.7805,175.1888,73.7255,11.250006249999998,28.946081250000002,3.0,45.66415289134309,69.0,52.35092642908363,247.81971589541845,138.98009999999988,1
T7,131.7922,172.83628695652172,258.8083,100.0,21.645356521739128,69.97440434782608,3.0,22.275001160026754,65.0,54.37660255830257,441.202792342497,439.91099999999983,1
T2+T3,181.7044,223.16583461538463,243.183,96.8627,14.283561538461539,58.446438461538456,4.0,37.54416885995234,63.0,41.70854368643333,246.43402248301766,320.5779,1
T10,149.5537,180.68179259259261,209.7505,0.0,0.0,99.60780000000001,3.0,17.13396946745835,50.0,16.573894458185038,65.60435225677595,265.8220000000001,2
T5+T6,136.3851,173.8624375,213.817,0.0,0.0,94.186235,3.0,32.58988833990635,80.0,30.862872604568746,131.81171197481154,384.60120000000006,2
T15,144.8844,181.72477666666666,212.4743,0.0,0.0,99.6078,3.0,14.703314705604908,38.0,11.791675199724642,48.99038638584375,299.34179999999924,2
T13,88.8304,125.08635517241379,223.0335,100.0,36.30831379310345,46.2609724137931,1.0,37.15641838698293,127.0,42.06900764163516,177.41440208047837,200.00950000000012,3
T16,106.0731,150.83564166666667,249.546,100.0,31.50326666666667,47.712408333333336,2.0,31.352899188628115,86.0,44.83710756777649,185.58225352940187,303.6333000000004,3
T17,89.6696,120.18152926829268,171.1833,40.3922,5.2989,67.94832926829268,2.0,29.15810341920616,112.0,28.92620174675132,91.97392578110917,273.98179999999957,3
