section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,85.16822499999999,117.3482150785618,196.864275,100.0,33.483311670488035,42.32543332610372,1.75,34.71856778314037,103.0,45.721580240806745,295.9671019268294,206.6878250000001,0
T14,69.46097499999999,90.44072851009021,123.777375,98.2353,12.903394340099716,58.00851393987417,1.0,39.31959153799811,126.5,53.673902846634626,327.58799398753337,170.7234000000003,0
T17,86.476725,110.26141393377509,154.165725,68.7255,3.7333962438967685,65.59011523763853,1.5,31.0355701052303,95.5,33.83557068321474,278.95483558453805,284.026875,0
T8+T9,71.543825,101.19083167688908,176.98175,100.0,23.296020442726892,53.33626785593361,1.5,51.08265846702063,109.25,71.40018120071905,476.99857602370594,244.14345000000003,0
T16,99.402975,140.40214439607942,227.599775,100.0,36.67804367105564,41.36244883939,2.0,24.155075792869763,71.25,35.45531821193319,230.36458767129167,301.44812500000035,1
T11+T12,157.949925,179.46751487848263,212.024125,97.451,11.621745217596807,77.47742070013315,3.5,35.930676180307685,60.75,27.860646609298996,192.38944790880473,464.1278,1
T2+T3,167.56119999999999,193.65713220343136,217.5727,96.7647,15.879063117647059,69.39557753594772,3.5,25.918893574073397,55.0,39.073764993433755,176.98553057110504,318.12105,1
T1,150.75535,174.7911797028745,224.197,100.0,14.670366393284876,66.95495554790229,3.0,20.195236887634916,59.0,21.104256826052286,158.5306551961412,438.006875,1
T7,124.28855,156.66348421672149,237.087075,100.0,22.259565092332913,61.02292610854351,2.5,25.86812020137657,70.75,24.939283631177865,147.82678056516033,443.90234999999996,1
T10,134.01235,161.59749744159436,188.0617,0.0,0.0,99.6078,2.25,18.137988260709196,50.75,22.4672731472629,141.06074284819127,274.25912500000004,2
T15,129.556725,163.3097917352941,192.586025,0.0,0.0,99.6078,2.0,13.785549618237447,41.000975,15.023416587712493,81.03599314640971,305.70439999999985,2
T5+T6,121.374075,151.87733007038713,193.47675,22.352925,1.1278162449608329,86.170587331269,2.5,32.740941123237846,65.75,28.108702344709137,159.5012590862704,394.13824999999997,2
T4,138.23717499999998,146.03377531184546,168.4615,73.137275,19.02865549572379,39.56607601052049,2.75,28.608774445419822,58.75,60.96042514396252,310.0622887825609,137.79260000000002,3
