section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,63.48895,90.61381063447413,126.70330000000001,82.94115,13.717676730739178,56.682000687607434,1.0,46.623133823928285,127.0,51.76688961700262,317.5426886318892,173.48459999999977,0
T8+T9,70.5768,100.21545691004556,189.79555,100.0,25.362843788389142,47.64156678720032,1.0,61.96431254737246,113.0,50.227878925116755,373.89949028971205,245.34024999999997,0
T11+T12,164.9348,189.38436437992306,224.55555,65.6863,8.83058699853453,71.97996195731818,3.0,30.841171344052135,57.0,41.08342436012203,191.53894800207908,469.92425000000003,1
T1,148.6763,182.93525179390906,238.5481,80.7843,14.219286378806842,68.3425524822695,3.0,30.35124184741614,84.5,29.341192618633936,187.7202179008514,437.65935,1
T2+T3,170.59584999999998,194.35140673836696,223.6019,75.29415,12.801909800263388,67.6113193261633,3.5,27.591377513818763,62.5,51.807772799275114,206.47880737875192,318.03970000000004,1
T4,135.35129999999998,163.59296378378377,185.9312,56.2745,23.08592617760618,29.713070694980694,2.5,22.587274340824536,74.5,38.43906243277172,256.71085638066177,138.74005,1
T15,132.19275,171.2964872683469,204.3679,0.0,0.0,99.56652105263157,2.0,22.798079103696878,67.0,27.24790890307581,167.9117393174679,309.45920000000024,2
T10,134.66469999999998,164.84518701298703,196.63535000000002,0.9804,0.02970909090909091,95.85854696969696,2.0,25.145725506551358,64.5,28.83343114304929,155.37818580131773,276.4215999999999,2
T13,84.23365,126.37220915678523,207.87745,100.0,35.16871573498965,40.81715283267457,1.5,36.43587720960958,108.0,41.230518331471124,251.45675493655037,208.88945000000012,3
T16,100.00765,144.5704121818664,240.6729,96.86275,26.454110604453874,38.428451869034994,1.5,38.950837315786906,102.5,57.275580090649136,325.324462347921,301.62474999999995,3
T7,121.4237,165.9624706739812,251.6518,96.47059999999999,22.311759427899688,64.19185049373041,2.0,41.89858728206346,103.0,33.122302046023705,302.62809521748693,447.47969999999987,3
T17,89.83365,113.45745603561387,158.8769,52.7451,5.024441232427367,62.461510627928774,1.0,34.19286116074241,99.0,35.59175863483506,222.89468289312316,285.1497500000005,4
T5+T6,111.46715,151.9969950659703,202.4109,40.58825,1.618033915154847,84.06238843687007,2.0,46.61504399312787,124.5,48.63692130623109,220.36983461009504,392.82475,4
