section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,89.18327500000001,125.75223808516182,218.760975,100.0,33.97229063441529,40.12611943169771,1.75,29.381236817553088,90.0,36.62205927310696,204.5979550906795,208.55044999999984,0
T14,71.908175,95.71109771213902,135.7042,89.70587499999999,11.439200265285049,54.66045030935085,1.0,35.73484395719682,113.0,42.13298187508649,194.1105707730612,172.39135000000022,0
T17,94.06995,115.89652087322473,167.240775,51.862750000000005,1.7064702587719298,54.537005375469924,1.25,28.029836131706503,84.25,25.842620384540318,140.6311922921001,284.3682250000004,0
T8+T9,82.81835,109.41993631587833,197.434575,100.0,24.11271659467141,44.69702681571657,1.75,56.215007023225866,97.0,56.930015032988415,357.10435854465504,244.91104999999993,0
T16,105.426475,152.3222393677,244.4686,100.0,30.049693272112215,39.10391446984883,2.0,25.889122160892278,74.75,32.20998573299332,163.8848372240397,300.2646750000001,1
T11+T12,189.034475,205.7392660451707,229.3431,68.03925,4.202419774226199,76.43552150933708,4.25,32.93067316341065,54.75,39.618167839962275,233.52119854033901,469.20337500000016,1
T2+T3,185.14535,215.95784799005804,239.13175,94.8039,12.961386057134323,64.02675139891619,3.75,23.102544269836756,53.25,41.87430661212093,212.83042462693874,318.3182,1
T1,172.308675,193.98175113119925,241.0258,99.5098,10.528800091109273,71.02036295355066,3.75,17.265306450086598,53.75,26.68450077792374,186.94918067733613,436.41432499999996,1
T7,133.8712,170.82658783319536,253.789975,100.0,18.93474863793365,64.17521863299274,2.75,23.37588215373309,63.0,35.81763823340049,256.1675582421826,445.51727500000004,1
T10,143.4844,175.88663660312642,205.188075,0.0,0.0,99.6078,2.25,15.114980849621023,42.0,20.848514387623837,98.19897834106075,275.57370000000014,2
T15,141.61135,178.21521468441182,209.479675,0.0,0.0,99.6078,2.0,13.291679797568966,38.0,16.256482056111064,87.94977673097004,306.5523250000001,2
T5+T6,136.1696,168.13967235088364,209.882125,12.647075,0.4255081468574224,81.79519589684013,2.75,30.136478335467622,64.5,35.62878819833169,204.98866894567107,392.40109999999993,2
T4,149.263775,159.26705498988292,177.027525,66.274475,13.749098633593487,35.69690545960399,2.75,22.153203579556003,48.5,46.53183894445576,187.08622209690972,137.56695,3
