section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,89.20424191829485,116.43107063504341,166.60981527531084,65.10221900532859,4.35867854511288,65.81346058070395,1.7104795737122558,30.606694840693958,95.47460568383659,36.07631263167273,229.04130950107145,282.98523410301954,0
T14,70.60949928952043,95.80298730696192,134.03180657193604,88.71451776198934,12.43310508601866,60.451892810661406,1.177619893428064,38.04608485339612,118.34802397868562,47.86318129712185,256.96402756053146,171.1039563055062,0
T8+T9,77.97384529307281,108.40931498320474,190.27458294849023,99.17807246891653,23.547864840098633,50.91706753225188,1.369449378330373,54.53095045774796,102.57339307282416,58.48837877456538,382.57194946384175,243.0129440497336,0
T1,168.60129662522203,192.92999305491765,239.89322149200711,95.2161026642984,11.1977031992894,73.61514878203346,3.7460035523978688,19.903141679115237,61.16217513321492,23.322636877646985,156.7577823755434,434.70198543516875,1
T2+T3,189.32390159857903,216.07334679184427,236.13293126110125,85.33207779751332,10.401291489458355,66.84086570817286,4.021314387211367,24.132201830990788,49.45808490230906,38.92971079945367,185.46640073806805,314.3228763765542,1
T7,133.10664369449378,170.43273049387358,252.45097673179393,98.60759875666075,19.044316661603688,65.54611822739126,2.857904085257549,23.588204575614412,66.1563674955595,28.941944608117147,184.63080403276606,444.0138296625222,1
T11+T12,191.55638010657194,205.78461662609058,227.78592007104794,51.192141918294844,3.5094497711253987,79.27497163402926,4.287744227353463,36.50679866411281,62.15113587921847,34.8789452743362,195.509155891346,463.8044351687389,1
T15,139.99217495559503,176.22445603210375,207.0959728241563,0.3287708703374778,0.03337764186037213,99.39147638747751,2.378330373001776,13.35085695521,36.157734635879216,15.71560329598216,77.78943862455907,305.7378722912967,2
T10,143.23890674955595,174.23444730736082,202.69213392539965,0.1936404973357016,0.010308667265808785,99.06016759276632,2.596802841918295,15.710663980890098,40.70423445825933,19.733755780417393,102.10291196224387,274.01699644760214,2
T5+T6,130.73980213143872,165.3328831869174,208.03868454706927,13.305471225577264,0.49390015412981303,86.94248619168562,2.7442273534635877,30.874656129654564,70.16035754884547,32.04304802434565,196.9842678593505,390.8716623445826,2
T16,106.1720028419183,149.8598633456955,242.98513854351688,98.96005186500888,29.540699163977088,43.87253253015896,2.108348134991119,28.584649429374696,82.30449289520426,39.069704989604865,236.47076658023357,300.21657087033753,3
T13,85.13032646536412,124.76575543783494,217.00604476021314,99.23936856127887,35.73359217097399,43.21835173585514,1.541740674955595,32.533355754820505,96.98942611012434,47.326012588162016,242.62712783183233,205.2231889875666,3
T4,145.68998454706926,159.49102942687287,181.42998738898757,80.55793463587922,16.401446902756764,36.36632218566378,2.8703374777975132,27.878788148112083,58.67913268206039,53.929460463086656,228.71789753236,136.03804653641208,3
