section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,83.3448,108.95960727272727,156.8551,80.3922,5.529410909090909,65.58999818181819,2.0,46.495484487058135,127.0,29.11470594009322,444.21981838862763,285.8769000000002,0
T14,66.8498,91.454387654321,126.6804,100.0,14.751875308641976,61.89783333333334,1.0,43.51081819961914,127.0,57.46393081232211,446.88327686200876,173.5555000000004,0
T1,153.7728,172.3061281818182,227.2602,100.0,11.611410000000001,69.24062090909091,4.0,42.054115411746416,112.0,25.146736022457077,355.2425780690481,437.9678,1
T11+T12,159.8001,181.19009279279277,215.2514,100.0,9.782724324324324,84.11584594594594,4.0,56.97432888667697,106.0,28.966482935243988,177.06276140272658,465.78049999999985,1
T7,126.2074,155.38558174603173,237.6364,100.0,19.50824841269841,66.79736825396826,3.0,46.56476186707053,109.0,25.81052632480362,507.6643070761698,451.04179999999997,1
T2+T3,157.2519,188.1457219178082,219.0051,100.0,15.723878082191781,75.98708493150686,4.0,27.291645823256985,82.0,64.59584090245977,607.3824122976397,316.98929999999996,1
T15,130.3578,164.9405825,194.0948,0.0,0.0,99.6078,3.0,20.37808253629836,55.0,16.948958042607806,120.27525750603365,308.3777,2
T10,133.0434,163.06866712328767,189.9977,0.0,0.0,99.54333698630137,3.0,40.288213676596406,106.0,39.00972589653295,379.8828565255032,278.2002000000002,2
T5+T6,119.5621,155.7335046728972,194.7662,56.8627,1.5356420560747661,91.1269644859813,3.0,48.78582018171227,101.0,33.30602877590436,317.11221703514735,390.9212,2
T4,131.3268,141.25843953488373,164.4388,89.0196,18.25809069767442,61.6324511627907,3.0,28.770951891963318,65.0,62.510190216659254,301.25669208238355,138.62439999999992,3
T16,100.9613,140.51327311827956,229.6559,100.0,34.48028602150538,47.84734838709677,2.0,44.909271364456956,127.0,64.46660342973178,415.87458157497025,302.7554,4
T13,86.0456,117.69124935064934,197.6501,100.0,32.01935194805195,44.15074545454545,2.0,54.93958905539971,127.0,49.736576791629176,524.0637519596524,206.4299000000001,4
T8+T9,79.4842,105.39851881188119,182.5742,100.0,24.041931683168315,52.04037821782178,2.0,68.01875480603752,114.0,64.76473850057926,482.30010646042706,244.29149999999981,4
