section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,89.8604,126.04756888888889,220.3212,100.0,36.85838666666667,39.836600555555556,2.0,28.627818157758952,73.21875,48.494883722021434,192.49944290481366,203.70515,0
T14,69.27595,97.85814166666667,141.04680000000002,96.47059999999999,13.378268229166668,58.08618802083333,1.5,28.946631133615206,84.78125,57.2131488403692,239.9725069639814,169.9196499999996,0
T17,85.32845,120.17121813226744,175.94795,73.7255,4.491280614098837,65.65206384447674,2.0,29.490958399363336,71.7656,54.90779572900412,371.91852289101985,283.9294,0
T8+T9,79.49565,110.13092770491802,181.7464,100.0,23.597155286885247,53.17574043032786,1.5,38.010914710392065,77.0039,52.757468133021064,309.25014936502566,242.2274500000001,0
T16,106.7407,151.06155925925927,252.89925,100.0,34.58968657407407,42.64706157407407,2.5,22.44014242285525,58.0156,38.02410515462054,209.3807192414959,296.7952,1
T11+T12,182.9366,204.57937023809524,237.62875,93.52940000000001,6.350762301587302,77.2237615079365,4.0,32.17512168613198,47.7344,34.89985533140525,165.85529052048392,470.4288999999999,1
T2+T3,187.6516,219.9099891025641,245.54435,95.88235,13.50930064102564,63.57213461538462,4.0,25.586111903273178,49.7656,44.4118591541741,228.09888896340988,310.1331,1
T1,162.95870000000002,193.63977831967213,250.13729999999998,100.0,17.04950095628415,68.17667355191257,3.5,16.875490949986922,44.2969,34.35091763280096,262.299065448507,430.5376,1
T7,133.463,172.90381127659575,261.28405,100.0,20.12932952887538,63.09558829787234,3.0,19.569110684712648,53.8125,28.621912070978283,193.57763000003493,442.62919999999986,1
T10,150.76675,183.70286071428572,212.3331,0.0,0.0,99.54713095238095,3.0,19.21021515055441,43.75,19.60832008048115,103.0712972153091,278.6042,2
T15,147.86755,185.7103488888889,216.40345000000002,0.0,0.0,99.8039,3.0,10.169810507756988,26.0469,16.372481727838295,76.99825185290555,302.6352999999999,2
T5+T6,131.93335000000002,172.6898356805665,216.76205,11.37255,0.39053747049567267,91.70537356412274,3.0,28.166338697434817,64.0,34.47387880774803,170.28862774716805,389.67740000000003,2
T4,142.5002,155.88848284313724,173.10219999999998,70.98035,13.887445343137255,39.0369068627451,3.0,24.90158756194887,51.2656,47.56613171692408,187.4604908129587,136.53320000000002,3
