section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,72.3201,95.708044,132.9366,100.0,18.379084,62.912418666666674,1.0,27.13036540951302,98.5,37.05066465202239,169.18914774236436,173.76389999999992,0
T1,154.7189,185.0138489795918,240.5585,100.0,18.73549387755102,70.58023163265305,3.0,24.793479184658146,76.1875,19.583371754902966,98.81915888355597,435.8969,1
T11+T12,174.8379,194.78912323232325,225.1545,81.1765,6.8686878787878785,75.9437505050505,4.0,38.1339951131363,61.5312,41.676609838864884,240.73243508112284,466.9303,1
T2+T3,166.5675,198.87903333333333,234.0047,100.0,14.337492424242424,52.168749999999996,4.0,31.332714210660406,74.25,57.591188839246726,220.7923902286526,318.26189999999997,1
T7,138.2696,169.69240555555555,252.6741,100.0,19.353666666666665,66.13289814814814,3.0,31.1145650660263,67.375,26.00665616855679,160.82337786727547,442.4388999999999,1
T5+T6,111.8029,156.62111650485437,206.7979,0.0,0.0,95.46164563106795,3.0,24.147966587028222,58.9688,33.35145672464057,205.79258241729653,393.3234,2
T15,139.8947,175.87496388888889,206.9734,0.0,0.0,100.0,2.0,14.675030637794636,39.2188,25.211090202872015,96.04831930490364,306.33650000000034,2
T10,133.7606,167.1401455882353,197.4899,0.0,0.0,100.0,2.0,24.692852047194233,62.5938,37.24298476191136,147.75586897281786,275.5787,2
T17,102.1744,114.58227757009347,159.678,0.0,0.0,61.93878785046729,2.0,42.02252332132836,119.5,40.30508290592526,254.7957265100215,286.91430000000037,3
T8+T9,80.4608,103.50599591836736,172.4727,100.0,18.903561224489795,53.737493877551024,1.0,55.90146836773881,88.25,62.23118043213987,255.96848176629348,242.9013,3
T4,121.1032,156.82913243243243,167.9789,100.0,24.875464864864863,23.317432432432433,3.0,36.65688872226312,61.125,62.69982763509082,247.42923769714594,137.6305000000001,4
T13,84.329,122.80106478873239,212.7871,100.0,36.38221408450704,46.01491267605633,1.0,29.740442454828976,90.625,47.39635189183049,187.80199751247548,210.27029999999968,5
T16,103.6927,139.19397252747254,241.8402,100.0,22.421892307692307,22.085754945054944,2.0,27.893829609192196,69.1875,36.5683442202623,173.8754140423209,305.16899999999987,5
