section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,91.14421704545454,117.37097247882951,167.86258295454547,68.10606136363637,4.576584671678008,62.525819294452326,1.7386363636363635,30.094831099241205,96.0028409090909,36.97052122204755,245.23264301801416,282.6168136363636,0
T14,71.65307840909091,96.85858379994211,136.41314318181819,89.87521931818182,12.36760510577315,57.670251059450635,1.125,38.739443952570205,121.3544034090909,48.76472144590009,271.61309261519614,170.84987386363636,0
T8+T9,79.65443522727273,109.60973924557749,191.42434090909092,98.97950113636362,23.555420106204814,47.68718467558819,1.4204545454545454,56.41133806306734,105.98295454545455,57.41822456281639,334.78213444121576,242.78513636363633,0
T1,173.44695909090908,197.13828769497778,240.9517409090909,93.3377875,10.374818788017075,74.16342842071556,3.852272727272727,20.397966549822005,63.79678522727273,23.076940248045524,132.4103016347447,433.9451022727273,1
T2+T3,194.11478977272728,220.93936070290275,238.18067386363637,82.67825454545454,9.699872249758444,67.74246363044332,4.056818181818182,27.678680820163777,55.00892045454545,41.34683329043276,200.63823449643323,313.5322125,1
T7,136.99792727272728,173.68196248621763,253.66788977272728,98.90374431818182,18.886814214614283,65.40087571979112,2.909090909090909,24.45186842194444,68.86407954545454,28.196081178664656,176.73552178848942,443.5330931818182,1
T11+T12,199.84393863636362,211.64877090273964,229.2005659090909,33.82352954545455,2.054864722292669,80.28178263028424,4.625,39.43100851518461,68.03693068181818,36.75284225780779,216.10199338439588,463.00872613636363,1
T15,142.65651022727272,178.13596591357685,208.90268181818183,0.0,0.0,99.5951292307168,2.147727272727273,14.550790516417054,39.09019886363637,15.412029309379552,75.84840607718787,305.9085375,2
T10,145.00128409090908,175.66903358177206,204.12193863636364,0.1871659090909091,0.01789606782106782,99.45964585526222,2.5681818181818183,16.463248663699407,42.08646931818182,18.552096559780377,89.57909500755265,273.3635409090909,2
T5+T6,133.25825681818182,167.65506586763763,209.91168636363636,14.1533,0.48175184875887356,86.28601292092168,2.7386363636363638,32.63426377856074,72.81622840909091,31.264279866935627,190.98350290398201,390.4361988636363,2
T16,108.80324318181819,151.8727204773167,244.23885113636362,98.99732386363635,29.357239433303217,41.66039190281713,2.034090909090909,29.907223112453504,87.37020568181818,40.958796782557435,252.76837675113214,300.313175,3
T13,86.60647727272728,126.31785977258185,220.8048977272727,99.75490113636364,37.10970710546487,40.668819214410824,1.6363636363636365,33.15490814606114,99.17116477272727,51.79641951352747,294.4379878295607,204.45748068181817,3
T4,147.1568806818182,162.24148899384582,185.0667965909091,82.05436704545455,17.478422468740344,33.93907225876626,2.875,29.478611216511585,62.623402272727276,54.20112780224626,222.5758067547419,135.41717954545456,3
