section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,75.2804,114.224614,207.2099,100.0,33.890192,33.93725,1.0,35.00231965550901,121.0,49.00919906828511,232.47998562783602,202.0983000000001,0
T14,68.2002,93.62904081632654,129.015,89.8039,14.021608163265306,56.046424489795925,1.0,41.95041888404496,127.0,38.78931367407519,111.24770779537639,169.12699999999995,0
T17,86.5187,111.66518358208955,163.3249,91.7647,7.673397014925373,61.170613432835815,1.0,36.42528279672397,119.0,28.23005493774654,175.25138635569112,281.6054000000004,0
T8+T9,76.2722,103.02401940298508,180.6439,100.0,19.38542537313433,37.21978507462687,1.0,64.6307925972352,117.0,46.642206936829744,238.60388944253296,245.55319999999983,0
T16,94.255,149.65794736842108,243.4806,100.0,47.20330350877193,39.332643859649124,2.0,35.805063534625624,106.0,37.37060231004777,276.74211951524666,306.3640999999998,1
T11+T12,185.7939,198.32708253968255,227.1916,96.8627,7.799563492063492,74.61562222222223,4.0,56.8181419007372,76.0,29.86666281334616,241.01981909187367,459.3403000000003,1
T2+T3,188.5634,210.86461250000002,230.9529,89.8039,12.019605,69.0294125,4.0,37.02805949789961,69.0,48.386634680814666,324.0901028489682,310.8421000000001,1
T1,168.574,187.65697846153847,236.5759,100.0,12.434387692307691,72.31975538461538,3.0,33.03485393494446,89.0,22.826795707077668,140.32583580893106,438.9934,1
T7,129.6559,167.91393424657534,249.6529,100.0,19.33924520547945,60.601665753424655,3.0,29.617398584632465,83.0,25.54070459753291,96.35220300321825,446.26419999999985,1
T5+T6,122.0874,158.01784307692307,202.3957,89.8039,2.769230769230769,82.09954923076923,2.0,48.30949277508032,92.0,29.137628647260275,148.4959206797367,390.0131000000001,1
T15,136.2478,173.94555,205.89,0.0,0.0,99.19007826086956,2.0,17.80089310423147,50.0,17.5516460974758,57.549922770389045,300.91339999999946,2
T10,133.7835,167.66151395348837,198.6496,0.0,0.0,96.74417209302325,2.0,21.413489467451022,56.0,20.762084488405897,72.044228792734,272.22879999999986,2
T4,148.8975,159.44375416666665,169.1005,89.8039,17.058825,49.003275,3.0,22.341997412851647,64.0078,79.3567630199139,178.62150869963156,134.22529999999995,3
