section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,83.62514999999999,114.64785211917267,194.76235,100.0,29.899910886804722,47.33778951263005,2.0,36.607673186941234,106.5,49.756023193638754,266.69102329187416,204.57842500000004,0
T14,67.444875,91.51728421091238,123.26237499999999,93.333325,16.09184176006716,62.3220109917684,2.0,35.10225751628373,117.75,47.13998676493203,287.02823355001306,172.14935000000003,0
T17,86.429,110.74649082345624,153.3417,58.13725,4.2943378463341855,67.47470257853954,2.0,30.54684630403851,99.25,29.716125324747374,210.33265121443708,284.3831,0
T8+T9,79.0284,103.36553900713281,176.983675,100.0,22.12793224431818,55.11205136623289,2.0,55.21129544589944,108.25,61.188077341951725,440.5029595278785,242.23120000000006,0
T16,97.50897499999999,138.50444661794648,224.70435,100.0,33.419406736534,41.712703851030334,2.75,32.00188124792885,95.0,36.167638018828306,284.5531993677272,300.01132499999994,1
T11+T12,170.389875,184.32749507699754,208.505025,69.901975,4.756236263568521,77.15739498202741,4.25,46.39670089209902,67.0,34.64172697843877,187.61159210126104,461.9780250000001,1
T7,121.290175,155.42537158187832,234.73525,100.0,23.825402272402812,64.23338313040225,3.0,29.02799887063526,79.75195,26.838465339098878,168.42947861732327,441.1402499999999,1
T1,153.410425,174.56867243154423,220.95637499999998,92.647075,12.16588301632798,70.05032875237623,4.0,22.195500709683124,64.0,22.673424839625063,146.50685592140925,436.601525,1
T15,128.6164,161.1895510493967,190.030125,0.0,0.0,99.6078,3.0,16.492936735280882,49.5,21.984959033513288,119.11429207222358,304.6851750000001,2
T10,132.1317,159.7074203710556,185.32845,0.0,0.0,99.6078,3.0,20.056243608541337,49.0,25.267994428485476,111.31916387299427,273.30824999999993,2
T5+T6,119.6994,150.5141615746316,191.2356,28.62745,1.4835111730672481,86.28456452718258,3.0,34.45680661404843,64.0,30.187964745563608,300.2180020524868,393.139025,2
T4,136.28975,151.32340013553113,170.85717499999998,72.74510000000001,18.117000417582418,29.453320637362637,3.25,31.226393871771556,66.50195,58.64547746616771,298.2683298234453,136.53502500000005,3
T2+T3,169.495275,194.51873411929319,216.216525,89.60785,11.920867171204502,62.881211083738066,4.0,28.35319310407084,58.75,50.30522848117419,342.21839482293586,319.6898749999999,3
