section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T17,78.5763,110.85647708333333,165.5604,100.0,8.243464583333333,69.27286041666666,2.0,40.09389973528096,117.0,36.01473157104801,132.35797019946293,285.35939999999937,0
T14,64.6754,94.79897358490565,134.9966,87.0588,9.7225320754717,77.09951509433962,2.0,45.69959825586692,127.0,36.86513552165464,152.01310481140501,168.91710000000012,0
T15,139.6963,171.4771276923077,202.8534,0.0,0.0,95.44491692307693,2.0,21.71705048534092,65.0,22.030404188232367,129.61554362277465,308.1725000000006,1
T5+T6,121.8128,154.01544565217392,201.4038,0.0,0.0,83.16280434782608,2.0,34.37420050780249,69.0,30.93402054286018,142.44949834092895,390.33720000000017,1
T11+T12,143.7858,164.84011584158415,203.9139,66.2745,11.325957425742576,67.77323762376237,3.0,28.31921364130713,56.0,34.0470194302485,228.45898952219156,466.50750000000016,2
T1,138.1094,168.75582391304349,234.5159,78.0392,12.838880434782608,63.572021739130435,3.0,15.7800330912121,54.0,27.06989996840317,105.29771362139115,425.7871,2
T7,119.2035,146.57957222222223,221.6373,72.549,14.328246296296298,58.92518888888889,3.0,25.411121745389863,59.0,24.44546822861914,150.2619009184634,435.84929999999986,2
T8+T9,0.0,40.36780495867768,158.9151,99.6078,15.187164462809918,29.223787603305787,1.0,77.61885006376234,127.0,524.0895658911776,21540.967742602857,241.0848000000001,3
T10,69.0089,119.82936315789473,157.9461,0.0,0.0,73.78051403508772,1.0,17.800261087962983,40.0,16.505267514545988,74.56659583218753,275.30870000000004,4
T4,97.4517,107.13250476190476,115.5184,0.0,0.0,58.972919047619044,2.0,9.035077015641395,35.0,15.710230314248138,105.69483778277633,134.04410000000007,4
T16,97.7569,142.41601702127662,231.8532,87.451,32.55735744680851,35.60282978723404,2.0,27.42245277230683,102.0,42.00166336361435,173.05950495681907,298.1360999999997,5
T13,81.8799,121.19908974358975,183.65,86.6667,28.064353846153846,45.92256923076923,2.0,36.87329585534336,96.0,26.965664906848932,92.61326206583857,201.9982,5
T2+T3,93.019,155.60207368421052,223.9033,74.1176,15.872031578947368,24.05572105263158,5.0,42.14465691192105,101.0,59.683810307697705,266.79268216667947,312.395,5
