section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,57.6104,107.61333030303031,217.5555,100.0,32.3172893939394,54.18300909090909,1.0,48.3503915913089,137.0,38.31474096332282,169.27427888994106,255.23080000000004,0
T4,69.6498,118.6095671875,220.1419,100.0,28.4742640625,58.3578421875,1.0,36.752000103950145,107.1875,45.421700483315924,262.5516898536125,273.1866,0
T3,133.0358,154.665144,183.0777,100.0,9.741173999999999,69.16863000000001,3.0,21.80772862106928,63.5938,39.07121533370646,123.89335311287739,278.06449999999995,1
T5,152.2316,163.6377551724138,182.7649,98.8235,10.669368965517242,69.16835862068966,3.0,13.480803863093517,61.75,36.628875032651884,148.80924248159144,167.25919999999996,1
T7,125.185,146.04756363636363,175.3262,98.0392,8.627447727272726,71.46167727272727,3.0,22.33565488784269,66.1875,42.80958150074766,219.61902779742323,229.3998999999999,1
T10,164.21,171.16569375,183.4211,5.098,0.1593125,79.926478125,3.0,16.60030000323061,60.9688,54.64971716906395,178.7179409426616,194.29079999999976,2
T8+T9,89.456,149.374125,251.2779,100.0,35.70588166666666,51.42483666666667,2.0,32.93642722011174,69.75,57.385290412853216,296.8437818481785,321.78949999999986,3
T6,88.1971,114.82917872340427,181.1704,100.0,25.848978723404255,57.154778723404256,2.0,29.336998413434394,78.9375,55.604470441393346,244.21657108106137,194.0369999999998,3
T1,171.1147,193.19204680851064,246.4408,100.0,18.715059574468086,73.87567659574468,4.0,14.868286955638126,53.7812,27.319628922603613,168.13948271838566,324.33259999999996,4
T11+T12,85.9541,152.32259444444443,204.448,100.0,14.884532222222221,56.357302222222216,2.0,40.34011262816788,79.0,37.027335011011544,269.9699901858951,497.2560999999996,5
