section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,54.2611,100.49635094339622,195.0408,100.0,29.548649056603775,55.079528301886796,2.0,65.25285224595416,210.0,78.20040174663477,893.2223781861878,258.97860000000003,0
T1,146.7613,167.41073875,226.6499,100.0,22.696080000000002,70.1960725,4.0,23.105738706020023,78.875,44.651564779541275,193.6081255728164,327.98209999999995,1
T5,138.0026,147.70192708333335,166.0868,82.3529,8.70098125,67.16503125,3.0,27.223287564884973,94.6875,43.847907199093584,147.39902865768832,171.97879999999986,1
T3,119.3637,142.28876250000002,166.4073,100.0,16.9558825,75.93137,3.0,25.218203810059933,81.5625,28.847697983344357,143.14437215597033,278.58050000000003,1
T10,138.3841,149.11878301886793,163.3097,19.6078,3.4406207547169814,76.3966,3.0,24.457420081379862,75.0,66.80524334278284,481.0042829710878,192.63450000000012,2
T7,116.6476,134.82635492957746,159.5178,46.2745,5.346591549295774,69.8315366197183,3.0,28.03411728886937,89.1875,81.04425125094731,773.3344607337747,233.8128999999999,2
T4,69.3446,111.18020700000001,202.7008,100.0,32.482352,56.74509200000001,2.0,43.559786247608216,138.375,41.64420158280737,175.80195837131248,272.4217000000001,3
T11+T12,80.766,136.4038707482993,182.4903,100.0,16.630651700680275,56.574625850340134,2.0,52.52805607479426,104.375,48.31208043187054,194.7990049109098,499.55160000000024,3
T6,85.1911,107.95294054054054,164.7517,100.0,27.917328378378382,55.62267027027026,2.0,27.34402275250859,85.375,49.857755022730494,156.60073424275484,197.29730000000018,3
T8+T9,82.1317,133.52352959183673,231.4412,100.0,32.937172448979595,44.32171632653061,2.0,39.04732606897198,82.25,70.58835481953706,426.82336522825716,321.4593,3
